,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,1,,Jason Day,71,"7' 0""",525.5,75,91
1,T2,,Steven Bowditch,59,"7' 5""",663.8330000000001,90,185
2,T2,,Peter Malnati,91,"7' 5""",791.5,107,37
3,T4,,Bill Haas,92,"7' 6""",772.25,103,18
4,T4,,Seung-Yul Noh,91,"7' 6""",781.5,104,87
5,6,,Ian Poulter,72,"7' 8""",682.5830000000001,89,1
6,T7,,Aaron Baddeley,61,"7' 10""",574.1669999999999,73,73
7,T7,,Brad Fritsch,56,"7' 10""",431.75,55,151
8,T9,,Brian Gay,82,"7' 11""",800.6669999999999,101,30
9,T9,,Gary Woodland,94,"7' 11""",722.3330000000001,91,118
10,T11,,Danny Lee,93,"8' 0""",883.5830000000001,110,167
11,T11,,Phil Mickelson,85,"8' 0""",824.5,103,71
12,T13,,Emiliano Grillo,90,"8' 1""",733.5,91,148
13,T13,,Webb Simpson,102,"8' 1""",990.6669999999999,123,4
14,T15,,Steven Alker,69,"8' 2""",675.9169999999999,83,76
15,T15,,Ken Duke,77,"8' 2""",832.4169999999999,102,150
16,T15,,Rickie Fowler,78,"8' 2""",850.25,104,22
17,T15,,Sergio Garcia,65,"8' 2""",628.0,77,39
18,T19,,Zac Blair,105,"8' 3""",987.3330000000001,120,3
19,T19,,Andres Gonzales,73,"8' 3""",620.8330000000001,75,33
20,21,,Kyle Reifers,96,"8' 4""",1013.9169999999999,122,114
21,T22,,Chad Campbell,97,"8' 5""",801.25,95,5
22,T22,,Kevin Na,86,"8' 5""",767.4169999999999,91,32
23,T22,,Jon Rahm,90,"8' 5""",801.5,95,9
24,T22,,Sam Saunders,76,"8' 5""",774.0,92,113
25,T22,,Ollie Schniederjans,92,"8' 5""",1084.667,129,102
26,T27,,Harris English,84,"8' 6""",824.9169999999999,97,75
27,T27,,Matt Kuchar,95,"8' 6""",926.0,109,2
28,T27,,Rick Lamb,54,"8' 6""",468.083,55,178
29,T27,,Jamie Lovemark,98,"8' 6""",1123.0,132,67
30,T31,,Blayne Barber,77,"8' 7""",782.3330000000001,91,160
31,T31,,Chad Collins,66,"8' 7""",698.25,81,19
32,T31,,Rory McIlroy,51,"8' 7""",341.833,40,17
33,T31,,Seamus Power,86,"8' 7""",810.5,94,13
34,T31,,Cameron Smith,86,"8' 7""",863.3330000000001,101,103
35,T31,,Tim Wilkinson,64,"8' 7""",676.4169999999999,79,24
36,T37,,Sung Kang,104,"8' 8""",998.0830000000001,115,136
37,T37,,Michael Kim,94,"8' 8""",1017.1669999999999,117,98
38,T37,,Justin Rose,66,"8' 8""",800.6669999999999,92,80
39,T37,,Vaughn Taylor,90,"8' 8""",1011.3330000000001,117,54
40,T41,,Scott Brown,95,"8' 9""",1093.167,125,90
41,T41,,David Lingmerth,79,"8' 9""",933.75,107,108
42,T41,,Luke List,102,"8' 9""",1155.5,132,152
43,T41,,Adam Scott,58,"8' 9""",480.833,55,83
44,T41,,Cameron Tringale,89,"8' 9""",752.3330000000001,86,97
45,T46,,Ricky Barnes,100,"8' 10""",938.1669999999999,106,68
46,T46,,Patrick Cantlay,52,"8' 10""",698.4169999999999,79,62
47,T46,,Ben Crane,86,"8' 10""",932.75,106,93
48,T46,,Geoff Ogilvy,80,"8' 10""",951.3330000000001,108,49
49,T50,,Wesley Bryan,95,"8' 11""",1003.0830000000001,112,37
50,T50,,John Huh,92,"8' 11""",1253.25,141,10
