,Best_YTD_Streak_wo_a_3-Putt_RANK THIS WEEK,Best_YTD_Streak_wo_a_3-Putt_RANK LAST WEEK,Best_YTD_Streak_wo_a_3-Putt_PLAYER NAME,Best_YTD_Streak_wo_a_3-Putt_EVENTS,Best_YTD_Streak_wo_a_3-Putt_BEST STREAK,Best_YTD_Streak_wo_a_3-Putt_CURRENT STREAK
0,1,1,Mike Springer,31,272,35.0
1,2,2,Brian Gay,33,266,46.0
2,3,3,Jerry Smith,32,264,153.0
3,T4,T4,Paul Curry,25,258,94.0
4,T4,T4,Willie Wood,14,258,47.0
5,6,6,Jim Carter,30,250,81.0
6,7,7,Steve Pate,28,248,6.0
7,8,8,Jeff Sluman,32,245,62.0
8,9,9,Andrew Magee,26,243,92.0
9,10,10,"Jim Gallagher, Jr.",16,241,97.0
10,11,11,Jim Furyk,25,239,2.0
11,T12,T12,Jerry Kelly,32,238,71.0
12,T12,T12,J.L. Lewis,30,238,50.0
13,14,14,Kevin Sutherland,27,236,1.0
14,15,15,P.H. Horgan III,25,229,48.0
15,16,16,Ronnie Black,28,228,25.0
16,17,17,Joel Edwards,29,223,49.0
17,T18,T18,Stewart Cink,27,222,21.0
18,T18,T18,Bob Estes,21,222,5.0
19,20,20,Scott Verplank,28,220,22.0
20,21,21,Tiger Woods,20,218,51.0
21,22,22,Sean Murphy,35,211,23.0
22,23,23,Brian Claar,8,210,33.0
23,24,24,Bob Tway,30,208,88.0
24,25,25,Larry Rinker,16,206,36.0
25,T26,T26,J.P. Hayes,26,205,2.0
26,T26,T26,Steve Jones,21,205,205.0
27,28,28,Mike Hulbert,34,204,13.0
28,29,29,David Frost,25,202,6.0
29,30,30,Phil Mickelson,23,201,105.0
30,31,31,Greg Kraft,29,200,9.0
31,T32,T32,Brad Faxon,29,198,26.0
32,T32,T32,Esteban Toledo,35,198,198.0
33,34,34,Carl Paulson,33,196,6.0
34,35,35,Blaine McCallister,30,195,81.0
35,T36,T36,Brent Geiberger,24,193,39.0
36,T36,T36,Casey Martin,29,193,46.0
37,38,38,Brian Henninger,29,192,192.0
38,T39,T39,Chris Perry,31,191,12.0
39,T39,T39,Brent Schwarzrock,19,191,7.0
40,41,41,Brad Elder,34,189,109.0
41,42,42,Steve Stricker,21,188,44.0
42,43,43,Ted Tryba,37,186,7.0
43,T44,T44,Paul Goydos,30,185,9.0
44,T44,T44,Nick Price,18,185,30.0
45,T46,T46,Larry Mize,21,184,44.0
46,T46,T46,Kenny Perry,20,184,36.0
47,48,48,Curtis Strange,12,182,30.0
48,T49,T49,Emlyn Aubrey,26,181,19.0
49,T49,T49,Chris DiMarco,33,181,6.0
50,51,51,Dennis Paulson,26,180,18.0
51,T52,T52,Olin Browne,31,178,2.0
52,T52,T52,John Cook,28,178,14.0
53,T52,T52,Jimmy Green,27,178,14.0
54,T52,T52,Scott Gump,36,178,42.0
55,T56,T56,Justin Leonard,28,177,62.0
56,T56,T56,Tom Pernice Jr.,32,177,46.0
57,T56,T56,Mike Weir,28,177,74.0
58,T59,T59,Jonathan Kaye,34,176,18.0
59,T59,T59,David Morland IV,31,176,42.0
60,61,61,Ben Bates,35,175,5.0
61,T62,T62,Brett Quigley,21,173,173.0
62,T62,T62,Mark Wiebe,28,173,54.0
63,T64,T64,Thomas Bjørn,9,172,2.0
64,T64,T64,Mark Brooks,29,172,131.0
65,T64,T64,Bobby Cochran,30,172,42.0
66,T64,T64,Glen Hnatiuk,30,172,9.0
67,T68,T68,Doug Barron,27,171,7.0
68,T68,T68,Colin Montgomerie,9,171,22.0
69,70,70,Steve Gotsche,32,170,39.0
70,71,71,Ryan Howison,30,169,43.0
71,T72,T72,Tommy Armour III,30,168,58.0
72,T72,T72,Len Mattiace,31,168,87.0
73,T74,T74,Paul Azinger,20,167,124.0
74,T74,T74,Rick Fehr,24,167,13.0
75,T76,T76,Stephen Ames,31,164,1.0
76,T76,T76,Nolan Henke,32,164,77.0
77,T76,T76,José María Olazábal,12,164,47.0
78,79,79,"Dave Stockton, Jr.",31,163,11.0
79,T80,T80,Jason Buha,29,162,56.0
80,T80,T80,Scott Hoch,29,162,162.0
81,T80,T80,Scott McCarron,30,162,162.0
