,Current_Streak_without_a_3-Putt_RANK THIS WEEK,Current_Streak_without_a_3-Putt_RANK LAST WEEK,Current_Streak_without_a_3-Putt_PLAYER NAME,Current_Streak_without_a_3-Putt_EVENTS,Current_Streak_without_a_3-Putt_VALUE
0,1,1,Steve Jones,21,205
1,2,2,Esteban Toledo,35,198
2,3,3,Brian Henninger,29,192
3,4,4,Brett Quigley,21,173
4,T5,T5,Scott Hoch,29,162
5,T5,T5,Scott McCarron,30,162
6,7,7,Tom Purtzer,21,155
7,8,8,Jerry Smith,32,153
8,9,9,Mark Brooks,29,131
9,10,10,Paul Azinger,20,124
10,T11,T11,Rich Beem,29,109
11,T11,T11,Brad Elder,34,109
12,13,13,Phil Mickelson,23,105
13,14,14,Tom Lehman,21,99
14,15,15,Paul Curry,25,94
15,T16,T16,Steve Lowery,30,92
16,T16,T16,Andrew Magee,26,92
17,18,18,Michael Clark II,28,90
18,19,19,Bob Tway,30,88
19,20,20,Len Mattiace,31,87
20,T21,T21,Michael Bradley,26,86
21,T21,T21,Doug Dunakey,27,86
22,T21,T21,Duffy Waldorf,23,86
23,T24,T24,Dan Forsman,27,84
24,T24,T24,Pete Jordan,31,84
25,26,26,Mike Sposa,26,83
26,T27,T27,Jim Carter,30,81
27,T27,T27,Bradley Hughes,33,81
28,T27,T27,Blaine McCallister,30,81
29,30,30,Skip Kendall,32,80
30,31,31,Nolan Henke,32,77
31,32,32,Craig Perks,28,75
32,33,33,Mike Weir,28,74
33,34,34,Craig Stadler,21,73
34,35,35,Jerry Kelly,32,71
35,T36,T36,Russ Cochran,25,70
36,T36,T36,Edward Fryatt,32,70
37,T36,T36,Chris Riley,28,70
38,39,39,Jason Caron,29,69
39,40,40,John Rollins,27,67
40,T41,T41,Tom Byrum,27,66
41,T41,T41,Mathew Goggin,32,66
42,T41,T41,Jeff Gove,31,66
43,44,44,Eric Booker,31,64
44,45,45,Charles Raulerson,32,63
45,T46,T46,Craig Barlow,31,62
46,T46,T46,Fred Funk,32,62
47,T46,T46,Justin Leonard,28,62
48,T46,T46,Jeff Sluman,32,62
49,50,50,K.J. Choi,30,59
50,T51,T51,Tommy Armour III,30,58
51,T51,T51,Craig Parry,22,58
52,53,53,John Huston,23,57
53,54,54,Jason Buha,29,56
54,55,55,Mark Wiebe,28,54
55,56,56,Tiger Woods,20,51
56,T57,T57,J.L. Lewis,30,50
57,T57,T57,Frank Lickliter II,31,50
58,59,59,Joel Edwards,29,49
59,60,60,P.H. Horgan III,25,48
60,61,61,Kevin Wentworth,31,47
61,T62,T62,Brian Gay,33,46
62,T62,T62,Casey Martin,29,46
63,T62,T62,Keith Nolan,23,46
64,T62,T62,Tom Pernice Jr.,32,46
65,T66,T66,Stuart Appleby,24,44
