,Current_Par_or_Better_Streak_RANK THIS WEEK,Current_Par_or_Better_Streak_RANK LAST WEEK,Current_Par_or_Better_Streak_PLAYER NAME,Current_Par_or_Better_Streak_EVENTS,Current_Par_or_Better_Streak_NUMBER OF ROUNDS
0,1,1,Tiger Woods,100,47
1,2,2,Phil Mickelson,195,26
2,3,3,Lee Janzen,300,18
3,4,4,Brad Faxon,457,17
4,T5,T5,Brent Geiberger,105,14
5,T5,T5,Frank Lickliter II,149,14
6,7,7,Paul Stankowski,183,13
7,T8,T8,Bradley Hughes,128,11
8,T8,T8,Jeff Roth,14,11
9,T8,T8,Bob Tway,443,11
10,T11,T11,Brandel Chamblee,290,10
11,T11,T11,Scott McCarron,158,10
12,T13,T13,Tom Byrum,408,9
13,T13,T13,John Daly,239,9
14,T13,T13,Fred Funk,382,9
15,T13,T13,Bill Glasson,358,9
16,T13,T13,Brian Henninger,211,9
17,T13,T13,Tim Herron,144,9
18,T13,T13,Skip Kendall,192,9
19,T13,T13,Sean Murphy,172,9
20,T13,T13,Duffy Waldorf,362,9
21,T22,T22,Jason Buha,29,8
22,T22,T22,Glen Day,194,8
23,T22,T22,Scott Dunlap,117,8
24,T22,T22,Glen Hnatiuk,60,8
25,T22,T22,Brandt Jobe,79,8
26,T22,T22,Steve Lowery,311,8
27,T22,T22,Larry Mize,462,8
28,T22,T22,David Morland IV,39,8
29,T22,T22,Dicky Pride,201,8
30,T22,T22,Esteban Toledo,127,8
31,T22,T22,Grant Waite,252,8
32,T33,T33,Tommy Armour III,368,7
33,T33,T33,Michael Campbell,19,7
34,T33,T33,Steve Elkington,324,7
35,T33,T33,Dan Forsman,479,7
36,T33,T33,Tommy Tolles,153,7
37,T38,T38,K.J. Choi,32,6
38,T38,T38,Joel Edwards,286,6
39,T38,T38,Brad Elder,43,6
40,T38,T38,Keiichiro Fukabori,7,6
41,T38,T38,Bob Heintz,34,6
42,T38,T38,Bob May,63,6
43,T38,T38,Kenny Perry,354,6
44,T38,T38,Jerry Smith,35,6
45,T38,T38,Mark Wilson,4,6
46,T47,T47,Billy Andrade,375,5
47,T47,T47,Olin Browne,203,5
48,T47,T47,John Cook,545,5
49,T47,T47,Jim Furyk,192,5
50,T47,T47,Brian Gay,59,5
51,T47,T47,Jeff Gove,30,5
52,T47,T47,Jerry Kelly,165,5
53,T47,T47,Michael Kirk,1,5
54,T47,T47,Bruce Lietzke,367,5
55,T47,T47,Carl Paulson,84,5
