,YTD_Sub-Par_Rounds_Streak_RANK THIS WEEK,YTD_Sub-Par_Rounds_Streak_RANK LAST WEEK,YTD_Sub-Par_Rounds_Streak_PLAYER NAME,YTD_Sub-Par_Rounds_Streak_VALUE
0,1,1,Tiger Woods,16
1,T2,T2,Steve Flesch,14
2,T2,T2,Brent Geiberger,14
3,T2,T2,Davis Love III,14
4,T2,T2,Joe Ogilvie,14
5,T6,T6,Robert Allenby,13
6,T6,T6,Woody Austin,13
7,T8,T8,Greg Chalmers,12
8,T8,T8,Brad Faxon,12
9,T8,T8,Brian Gay,12
10,T8,T8,Rocco Mediate,12
11,T12,T12,Stewart Cink,11
12,T12,T12,Mathew Goggin,11
13,T12,T12,Jerry Kelly,11
14,T12,T12,Phil Mickelson,11
15,T12,T12,Loren Roberts,11
16,T12,T12,Hal Sutton,11
17,T12,T12,David Toms,11
18,T12,T12,Grant Waite,11
19,T20,T20,Jim Carter,10
20,T20,T20,Brandel Chamblee,10
21,T20,T20,Jim Furyk,10
22,T20,T20,Sergio Garcia,10
23,T20,T20,Bradley Hughes,10
24,T20,T20,Neal Lancaster,10
25,T20,T20,Jeff Maggert,10
26,T20,T20,Jesper Parnevik,10
27,T20,T20,Craig Parry,10
28,T20,T20,Brett Quigley,10
29,T30,T30,Doug Barron,9
30,T30,T30,Notah Begay III,9
31,T30,T30,Ronnie Black,9
32,T30,T30,Russ Cochran,9
33,T30,T30,Chris DiMarco,9
34,T30,T30,Ernie Els,9
35,T30,T30,Robert Gamez,9
36,T30,T30,Scott Hoch,9
37,T30,T30,Lee Janzen,9
38,T30,T30,Skip Kendall,9
39,T30,T30,Justin Leonard,9
40,T30,T30,Bruce Lietzke,9
41,T30,T30,Scott McCarron,9
42,T30,T30,Rory Sabbatini,9
43,T30,T30,Joey Sindelar,9
44,T30,T30,Steve Stricker,9
45,T30,T30,David Sutherland,9
46,T30,T30,Kevin Sutherland,9
47,T30,T30,Kirk Triplett,9
48,T30,T30,Omar Uresti,9
49,T30,T30,Scott Verplank,9
50,T51,T51,Stuart Appleby,8
51,T51,T51,Jason Buha,8
52,T51,T51,Brian Claar,8
53,T51,T51,Glen Day,8
54,T51,T51,David Duval,8
55,T51,T51,Joel Edwards,8
56,T51,T51,Brad Elder,8
57,T51,T51,Fred Funk,8
58,T51,T51,Scott Gump,8
59,T51,T51,Dudley Hart,8
60,T51,T51,Brandt Jobe,8
61,T51,T51,Greg Kraft,8
62,T51,T51,Steve Lowery,8
63,T51,T51,David Morland IV,8
64,T51,T51,Kenny Perry,8
65,T51,T51,Chris Riley,8
66,T51,T51,Larry Rinker,8
67,T51,T51,Vijay Singh,8
68,T51,T51,Paul Stankowski,8
69,T51,T51,Esteban Toledo,8
70,T51,T51,Jean Van de Velde,8
71,T51,T51,Duffy Waldorf,8
72,T51,T51,Richard Zokol,8
73,T74,T74,Todd Barranger,7
74,T74,T74,Mark Brooks,7
75,T74,T74,Mark Calcavecchia,7
76,T74,T74,John Cook,7
77,T74,T74,Fred Couples,7
78,T74,T74,Robert Damron,7
79,T74,T74,Joe Durant,7
80,T74,T74,Steve Elkington,7
81,T74,T74,Bob Friend,7
82,T74,T74,Bill Glasson,7
83,T74,T74,J.P. Hayes,7
84,T74,T74,Tim Herron,7
85,T74,T74,Gabriel Hjertstedt,7
86,T74,T74,Glen Hnatiuk,7
87,T74,T74,Mike Hulbert,7
88,T74,T74,Bob May,7
89,T74,T74,Shaun Micheel,7
90,T74,T74,Carl Paulson,7
91,T74,T74,Chris Perry,7
92,T74,T74,Tom Purtzer,7
93,T74,T74,Jeff Sluman,7
94,T74,T74,Craig Stadler,7
95,T74,T74,Bob Tway,7
96,T74,T74,Mike Weir,7
97,T98,T98,Stephen Ames,6
98,T98,T98,Paul Azinger,6
99,T98,T98,Jay Don Blake,6
100,T98,T98,Olin Browne,6
101,T98,T98,K.J. Choi,6
102,T98,T98,Doug Dunakey,6
103,T98,T98,Bob Estes,6
104,T98,T98,Rick Fehr,6
105,T98,T98,Edward Fryatt,6
106,T98,T98,Kelly Gibson,6
107,T98,T98,Jimmy Green,6
108,T98,T98,Brian Henninger,6
109,T98,T98,John Huston,6
110,T98,T98,Steve Jones,6
111,T98,T98,Pete Jordan,6
112,T98,T98,Jonathan Kaye,6
113,T98,T98,Franklin Langham,6
114,T98,T98,J.L. Lewis,6
115,T98,T98,Frank Lickliter II,6
116,T98,T98,Andrew Magee,6
117,T98,T98,Casey Martin,6
118,T98,T98,Shigeki Maruyama,6
119,T98,T98,Billy Mayfair,6
120,T98,T98,Blaine McCallister,6
121,T98,T98,Larry Mize,6
122,T98,T98,David Peoples,6
123,T98,T98,Jerry Smith,6
124,T125,T125,Billy Andrade,5
125,T125,T125,Emlyn Aubrey,5
126,T125,T125,Cameron Beckman,5
127,T125,T125,Rich Beem,5
128,T125,T125,Thomas Bjørn,5
129,T125,T125,Michael Bradley,5
130,T125,T125,Tom Byrum,5
131,T125,T125,Jason Caron,5
132,T125,T125,Barry Cheesman,5
133,T125,T125,Michael Clark II,5
134,T125,T125,Bobby Cochran,5
135,T125,T125,Paul Curry,5
136,T125,T125,Scott Dunlap,5
137,T125,T125,Brad Fabel,5
138,T125,T125,Dan Forsman,5
139,T125,T125,Carlos Franco,5
140,T125,T125,Robin Freeman,5
141,T125,T125,"Jim Gallagher, Jr.",5
142,T125,T125,Bob Gilder,5
143,T125,T125,Matt Gogel,5
144,T125,T125,Steve Gotsche,5
145,T125,T125,Jeff Gove,5
146,T125,T125,Paul Goydos,5
147,T125,T125,Bob Heintz,5
148,T125,T125,Peter Jacobsen,5
149,T125,T125,Tom Lehman,5
150,T125,T125,John Maginnes,5
151,T125,T125,Len Mattiace,5
152,T125,T125,Jim McGovern,5
153,T125,T125,Sean Murphy,5
154,T125,T125,Joe Ozaki,5
155,T125,T125,Steve Pate,5
156,T125,T125,Tom Pernice Jr.,5
157,T125,T125,Nick Price,5
158,T125,T125,Mike Reid,5
159,T125,T125,Craig Spence,5
160,T125,T125,Mike Sposa,5
161,T125,T125,Mike Springer,5
162,T125,T125,Mike Standly,5
163,T125,T125,Ted Tryba,5
164,T125,T125,Brian Watts,5
165,T125,T125,Kevin Wentworth,5
166,T125,T125,Mark Wiebe,5
167,T125,T125,Jay Williamson,5
168,T169,T169,Fulton Allem,4
169,T169,T169,Tommy Armour III,4
170,T169,T169,Craig Barlow,4
171,T169,T169,Ben Bates,4
172,T169,T169,Eric Booker,4
173,T169,T169,Danny Briggs,4
174,T169,T169,Mike Brisky,4
175,T169,T169,Bart Bryant,4
176,T169,T169,Bob Burns,4
177,T169,T169,Andrew Coltart,4
178,T169,T169,John Daly,4
179,T169,T169,Marco Dawson,4
180,T169,T169,Jay Delsing,4
181,T169,T169,Trevor Dodds,4
182,T169,T169,David Edwards,4
183,T169,T169,Harrison Frazar,4
184,T169,T169,Jeff Freeman,4
185,T169,T169,David Frost,4
186,T169,T169,Keiichiro Fukabori,4
187,T169,T169,Jeff Gallagher,4
188,T169,T169,Retief Goosen,4
189,T169,T169,Jay Haas,4
190,T169,T169,Nolan Henke,4
191,T169,T169,P.H. Horgan III,4
192,T169,T169,Kazuhiko Hosokawa,4
193,T169,T169,Charles Howell III,4
194,T169,T169,Tom Kite,4
195,T169,T169,Bernhard Langer,4
196,T169,T169,Sandy Lyle,4
197,T169,T169,Perry Moss,4
198,T169,T169,Frank Nobilo,4
199,T169,T169,Keith Nolan,4
200,T169,T169,Greg Norman,4
201,T169,T169,José María Olazábal,4
202,T169,T169,Dennis Paulson,4
203,T169,T169,Craig Perks,4
204,T169,T169,Phillip Price,4
205,T169,T169,Dicky Pride,4
206,T169,T169,Charles Raulerson,4
207,T169,T169,John Restino,4
208,T169,T169,Jeff Roth,4
209,T169,T169,Gene Sauers,4
210,T169,T169,Tom Scherrer,4
211,T169,T169,Brent Schwarzrock,4
212,T169,T169,"Dave Stockton, Jr.",4
213,T169,T169,Tommy Tolles,4
214,T169,T169,Lee Westwood,4
215,T169,T169,Mark Wilson,4
216,T217,T217,Dave Barr,3
217,T217,T217,Andy Bean,3
218,T217,T217,Chip Beck,3
219,T217,T217,Aaron Bengoechea,3
220,T217,T217,Phil Blackmar,3
221,T217,T217,Craig Bowden,3
222,T217,T217,Brad Bryant,3
223,T217,T217,Ángel Cabrera,3
224,T217,T217,Michael Campbell,3
225,T217,T217,Darren Clarke,3
226,T217,T217,Wayne Grady,3
227,T217,T217,Joey Gullion,3
228,T217,T217,Donnie Hammond,3
229,T217,T217,Steve Hart,3
230,T217,T217,Mark Hayes,3
231,T217,T217,Ryan Howison,3
232,T217,T217,Miguel Angel Jiménez,3
233,T217,T217,Brian Kontak,3
234,T217,T217,Edward Loar,3
235,T217,T217,Dick Mast,3
236,T217,T217,Yoshinori Mizumaki,3
237,T217,T217,Colin Montgomerie,3
238,T217,T217,Jarrod Moseley,3
239,T217,T217,Gary Nicklaus,3
240,T217,T217,Mark O'Meara,3
241,T217,T217,Corey Pavin,3
242,T217,T217,Dan Pohl,3
243,T217,T217,Ted Purdy,3
244,T217,T217,John Rollins,3
245,T217,T217,Stephen Sear,3
246,T217,T217,Curtis Strange,3
247,T217,T217,Hidemichi Tanaka,3
248,T217,T217,Chris Tidland,3
249,T217,T217,Stan Utley,3
250,T217,T217,Tom Watson,3
251,T217,T217,D.A. Weibring,3
252,T217,T217,Kaname Yokoo,3
253,T254,T254,Michael Allen,2
254,T254,T254,Jonathan Byrd,2
255,T254,T254,Curt Byrum,2
256,T254,T254,Keith Clearwater,2
257,T254,T254,José Coceres,2
258,T254,T254,Mike Donald,2
259,T254,T254,R.W. Eaks,2
260,T254,T254,Nick Faldo,2
261,T254,T254,Darren Fichardt,2
262,T254,T254,Ed Fiori,2
263,T254,T254,Pierre Fulke,2
264,T254,T254,Bobby Gage,2
265,T254,T254,Derek Gillespie,2
266,T254,T254,Paul Gow,2
267,T254,T254,Ken Green,2
268,T254,T254,Gary Hallberg,2
269,T254,T254,Mike Heinen,2
270,T254,T254,Nic Henning,2
271,T254,T254,David Howser,2
272,T254,T254,Toshi Izawa,2
273,T254,T254,Hank Kuehne,2
274,T254,T254,Paul Lawrie,2
275,T254,T254,Wayne Levi,2
276,T254,T254,Paul McGinley,2
277,T254,T254,Rob McMillan,2
278,T254,T254,Mark McNulty,2
279,T254,T254,David Ogrin,2
280,T254,T254,Sam Randolph,2
281,T254,T254,Dean Robertson,2
282,T254,T254,Eduardo Romero,2
283,T254,T254,Jarmo Sandelin,2
284,T254,T254,Adam Scott,2
285,T254,T254,Peter Senior,2
286,T254,T254,Mike Sullivan,2
287,T254,T254,Robert Thompson,2
288,T254,T254,Chris Toulson,2
289,T254,T254,Greg Twiggs,2
290,T254,T254,Lanny Wadkins,2
291,T254,T254,Brett Wetterich,2
292,T254,T254,Chris Wollmann,2
293,T254,T254,Willie Wood,2
294,T254,T254,Tsuyoshi Yoneyama,2
295,T254,T254,Fuzzy Zoeller,2
