,Consecutive_Par_5_Birdies_RANK THIS WEEK,Consecutive_Par_5_Birdies_RANK LAST WEEK,Consecutive_Par_5_Birdies_PLAYER NAME,Consecutive_Par_5_Birdies_EVENTS,Consecutive_Par_5_Birdies_NUMBER OF HOLES
0,1,1,Jesper Parnevik,20,14
1,2,2,Jim Furyk,25,11
2,T3,T3,Stephen Ames,31,10
3,T3,T3,Mike Brisky,31,10
4,T3,T3,Mark Calcavecchia,28,10
5,T3,T3,Fred Couples,19,10
6,T3,T3,Harrison Frazar,24,10
7,T3,T3,Peter Jacobsen,22,10
8,T3,T3,David Morland IV,31,10
9,T10,T10,Greg Chalmers,28,9
10,T10,T10,Retief Goosen,13,9
11,T10,T10,Franklin Langham,28,9
12,T10,T10,J.L. Lewis,30,9
13,T10,T10,Rory Sabbatini,26,9
14,T10,T10,Vijay Singh,26,9
15,T10,T10,Mike Springer,31,9
16,T10,T10,Tiger Woods,20,9
17,T18,T18,Michael Bradley,26,8
18,T18,T18,Brad Faxon,29,8
19,T18,T18,P.H. Horgan III,25,8
20,T18,T18,Jeff Maggert,27,8
21,T18,T18,John Maginnes,32,8
22,T18,T18,Joe Ozaki,18,8
23,T18,T18,Tom Scherrer,33,8
24,T18,T18,David Sutherland,32,8
25,T18,T18,Jean Van de Velde,22,8
26,T27,T27,Craig Barlow,31,7
27,T27,T27,Barry Cheesman,35,7
28,T27,T27,Jay Delsing,33,7
29,T27,T27,Chris DiMarco,33,7
30,T27,T27,Sergio Garcia,16,7
31,T27,T27,Brian Gay,33,7
32,T27,T27,Bob Gilder,14,7
33,T27,T27,Lee Janzen,27,7
34,T27,T27,Justin Leonard,28,7
35,T27,T27,Steve Lowery,30,7
36,T27,T27,Shigeki Maruyama,26,7
37,T27,T27,Gary Nicklaus,30,7
38,T27,T27,Dennis Paulson,26,7
39,T27,T27,David Peoples,28,7
40,T27,T27,Craig Perks,28,7
41,T27,T27,Brent Schwarzrock,19,7
42,T27,T27,Stephen Sear,2,7
43,T27,T27,Craig Stadler,21,7
44,T27,T27,Paul Stankowski,22,7
45,T27,T27,Ted Tryba,37,7
46,T27,T27,Scott Verplank,28,7
47,T27,T27,Fred Wadsworth,1,7
48,T49,T49,Robert Allenby,26,6
49,T49,T49,Stuart Appleby,24,6
50,T49,T49,Tommy Armour III,30,6
51,T49,T49,Woody Austin,32,6
52,T49,T49,Doug Barron,27,6
53,T49,T49,Ben Bates,35,6
