,Consecutive_Sand_Saves_RANK THIS WEEK,Consecutive_Sand_Saves_RANK LAST WEEK,Consecutive_Sand_Saves_PLAYER NAME,Consecutive_Sand_Saves_EVENTS,Consecutive_Sand_Saves_STREAK,Consecutive_Sand_Saves_CURRENT STREAK,Consecutive_Sand_Saves_ROUND,Consecutive_Sand_Saves_HOLE,Consecutive_Sand_Saves_YEAR/TOURN#
0,1,1,Jim Carter,30,18,,3,13,2000040
1,T2,T2,Tim Herron,28,17,5.0,4,1,2000340
2,T2,T2,Len Mattiace,31,17,3.0,3,4,2000100
3,4,4,Franklin Langham,28,15,2.0,1,8,2000390
4,5,5,Peter Jacobsen,22,14,1.0,5,2,2000030
5,T6,T6,Fulton Allem,25,13,1.0,1,5,2000020
6,T6,T6,Dick Mast,17,13,,1,15,2000100
7,T6,T6,Rocco Mediate,24,13,,3,17,2000030
8,T6,T6,Mike Reid,23,13,,4,7,2000280
9,T10,T10,Steven Alker,2,12,2.0,1,1,2000380
10,T10,T10,Carlos Franco,24,12,,1,9,2000020
11,T10,T10,Andrew Magee,26,12,2.0,1,9,2000200
12,T10,T10,Craig Perks,28,12,1.0,1,8,2000280
13,T10,T10,Ted Tryba,37,12,3.0,4,12,2000250
14,T15,T15,Brett Quigley,21,11,,3,14,2000340
15,T15,T15,Loren Roberts,24,11,,2,5,2000130
16,T15,T15,Mike Sposa,26,11,2.0,1,4,2000290
17,T18,T18,Stuart Appleby,24,10,2.0,1,7,2000020
18,T18,T18,Craig Barlow,31,10,,1,10,2000455
19,T18,T18,Cameron Beckman,26,10,4.0,1,1,2000340
20,T18,T18,Danny Briggs,18,10,2.0,3,2,2000270
21,T18,T18,Stewart Cink,27,10,4.0,2,9,2000370
22,T18,T18,Steve Gotsche,32,10,1.0,1,13,2000280
23,T18,T18,Ryan Howison,30,10,10.0,1,2,2000470
24,T18,T18,Frank Lickliter II,31,10,,2,2,2000280
25,T18,T18,Carl Paulson,33,10,1.0,1,13,2000340
26,T18,T18,Nick Price,18,10,,4,16,2000260
27,T18,T18,Larry Rinker,16,10,,4,5,2000290
28,T18,T18,Rory Sabbatini,26,10,2.0,4,11,2000350
29,T18,T18,Kevin Wentworth,31,10,,3,18,2000050
30,T31,T31,Notah Begay III,24,9,2.0,2,4,2000050
31,T31,T31,Jay Don Blake,29,9,1.0,2,6,2000260
32,T31,T31,Eric Booker,31,9,,4,5,2000400
33,T31,T31,Tom Byrum,27,9,,4,14,2000040
34,T31,T31,Mark Calcavecchia,28,9,,4,18,2000350
35,T31,T31,Paul Curry,25,9,,2,10,2000080
36,T31,T31,Ernie Els,20,9,2.0,4,18,2000190
37,T31,T31,Brad Fabel,30,9,4.0,1,1,2000140
38,T31,T31,Brad Faxon,29,9,6.0,1,18,2000340
39,T31,T31,Dan Forsman,27,9,2.0,4,11,2000420
40,T31,T31,Kelly Gibson,30,9,,4,15,2000440
41,T31,T31,Jay Haas,26,9,,1,9,2000050
42,T31,T31,J.P. Hayes,26,9,,1,2,2000110
43,T31,T31,Lee Janzen,27,9,9.0,2,10,2000460
44,T31,T31,Skip Kendall,32,9,,3,9,2000180
45,T31,T31,Neal Lancaster,31,9,,4,15,2000040
46,T31,T31,Justin Leonard,28,9,,4,7,2000390
47,T31,T31,Sean Murphy,35,9,1.0,2,10,2000290
48,T31,T31,Craig Parry,22,9,1.0,3,10,2000430
49,T31,T31,Dennis Paulson,26,9,,4,12,2000170
