,Scoring_Average_Before_Cut_RANK THIS WEEK,Scoring_Average_Before_Cut_RANK LAST WEEK,Scoring_Average_Before_Cut_PLAYER NAME,Scoring_Average_Before_Cut_AVG,Scoring_Average_Before_Cut_TOTAL STROKES,Scoring_Average_Before_Cut_TOTAL ROUNDS
0,1,1,Jason Day,68.95,2689,39
1,2,2,Henrik Stenson,69.23,2077,30
2,3,3,Jordan Spieth,69.24,3393,49
3,4,4,Bubba Watson,69.39,2498,36
4,5,5,Justin Thomas,69.46,4237,61
5,6,6,Harris English,69.61,3968,57
6,7,7,Brendan Steele,69.62,3272,47
7,T8,T8,Kevin Na,69.67,3623,52
8,T8,T8,Patrick Rodgers,69.67,2299,33
9,10,10,Matt Kuchar,69.71,3416,49
10,T11,T11,Paul Casey,69.78,3210,46
11,T11,T11,Patrick Reed,69.78,3768,54
12,13,13,Zach Johnson,69.8,3420,49
13,14,14,Jason Bohn,69.88,3913,56
14,15,15,Hideki Matsuyama,69.9,3355,48
15,16,16,Willy Wilcox,69.91,2307,33
16,T17,T17,Dustin Johnson,69.95,2728,39
17,T17,T17,Webb Simpson,69.95,3008,43
18,19,19,Tony Finau,69.97,4408,63
19,20,20,Jim Furyk,70.03,2451,35
20,21,21,Danny Lee,70.07,5115,73
21,22,22,Russell Knox,70.09,3925,56
22,23,23,Brendon de Jonge,70.1,4416,63
23,24,24,Sergio Garcia,70.11,1963,28
24,T25,T25,Mark Hubbard,70.13,3366,48
25,T25,T25,Shawn Stefani,70.13,3717,53
26,T27,T27,Charles Howell III,70.15,4279,61
27,T27,T27,Pat Perez,70.15,3788,54
28,T29,T29,Brooks Koepka,70.16,3087,44
29,T29,T29,Justin Rose,70.16,2666,38
30,T31,T31,Matt Jones,70.18,3509,50
31,T31,T31,John Peterson,70.18,3439,49
32,33,33,Chad Collins,70.2,3510,50
33,34,34,Nick Watney,70.22,4073,58
34,T35,T35,Chad Campbell,70.23,4284,61
35,T35,T35,Michael Putnam,70.23,3933,56
36,37,37,Cameron Percy,70.24,3231,46
37,T38,T38,Steven Alker,70.25,3091,44
38,T38,T38,Daniel Summerhays,70.25,4215,60
39,40,40,Alex Cejka,70.26,4075,58
40,T41,T41,Martin Laird,70.27,3443,49
41,T41,T41,Ryan Palmer,70.27,3092,44
42,43,43,Jimmy Walker,70.28,3303,47
43,T44,T44,J.B. Holmes,70.29,3444,49
44,T44,T44,Steve Wheatcroft,70.29,3936,56
45,46,46,Vijay Singh,70.3,3304,47
46,T47,T47,Jerry Kelly,70.31,3445,49
47,T47,T47,William McGirt,70.31,4359,62
48,T49,T49,Robert Streb,70.32,4219,60
49,T49,T49,Hudson Swafford,70.32,4219,60
50,51,51,Bryce Molder,70.35,3658,52
51,52,52,Graham DeLaet,70.37,2885,41
52,T53,T53,Daniel Berger,70.38,4504,64
53,T53,T53,Keegan Bradley,70.38,3308,47
54,T55,T55,Zac Blair,70.4,4717,67
55,T55,T55,Jonathan Byrd,70.4,3027,43
56,57,57,Brandt Snedeker,70.41,3802,54
57,58,58,Brendon Todd,70.44,3804,54
58,59,59,Jim Herman,70.45,3945,56
59,T60,T60,Scott Brown,70.47,4369,62
60,T60,T60,Kevin Chappell,70.47,3735,53
61,T60,T60,George McNeill,70.47,3876,55
62,T60,T60,Louis Oosthuizen,70.47,2537,36
63,T60,T60,Jeff Overton,70.47,4158,59
64,T65,T65,Rickie Fowler,70.48,2819,40
65,T65,T65,Tom Hoge,70.48,3665,52
66,67,67,Erik Compton,70.49,3877,55
67,68,68,Whee Kim,70.5,3243,46
68,T69,T69,Martin Flores,70.51,4160,59
69,T69,T69,David Toms,70.51,2750,39
70,71,71,Russell Henley,70.54,3245,46
71,T72,T72,Charley Hoffman,70.55,3880,55
72,T72,T72,Scott Langley,70.55,3951,56
73,T72,T72,Boo Weekley,70.55,3457,49
74,T75,T75,Colt Knost,70.57,3952,56
75,T75,T75,David Lingmerth,70.57,4093,58
76,T75,T75,Francesco Molinari,70.57,2117,30
77,T75,T75,Ryan Moore,70.57,3246,46
78,79,79,Rory Sabbatini,70.58,3670,52
79,T80,T80,Bill Haas,70.59,3459,49
80,T80,T80,Kevin Kisner,70.59,4306,61
81,T82,T82,Ryo Ishikawa,70.6,3883,55
82,T82,T82,Johnson Wagner,70.6,3318,47
83,84,84,Phil Mickelson,70.62,2754,39
84,85,85,Sean O'Hair,70.63,3814,54
85,86,86,Carl Pettersson,70.64,4521,64
86,T87,T87,Ian Poulter,70.65,2614,37
87,T87,T87,Brian Stuard,70.65,4380,62
88,T89,T89,Jon Curran,70.66,3957,56
89,T89,T89,Carlos Ortiz,70.66,4169,59
90,T91,T91,Aaron Baddeley,70.67,3463,49
91,T91,T91,Greg Chalmers,70.67,2332,33
92,T91,T91,Kevin Streelman,70.67,3816,54
93,T94,T94,Jason Kokrak,70.68,4029,57
94,T94,T94,Scott Piercy,70.68,3958,56
95,T96,T96,K.J. Choi,70.69,2545,36
96,T96,T96,Spencer Levin,70.69,4383,62
97,T96,T96,Mark Wilson,70.69,3888,55
98,T99,T99,Alex Prugh,70.7,3818,54
99,T99,T99,Michael Thompson,70.7,3747,53
100,T99,T99,Jhonattan Vegas,70.7,3747,53
101,T102,T102,Steven Bowditch,70.71,4596,65
102,T102,T102,John Huh,70.71,4384,62
103,104,104,Luke Guthrie,70.72,3748,53
104,105,105,Adam Hadwin,70.73,4173,59
105,106,106,Stewart Cink,70.74,3325,47
106,107,107,Brian Harman,70.76,4104,58
107,108,108,J.J. Henry,70.77,4246,60
108,T109,T109,Jason Gore,70.78,3539,50
109,T109,T109,Nick Taylor,70.78,4105,58
110,T111,T111,Andres Gonzales,70.79,3964,56
111,T111,T111,Scott Pinckney,70.79,3964,56
