,Late_Round_4_Scoring_Average_RANK THIS WEEK,Late_Round_4_Scoring_Average_RANK LAST WEEK,Late_Round_4_Scoring_Average_PLAYER NAME,Late_Round_4_Scoring_Average_AVG,Late_Round_4_Scoring_Average_TOTAL STROKES,Late_Round_4_Scoring_Average_TOTAL ROUNDS
0,1,1,Davis Love III,66.0,132,2
1,2,2,Chez Reavie,67.5,135,2
2,3,3,Robert Streb,68.36,957,14
3,T4,T4,Oscar Fraustro,68.5,137,2
4,T4,T4,D.A. Points,68.5,137,2
5,T4,T4,Kyle Reifers,68.5,137,2
6,7,7,Kevin Kisner,68.64,755,11
7,8,8,Steve Wheatcroft,68.67,412,6
8,9,9,Jordan Spieth,68.71,1168,17
9,10,10,Tom Hoge,68.8,344,5
10,11,11,Willy Wilcox,68.83,413,6
11,12,12,Rory Sabbatini,68.9,689,10
12,T13,T13,Ken Duke,69.0,345,5
13,T13,T13,Geoff Ogilvy,69.0,138,2
14,T13,T13,Chris Stroud,69.0,414,6
15,T13,T13,Gary Woodland,69.0,414,6
16,17,17,Daniel Summerhays,69.09,760,11
17,18,18,Paul Casey,69.1,691,10
18,T19,T19,Jason Day,69.17,830,12
19,T19,T19,Boo Weekley,69.17,830,12
20,21,21,Bubba Watson,69.21,969,14
21,22,22,Zach Johnson,69.23,900,13
22,T23,T23,Jerry Kelly,69.25,554,8
23,T23,T23,Whee Kim,69.25,277,4
24,T23,T23,Greg Owen,69.25,277,4
25,T23,T23,Mark Wilson,69.25,277,4
26,T27,T27,Steven Alker,69.33,208,3
27,T27,T27,Scott Piercy,69.33,624,9
28,T27,T27,Bo Van Pelt,69.33,208,3
29,30,30,Rickie Fowler,69.36,763,11
30,31,31,James Hahn,69.38,555,8
31,T32,T32,Jon Curran,69.4,347,5
32,T32,T32,John Senden,69.4,347,5
33,34,34,Ben Martin,69.44,625,9
34,T35,T35,Blayne Barber,69.5,278,4
35,T35,T35,Colt Knost,69.5,417,6
36,T35,T35,David Lingmerth,69.5,973,14
37,T35,T35,Jimmy Walker,69.5,556,8
38,39,39,Carl Pettersson,69.56,626,9
39,40,40,David Hearn,69.57,487,7
40,41,41,Scott Brown,69.6,696,10
41,T42,T42,Danny Lee,69.67,836,12
42,T42,T42,Lee Westwood,69.67,418,6
43,T44,T44,Jason Bohn,69.71,976,14
44,T44,T44,Hideki Matsuyama,69.71,976,14
45,46,46,Justin Thomas,69.78,1256,18
46,47,47,Brendon Todd,69.8,698,10
47,T48,T48,Daniel Berger,69.83,838,12
48,T48,T48,Brooks Koepka,69.83,838,12
49,T48,T48,Justin Rose,69.83,838,12
50,T51,T51,Chris Kirk,69.88,559,8
51,T51,T51,Ryan Palmer,69.88,559,8
52,T53,T53,George McNeill,69.89,629,9
53,T53,T53,Louis Oosthuizen,69.89,629,9
54,55,55,Henrik Stenson,69.9,699,10
