,Scoring_Average_RANK THIS WEEK,Scoring_Average_RANK LAST WEEK,Scoring_Average_PLAYER NAME,Scoring_Average_ROUNDS,Scoring_Average_AVG,Scoring_Average_TOTAL STROKES,Scoring_Average_TOTAL ADJUSTMENT,Scoring_Average_TOTAL ROUNDS
0,1,1,Jordan Spieth,91,68.938,6080,- 13.449,88
1,2,2,Jason Day,75,69.161,4960,19.590,72
2,3,3,Bubba Watson,71,69.296,4712,.139,68
3,4,4,Henrik Stenson,63,69.354,4179,- 17.760,60
4,5,5,Dustin Johnson,75,69.585,5027,- 16.865,72
5,6,6,Justin Rose,69,69.744,4614,- 10.884,66
6,7,7,Zach Johnson,90,69.753,6061,7.472,87
7,8,8,Willy Wilcox,58,69.804,3741,28.416,54
8,9,9,Paul Casey,87,69.806,5721,3.089,82
9,10,10,Jim Furyk,71,69.845,4497,- 26.922,64
10,11,11,Brooks Koepka,84,69.861,5666,- 7.282,81
11,12,12,Hideki Matsuyama,95,69.94,6355,9.529,91
12,13,13,Sergio Garcia,59,69.958,3937,- 19.340,56
13,14,14,Matt Kuchar,97,70.04,6568,15.746,94
14,15,15,Ryan Palmer,80,70.102,5410,- 12.171,77
15,16,16,Justin Thomas,106,70.105,7379,52.153,106
16,17,17,Kevin Na,98,70.12100000000001,6667,- 5.513,95
17,18,18,Robert Streb,110,70.13,7685,29.255,110
18,19,19,Brandt Snedeker,98,70.158,6660,4.975,95
19,20,20,Louis Oosthuizen,68,70.16,4425,- 4.934,63
20,21,21,Rickie Fowler,76,70.23,5064,- 7.406,72
21,T22,T22,Jason Bohn,95,70.235,6623,49.308,95
22,T22,T22,Harris English,105,70.235,7139,24.957,102
23,24,24,Jimmy Walker,89,70.268,6047,- 3.991,86
24,25,25,Tony Finau,106,70.281,7423,26.756,106
25,26,26,Patrick Reed,103,70.292,7013,16.190,100
26,27,27,Webb Simpson,81,70.31,5470,14.204,78
27,28,28,Kevin Kisner,104,70.344,7300,15.824,104
28,29,29,Jerry Kelly,79,70.383,5520,40.268,79
29,30,30,Daniel Summerhays,101,70.39699999999999,7084,26.088,101
30,31,31,Danny Lee,120,70.398,8409,38.814,120
31,32,32,Brendan Steele,88,70.413,5892,22.690,84
32,T33,T33,Russell Knox,96,70.421,6727,33.413,96
33,T33,T33,Ian Poulter,68,70.421,4599,- 21.631,65
34,T33,T33,Shawn Stefani,94,70.421,6594,25.574,94
35,36,36,Rory Sabbatini,81,70.435,5670,35.259,81
36,37,37,Keegan Bradley,87,70.45,5915,2.775,84
37,38,38,Adam Scott,51,70.456,3401,- 19.095,48
38,39,39,Francesco Molinari,56,70.458,3738,- 3.722,53
39,40,40,George McNeill,93,70.47800000000001,6532,22.429,93
40,41,41,Lee Westwood,56,70.484,3692,- 26.822,52
41,42,42,Brendon Todd,96,70.533,6546,13.549,93
42,43,43,Luke Donald,71,70.555,5025,- 15.622,71
43,44,44,Marc Leishman,74,70.569,4945,- 5.166,70
44,T45,T45,Daniel Berger,97,70.581,6806,40.320,97
45,T45,T45,Russell Henley,87,70.581,5919,9.820,84
46,T45,T45,J.B. Holmes,89,70.581,5995,4.362,85
47,48,48,Phil Mickelson,70,70.585,4960,- 19.059,70
48,49,49,Chad Campbell,97,70.604,6821,27.626,97
49,50,50,Charley Hoffman,97,70.613,6625,12.664,94
50,51,51,Patrick Rodgers,57,70.619,3715,27.815,53
51,52,52,Jason Dufner,76,70.633,5171,- 14.757,73
52,53,53,Brendon de Jonge,106,70.642,7451,37.009,106
53,T54,T54,Brian Harman,90,70.64699999999999,6341,17.268,90
54,T54,T54,William McGirt,103,70.64699999999999,7233,43.591,103
55,56,56,Jason Kokrak,88,70.654,6192,25.521,88
56,57,57,Pat Perez,96,70.666,6743,40.892,96
57,T58,T58,Kevin Chappell,86,70.672,6064,13.755,86
58,T58,T58,Bill Haas,89,70.672,6072,5.816,86
59,60,60,Nick Watney,91,70.68,6404,27.855,91
60,61,61,Chad Collins,79,70.681,5543,40.777,79
61,62,62,Scott Piercy,90,70.688,6331,30.879,90
62,63,63,Colt Knost,90,70.69800000000001,6035,44.985,86
63,64,64,Zac Blair,108,70.714,7313,41.299,104
64,65,65,Jim Herman,88,70.719,6182,41.232,88
65,66,66,Graham DeLaet,65,70.72,4577,19.813,65
66,67,67,Hudson Swafford,97,70.732,6675,44.506,95
67,68,68,John Peterson,84,70.735,5912,29.772,84
68,69,69,Vijay Singh,78,70.76100000000001,5496,23.347,78
69,70,70,Martin Laird,77,70.77199999999999,5427,22.445,77
70,71,71,Stewart Cink,77,70.774,5419,30.615,77
71,72,72,Boo Weekley,79,70.775,5563,28.242,79
72,73,73,Bryce Molder,91,70.779,6116,41.753,87
73,74,74,Scott Brown,97,70.797,6828,39.329,97
74,75,75,David Lingmerth,90,70.8,6339,32.969,90
75,76,76,Johnson Wagner,68,70.807,4779,35.908,68
76,T77,T77,Tom Hoge,83,70.812,5559,35.161,79
77,T77,T77,Matt Jones,89,70.812,6057,32.825,86
78,79,79,Ryan Moore,81,70.829,5513,11.665,78
79,80,80,Jonathan Byrd,69,70.83,4561,42.918,65
80,81,81,Steven Bowditch,103,70.835,7245,51.042,103
81,82,82,Jeff Overton,94,70.836,6494,22.945,92
82,83,83,Spencer Levin,99,70.837,6838,33.233,97
83,84,84,David Hearn,97,70.843,6839,32.781,97
84,85,85,Jon Curran,83,70.84899999999999,5575,22.069,79
85,86,86,Kyle Reifers,96,70.854,6481,37.562,92
86,87,87,Carl Pettersson,106,70.866,7483,28.810,106
87,88,88,Charles Howell III,105,70.872,7409,32.575,105
88,89,89,James Hahn,94,70.896,6638,26.178,94
89,90,90,Martin Flores,95,70.919,6416,37.603,91
90,91,91,Cameron Tringale,96,70.92,6812,- 3.651,96
91,92,92,Ben Martin,93,70.95,6361,24.457,90
92,93,93,Chris Kirk,76,70.959,5172,7.973,73
93,94,94,Gary Woodland,81,70.982,5265,- 12.312,74
94,95,95,Morgan Hoffmann,85,70.988,6023,10.946,85
95,96,96,Mark Wilson,89,70.991,6001,33.219,85
96,97,97,Adam Hadwin,95,71.021,6577,27.998,93
97,98,98,Sean O'Hair,86,71.03,6067,41.548,86
98,99,99,Scott Langley,94,71.032,6504,30.952,92
99,100,100,Sangmoon Bae,98,71.036,6950,11.502,98
100,101,101,John Huh,102,71.03699999999999,7132,42.752,101
101,102,102,Cameron Percy,72,71.039,4933,39.709,70
102,103,103,Billy Hurley III,83,71.043,5589,23.367,79
103,104,104,Billy Horschel,99,71.05,6800,20.792,96
104,105,105,Camilo Villegas,83,71.067,5899,- .401,83
105,106,106,Steve Wheatcroft,87,71.072,5853,45.953,83
106,107,107,Alex Prugh,84,71.089,5649,38.135,80
107,108,108,John Senden,80,71.09,5334,- 2.262,75
108,109,109,David Toms,62,71.092,4099,24.322,58
109,110,110,Charl Schwartzel,67,71.093,4497,- 18.134,63
110,111,111,Steven Alker,62,71.094,4219,46.629,60
111,112,112,Whee Kim,71,71.097,4855,50.704,69
112,113,113,Carlos Ortiz,100,71.098,6788,37.366,96
113,114,114,Jamie Donaldson,50,71.102,3366,- 24.191,47
114,115,115,Scott Pinckney,88,71.10300000000001,6220,37.088,88
115,116,116,Alex Cejka,94,71.117,6497,45.773,92
116,117,117,Hunter Mahan,88,71.124,5957,17.424,84
117,118,118,Blayne Barber,76,71.127,5238,25.382,74
118,119,119,Chez Reavie,56,71.146,3954,30.195,56
119,120,120,Michael Putnam,87,71.156,6015,33.272,85
120,121,121,Chris Stroud,84,71.194,5943,37.302,84
121,122,122,Fabián Gómez,83,71.207,5886,24.207,83
122,123,123,Luke Guthrie,84,71.211,5815,24.274,82
123,124,124,Aaron Baddeley,76,71.218,5236,34.105,74
124,125,125,Mark Hubbard,79,71.227,5435,49.463,77
125,126,126,Erik Compton,86,71.22800000000001,6084,41.591,86
126,127,127,Michael Thompson,83,71.23,5748,21.670,81
127,128,128,Jonas Blixt,78,71.238,5251,20.583,74
128,129,129,Ryo Ishikawa,90,71.24600000000001,6230,39.643,88
129,130,130,Jason Gore,76,71.273,5090,41.636,72
130,131,131,Kevin Streelman,95,71.282,6438,48.670,91
131,132,132,Davis Love III,51,71.289,3626,9.723,51
132,133,133,Lucas Glover,79,71.291,5612,20.007,79
133,134,134,Ken Duke,93,71.306,6313,33.219,89
134,135,135,Jhonattan Vegas,90,71.32600000000001,6103,31.075,86
135,T136,T136,Roberto Castro,54,71.334,3552,14.704,50
136,T136,T136,J.J. Henry,94,71.334,6384,36.026,90
137,T136,T136,John Merrick,78,71.334,5249,29.747,74
138,139,139,Brian Stuard,97,71.34100000000001,6603,31.673,93
139,140,140,Greg Chalmers,58,71.363,3828,25.596,54
140,141,141,K.J. Choi,66,71.372,4406,19.034,62
141,142,142,Nicholas Thompson,90,71.396,6110,30.036,86
142,T143,T143,Andres Gonzales,90,71.42699999999999,6105,37.721,86
143,T143,T143,Andres Romero,69,71.42699999999999,4725,- 10.824,66
144,145,145,Derek Fathauer,81,71.431,5481,19.201,77
145,T146,T146,Derek Ernst,75,71.453,5054,19.158,71
146,T146,T146,Brice Garnett,81,71.453,5619,25.798,79
147,148,148,Troy Merritt,91,71.458,6473,29.674,91
148,149,149,Seung-Yul Noh,65,71.465,4625,20.233,65
149,150,150,Sung Joon Park,79,71.469,5477,26.119,77
150,151,151,Bo Van Pelt,81,71.497,5621,27.290,79
151,152,152,Gonzalo Fernandez-Castaño,81,71.5,5478,27.505,77
152,153,153,Greg Owen,58,71.512,4114,33.680,58
153,154,154,Justin Leonard,61,71.517,4339,23.548,61
154,155,155,Geoff Ogilvy,50,71.559,3445,- 10.159,48
155,156,156,Jonathan Randolph,72,71.60600000000001,4972,40.415,70
156,157,157,Ricky Barnes,82,71.64699999999999,5559,29.492,78
157,158,158,Brian Davis,86,71.656,5847,28.773,82
158,159,159,Retief Goosen,81,71.667,5510,8.363,77
159,160,160,Sam Saunders,83,71.668,5759,46.147,81
160,161,161,Tyrone Van Aswegen,58,71.684,3836,34.922,54
161,162,162,D.A. Points,72,71.70100000000001,4998,21.038,70
162,163,163,Nick Taylor,91,71.71600000000001,6460,66.148,91
163,164,164,Ángel Cabrera,53,71.734,3795,6.913,53
164,165,165,Max Homa,78,71.763,5283,27.456,74
165,166,166,Robert Garrigus,70,71.774,4721,16.085,66
166,167,167,Bill Lunde,50,71.796,3266,36.602,46
167,168,168,Chesson Hadley,101,71.798,7212,39.580,101
168,169,169,Byron Smith,59,71.801,3905,44.048,55
169,170,170,Ernie Els,57,71.83,4095,- .668,57
170,171,171,Tim Wilkinson,73,71.944,5079,29.041,71
171,172,172,Padraig Harrington,60,71.95,4321,- 4.027,60
172,173,173,Scott Stallings,60,71.961,4302,15.664,60
173,174,174,Ben Crane,62,71.975,4140,34.578,58
174,175,175,Eric Axley,57,71.977,3927,31.739,55
175,176,176,Charlie Beljan,76,72.01,5165,19.750,72
176,177,177,Oscar Fraustro,58,72.08,3860,32.310,54
177,178,178,Robert Allenby,63,72.102,4248,6.002,59
178,179,179,Andrew Svoboda,80,72.119,5603,22.270,78
179,180,180,Andrew Putnam,68,72.278,4605,20.813,64
180,181,181,Heath Slocum,57,72.362,3802,33.179,53
181,182,182,Matt Every,73,72.419,5090,- 20.667,70
182,183,183,Jim Renner,68,72.431,4754,26.473,66
183,184,184,Roger Sloan,56,72.533,3734,37.702,52
