,Par_Breakers_RANK THIS WEEK,Par_Breakers_RANK LAST WEEK,Par_Breakers_PLAYER NAME,Par_Breakers_ROUNDS,Par_Breakers_%,Par_Breakers_# BIRDIES/EAGLES,Par_Breakers_# HOLES
0,1,1,Jason Day,75,27.08,351,1296
1,2,2,Jordan Spieth,91,25.69,407,1584
2,3,3,Bubba Watson,71,25.08,307,1224
3,4,4,Justin Rose,69,24.83,295,1188
4,5,5,Dustin Johnson,75,24.61,319,1296
5,6,6,Justin Thomas,106,23.9,456,1908
6,7,7,Hideki Matsuyama,95,23.44,384,1638
7,8,8,Tony Finau,106,23.43,447,1908
8,9,9,J.B. Holmes,89,23.4,358,1530
9,10,10,Brooks Koepka,84,23.05,336,1458
10,11,11,Jimmy Walker,89,23.0,356,1548
11,12,12,Henrik Stenson,63,22.96,248,1080
12,13,13,Rickie Fowler,76,22.76,295,1296
13,14,14,Brendan Steele,88,22.75,344,1512
14,15,15,Matt Jones,89,22.61,350,1548
15,16,16,Phil Mickelson,70,22.54,284,1260
16,17,17,Willy Wilcox,58,22.53,219,972
17,18,18,Pat Perez,96,22.51,389,1728
18,19,19,Danny Lee,120,22.5,486,2160
19,T20,T20,Jason Bohn,95,22.46,384,1710
20,T20,T20,Shawn Stefani,94,22.46,380,1692
21,22,22,Robert Streb,110,22.37,443,1980
22,23,23,Hudson Swafford,97,22.34,382,1710
23,24,24,Sergio Garcia,59,22.32,225,1008
24,25,25,Patrick Reed,103,22.28,401,1800
25,T26,T26,Matt Kuchar,97,22.22,376,1692
26,T26,T26,Steve Wheatcroft,87,22.22,332,1494
27,28,28,Zach Johnson,90,22.16,347,1566
28,29,29,Patrick Rodgers,57,22.12,211,954
29,30,30,Charley Hoffman,97,22.1,374,1692
30,T31,T31,Paul Casey,87,22.02,325,1476
31,T31,T31,Russell Henley,87,22.02,333,1512
32,33,33,Kevin Na,98,21.99,376,1710
33,34,34,Tom Hoge,83,21.87,311,1422
34,35,35,Keegan Bradley,87,21.83,330,1512
35,36,36,Daniel Berger,97,21.82,381,1746
36,37,37,Rory Sabbatini,81,21.81,318,1458
37,T38,T38,Ryan Moore,81,21.79,306,1404
38,T38,T38,Lee Westwood,56,21.79,204,936
39,T40,T40,Chesson Hadley,101,21.73,395,1818
40,T40,T40,Ben Martin,93,21.73,352,1620
41,42,42,Jason Kokrak,88,21.72,344,1584
42,43,43,Billy Horschel,99,21.7,375,1728
43,44,44,Scott Piercy,90,21.67,351,1620
44,45,45,Louis Oosthuizen,68,21.6,245,1134
45,T46,T46,Carlos Ortiz,100,21.53,372,1728
46,T46,T46,Adam Scott,51,21.53,186,864
47,48,48,Kevin Chappell,86,21.51,333,1548
48,49,49,Blayne Barber,76,21.47,286,1332
49,T50,T50,Jason Gore,76,21.45,278,1296
50,T50,T50,Jerry Kelly,79,21.45,305,1422
51,52,52,Nick Watney,91,21.43,351,1638
52,53,53,Sean O'Hair,86,21.38,331,1548
53,54,54,Ryan Palmer,80,21.36,296,1386
54,55,55,Brandt Snedeker,98,21.35,365,1710
55,56,56,Ryo Ishikawa,90,21.34,338,1584
56,57,57,Chris Stroud,84,21.3,322,1512
57,58,58,Brendon de Jonge,106,21.28,406,1908
58,59,59,Steven Bowditch,103,21.25,394,1854
59,60,60,Chris Kirk,76,21.23,279,1314
60,61,61,Daniel Summerhays,101,21.18,385,1818
