,Birdie_to_Bogey_Ratio_RANK THIS WEEK,Birdie_to_Bogey_Ratio_RANK LAST WEEK,Birdie_to_Bogey_Ratio_PLAYER NAME,Birdie_to_Bogey_Ratio_ROUNDS,Birdie_to_Bogey_Ratio_BIRDIE TO BOGEY RATIO,Birdie_to_Bogey_Ratio_TOTAL BIRDIES AND BETTER,Birdie_to_Bogey_Ratio_TOTAL BOGEYS AND WORSE
0,1,1,Jason Day,75,2.24,351,157
1,2,2,Jordan Spieth,91,1.96,407,208
2,3,3,Willy Wilcox,58,1.77,219,124
3,4,4,Bubba Watson,71,1.72,307,178
4,5,5,Justin Rose,69,1.71,295,173
5,6,6,Henrik Stenson,63,1.69,248,147
6,7,7,Justin Thomas,106,1.68,456,272
7,T8,T8,Jason Bohn,95,1.66,384,231
8,T8,T8,Hideki Matsuyama,95,1.66,384,231
9,10,10,Zach Johnson,90,1.6,348,217
10,11,11,Dustin Johnson,75,1.59,319,201
11,12,12,Matt Kuchar,97,1.57,376,239
12,T13,T13,Brendan Steele,88,1.54,344,224
13,T13,T13,Robert Streb,110,1.54,443,288
14,T15,T15,Rickie Fowler,76,1.51,295,195
15,T15,T15,Jim Furyk,71,1.51,238,158
16,T17,T17,Paul Casey,87,1.5,325,217
17,T17,T17,Russell Knox,96,1.5,360,240
18,T17,T17,Pat Perez,96,1.5,389,259
19,20,20,Brooks Koepka,84,1.49,336,225
20,21,21,Harris English,105,1.48,388,262
21,T22,T22,Jerry Kelly,79,1.47,305,207
22,T22,T22,Rory Sabbatini,81,1.47,318,217
23,T24,T24,Tony Finau,106,1.46,447,306
24,T24,T24,Sergio Garcia,59,1.46,225,154
25,26,26,Danny Lee,120,1.45,486,336
26,T27,T27,Daniel Berger,97,1.44,382,266
27,T27,T27,Kevin Na,98,1.44,376,261
28,T27,T27,Patrick Reed,103,1.44,401,278
29,T27,T27,Shawn Stefani,94,1.44,380,263
30,T31,T31,Jonathan Byrd,69,1.43,241,169
31,T31,T31,Jim Herman,88,1.43,321,225
32,T31,T31,John Peterson,84,1.43,288,201
33,T34,T34,Chad Collins,79,1.42,275,193
34,T34,T34,William McGirt,103,1.42,367,258
35,T34,T34,Brandt Snedeker,98,1.42,365,257
36,T37,T37,Louis Oosthuizen,68,1.41,245,174
37,T37,T37,Webb Simpson,81,1.41,293,208
