,First_Tee_Late_Lowest_Round_RANK THIS WEEK,First_Tee_Late_Lowest_Round_RANK LAST WEEK,First_Tee_Late_Lowest_Round_PLAYER NAME,First_Tee_Late_Lowest_Round_ROUNDS,First_Tee_Late_Lowest_Round_LOW RND
0,T1,T1,Rory McIlroy,49,61
1,T1,T1,Troy Merritt,91,61
2,T1,T1,Jordan Spieth,91,61
3,T4,T4,Jason Day,75,62
4,T4,T4,Jason Gore,76,62
5,T4,T4,Tom Hoge,83,62
6,T4,T4,Dustin Johnson,75,62
7,T4,T4,Danny Lee,120,62
8,T4,T4,Marc Leishman,74,62
9,T4,T4,Ben Martin,93,62
10,T4,T4,Jimmy Walker,89,62
11,T4,T4,Bubba Watson,71,62
12,T13,T13,Joe Affrunti,12,63
13,T13,T13,Sangmoon Bae,98,63
14,T13,T13,Jim Furyk,71,63
15,T13,T13,Matt Kuchar,97,63
16,T13,T13,Justin Rose,69,63
17,T13,T13,Rory Sabbatini,81,63
18,T13,T13,Shawn Stefani,94,63
19,T13,T13,Henrik Stenson,63,63
20,T13,T13,Robert Streb,110,63
21,T13,T13,Chris Stroud,84,63
22,T13,T13,Brendon Todd,96,63
23,T13,T13,Johnson Wagner,68,63
24,T25,T25,Daniel Berger,97,64
25,T25,T25,Jason Bohn,95,64
26,T25,T25,Steven Bowditch,103,64
27,T25,T25,Chad Campbell,97,64
28,T25,T25,Paul Casey,87,64
29,T25,T25,Alex Cejka,94,64
30,T25,T25,Jon Curran,83,64
31,T25,T25,Graham DeLaet,65,64
32,T25,T25,Ernie Els,57,64
33,T25,T25,Harris English,105,64
34,T25,T25,Tom Gillis,48,64
35,T25,T25,Branden Grace,48,64
36,T25,T25,Luke Guthrie,84,64
37,T25,T25,Brian Harman,90,64
38,T25,T25,Justin Hicks,31,64
39,T25,T25,J.B. Holmes,89,64
40,T25,T25,Zach Johnson,90,64
41,T25,T25,Jerry Kelly,79,64
42,T25,T25,Kevin Kisner,104,64
43,T25,T25,Russell Knox,96,64
44,T25,T25,Davis Love III,51,64
