,Scoring_Average_Actual_RANK THIS WEEK,Scoring_Average_Actual_RANK LAST WEEK,Scoring_Average_Actual_PLAYER NAME,Scoring_Average_Actual_ROUNDS,Scoring_Average_Actual_AVG,Scoring_Average_Actual_TOTAL STROKES,Scoring_Average_Actual_TOTAL ROUNDS
0,1,1,Jason Day,75,68.89,4960,72
1,2,2,Jordan Spieth,91,69.09,6080,88
2,3,3,Willy Wilcox,58,69.28,3741,54
3,4,4,Bubba Watson,71,69.29,4712,68
4,5,5,Justin Thomas,106,69.61,7379,106
5,6,6,Henrik Stenson,63,69.65,4179,60
6,7,7,Zach Johnson,90,69.67,6061,87
7,8,8,Jason Bohn,95,69.72,6623,95
8,9,9,Paul Casey,87,69.77,5721,82
9,10,10,Dustin Johnson,75,69.82,5027,72
10,11,11,Hideki Matsuyama,95,69.84,6355,91
11,12,12,Robert Streb,110,69.86,7685,110
12,T13,T13,Jerry Kelly,79,69.87,5520,79
13,T13,T13,Matt Kuchar,97,69.87,6568,94
14,15,15,Justin Rose,69,69.91,4614,66
15,16,16,Brooks Koepka,84,69.95,5666,81
16,17,17,Harris English,105,69.99,7139,102
17,18,18,Rory Sabbatini,81,70.0,5670,81
18,19,19,Tony Finau,106,70.03,7423,106
19,20,20,Russell Knox,96,70.07,6727,96
20,21,21,Danny Lee,120,70.08,8409,120
21,22,22,Patrick Rodgers,57,70.09,3715,53
22,23,23,Brandt Snedeker,98,70.11,6660,95
23,T24,T24,Patrick Reed,103,70.13,7013,100
24,T24,T24,Webb Simpson,81,70.13,5470,78
25,T26,T26,Brendan Steele,88,70.14,5892,84
26,T26,T26,Daniel Summerhays,101,70.14,7084,101
27,28,28,Shawn Stefani,94,70.15,6594,94
28,T29,T29,Daniel Berger,97,70.16,6806,97
29,T29,T29,Chad Collins,79,70.16,5543,79
30,T31,T31,Jonathan Byrd,69,70.17,4561,65
31,T31,T31,Colt Knost,90,70.17,6035,86
32,33,33,Kevin Na,98,70.18,6667,95
33,34,34,Kevin Kisner,104,70.19,7300,104
34,35,35,William McGirt,103,70.22,7233,103
35,T36,T36,George McNeill,93,70.24,6532,93
36,T36,T36,Louis Oosthuizen,68,70.24,4425,63
37,T36,T36,Pat Perez,96,70.24,6743,96
38,39,39,Jim Herman,88,70.25,6182,88
39,T40,T40,Ryan Palmer,80,70.26,5410,77
40,T40,T40,Hudson Swafford,97,70.26,6675,95
41,42,42,Jim Furyk,71,70.27,4497,64
42,43,43,Johnson Wagner,68,70.28,4779,68
43,44,44,Brendon de Jonge,106,70.29,7451,106
44,T45,T45,Sergio Garcia,59,70.3,3937,56
45,T45,T45,Bryce Molder,91,70.3,6116,87
46,47,47,Jimmy Walker,89,70.31,6047,86
47,T48,T48,Steven Alker,62,70.32,4219,60
48,T48,T48,Zac Blair,108,70.32,7313,104
49,T48,T48,Chad Campbell,97,70.32,6821,97
50,51,51,Rickie Fowler,76,70.33,5064,72
