,Early_Par_4_Scoring_Average_RANK THIS WEEK,Early_Par_4_Scoring_Average_RANK LAST WEEK,Early_Par_4_Scoring_Average_PLAYER NAME,Early_Par_4_Scoring_Average_ROUNDS,Early_Par_4_Scoring_Average_AVG,Early_Par_4_Scoring_Average_TOTAL STROKES,Early_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,75,3.89,1132,291
1,2,2,Henrik Stenson,63,3.9,931,239
2,3,3,Jordan Spieth,91,3.92,1173,299
3,T4,T4,Dustin Johnson,75,3.94,1268,322
4,T4,T4,Willy Wilcox,58,3.94,1209,307
5,6,6,Patrick Rodgers,57,3.95,1083,274
6,7,7,Jason Bohn,95,3.96,1879,474
7,T8,T8,Tony Finau,106,3.97,2179,549
8,T8,T8,Russell Knox,96,3.97,1971,496
9,T8,T8,Pat Perez,96,3.97,2196,553
10,T8,T8,Brendan Steele,88,3.97,1897,478
11,T12,T12,Andres Gonzales,90,3.98,1743,438
12,T12,T12,Charley Hoffman,97,3.98,1985,499
13,T12,T12,Hideki Matsuyama,95,3.98,1723,433
14,T12,T12,Francesco Molinari,56,3.98,1276,321
15,T12,T12,Sean O'Hair,86,3.98,1719,432
16,T12,T12,Rory Sabbatini,81,3.98,1591,400
17,T12,T12,Bubba Watson,71,3.98,1011,254
18,T12,T12,Lee Westwood,56,3.98,1217,306
19,T20,T20,Paul Casey,87,3.99,1786,448
20,T20,T20,Zach Johnson,90,3.99,1566,392
21,T20,T20,Brooks Koepka,84,3.99,1625,407
22,T20,T20,Matt Kuchar,97,3.99,1804,452
23,T20,T20,Hunter Mahan,88,3.99,2121,531
24,T20,T20,Kevin Na,98,3.99,1863,467
25,T20,T20,Greg Owen,58,3.99,1234,309
26,T20,T20,Chez Reavie,56,3.99,1373,344
27,T20,T20,Brandt Snedeker,98,3.99,2019,506
28,T20,T20,Daniel Summerhays,101,3.99,2243,562
29,T20,T20,Nick Watney,91,3.99,1883,472
30,T31,T31,Jonathan Byrd,69,4.0,1364,341
31,T31,T31,Kevin Chappell,86,4.0,1946,487
32,T31,T31,Jason Dufner,76,4.0,1635,409
33,T31,T31,Jim Furyk,71,4.0,1117,279
34,T31,T31,J.B. Holmes,89,4.0,1753,438
35,T31,T31,Matt Jones,89,4.0,1710,428
36,T31,T31,Jerry Kelly,79,4.0,1700,425
37,T31,T31,Kevin Kisner,104,4.0,2254,563
38,T31,T31,Danny Lee,120,4.0,2487,622
39,T31,T31,Spencer Levin,99,4.0,1985,496
40,T31,T31,David Lingmerth,90,4.0,1634,409
41,T31,T31,Ben Martin,93,4.0,1926,482
42,T31,T31,George McNeill,93,4.0,1902,475
