,First_Tee_Late_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Scoring_Average_PLAYER NAME,First_Tee_Late_Scoring_Average_ROUNDS,First_Tee_Late_Scoring_Average_AVG,First_Tee_Late_Scoring_Average_TOTAL STROKES,First_Tee_Late_Scoring_Average_TOTAL 1ST TEE LATE ROUNDS
0,1,1,Bubba Watson,71,68.86,2961,43
1,2,2,Jordan Spieth,91,69.07,4006,58
2,3,3,Jason Day,75,69.31,3119,45
3,4,4,Boo Weekley,79,69.38,1804,26
4,5,5,Byron Smith,59,69.56,1113,16
5,6,6,Paul Casey,87,69.58,2157,31
6,7,7,Zach Johnson,90,69.61,3411,49
7,T8,T8,Russell Knox,96,69.62,2367,34
8,T8,T8,Justin Rose,69,69.62,2715,39
9,10,10,George McNeill,93,69.65,1811,26
10,11,11,Robert Streb,110,69.7,2997,43
11,12,12,Kevin Kisner,104,69.74,2650,38
12,13,13,Louis Oosthuizen,68,69.79,2024,29
13,T14,T14,Bryce Molder,91,69.8,1396,20
14,T14,T14,Scott Piercy,90,69.8,1745,25
15,T16,T16,Tom Hoge,83,69.83,1257,18
16,T16,T16,Chris Stroud,84,69.83,1606,23
17,T18,T18,Hideki Matsuyama,95,69.85,3213,46
18,T18,T18,Brandt Snedeker,98,69.85,2794,40
19,T20,T20,Zac Blair,108,69.91,1608,23
20,T20,T20,Jason Bohn,95,69.91,2447,35
21,T20,T20,Sergio Garcia,59,69.91,2237,32
22,23,23,Shawn Stefani,94,69.92,1818,26
23,24,24,Justin Thomas,106,69.93,3147,45
24,T25,T25,Tony Finau,106,69.94,2518,36
25,T25,T25,Willy Wilcox,58,69.94,1119,16
26,T27,T27,Jon Curran,83,69.95,1539,22
27,T27,T27,Greg Owen,58,69.95,1399,20
28,T29,T29,Daniel Berger,97,69.97,2309,33
29,T29,T29,Harris English,105,69.97,2449,35
30,T31,T31,Webb Simpson,81,70.0,2100,30
31,T31,T31,Mark Wilson,89,70.0,1260,18
32,33,33,Ryan Palmer,80,70.04,1821,26
33,34,34,Greg Chalmers,58,70.08,841,12
34,35,35,Bill Haas,89,70.09,2243,32
35,36,36,Brooks Koepka,84,70.1,2804,40
36,T37,T37,Jim Furyk,71,70.11,2454,35
37,T37,T37,Ryo Ishikawa,90,70.11,1893,27
38,39,39,Danny Lee,120,70.14,3016,43
39,40,40,Rickie Fowler,76,70.17,2526,36
40,T41,T41,Chad Collins,79,70.2,1404,20
41,T41,T41,Henrik Stenson,63,70.2,2457,35
42,T43,T43,Oscar Fraustro,58,70.21,983,14
43,T43,T43,Cameron Tringale,96,70.21,2949,42
44,T45,T45,Brice Garnett,81,70.22,1264,18
45,T45,T45,David Hearn,97,70.22,1896,27
46,T45,T45,Vijay Singh,78,70.22,1264,18
47,T48,T48,Fabián Gómez,83,70.24,1475,21
48,T48,T48,Matt Kuchar,97,70.24,3442,49
49,50,50,Jonathan Randolph,72,70.25,1686,24
50,51,51,Jason Gore,76,70.26,1335,19
51,52,52,Rory Sabbatini,81,70.27,1546,22
52,53,53,Whee Kim,71,70.29,1195,17
53,54,54,Brian Stuard,97,70.3,1406,20
54,55,55,Jason Kokrak,88,70.31,1828,26
55,T56,T56,Alex Cejka,94,70.32,1969,28
56,T56,T56,Carl Pettersson,106,70.32,1969,28
57,T56,T56,Michael Thompson,83,70.32,1547,22
58,T56,T56,David Toms,62,70.32,1547,22
59,T60,T60,Jerry Kelly,79,70.33,1688,24
60,T60,T60,Marc Leishman,74,70.33,1688,24
61,T60,T60,Patrick Rodgers,57,70.33,1477,21
