,Round_1_Scoring_Average_RANK THIS WEEK,Round_1_Scoring_Average_RANK LAST WEEK,Round_1_Scoring_Average_PLAYER NAME,Round_1_Scoring_Average_AVG,Round_1_Scoring_Average_TOTAL STROKES,Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Jason Day,68.68,1305,19
1,2,2,Bubba Watson,69.0,1242,18
2,3,3,Willy Wilcox,69.38,1110,16
3,T4,T4,Harris English,69.46,1945,28
4,T4,T4,Matt Kuchar,69.46,1667,24
5,T6,T6,Henrik Stenson,69.47,1042,15
6,T6,T6,Justin Thomas,69.47,2084,30
7,8,8,Paul Casey,69.57,1600,23
8,9,9,Zach Johnson,69.58,1670,24
9,10,10,Kevin Na,69.64,1741,25
10,T11,T11,Patrick Reed,69.69,1812,26
11,T11,T11,Patrick Rodgers,69.69,1115,16
12,13,13,Jim Herman,69.74,1883,27
13,14,14,Brian Stuard,69.8,2094,30
14,T15,T15,Erik Compton,69.81,1885,27
15,T15,T15,Webb Simpson,69.81,1466,21
16,T17,T17,John Peterson,69.88,1677,24
17,T17,T17,Jordan Spieth,69.88,1677,24
18,T17,T17,Michael Thompson,69.88,1817,26
19,20,20,Jason Kokrak,69.89,1957,28
20,21,21,Hideki Matsuyama,69.92,1678,24
21,22,22,William McGirt,69.93,2098,30
22,23,23,Dustin Johnson,69.95,1329,19
23,24,24,J.B. Holmes,69.96,1679,24
24,T25,T25,Jonathan Byrd,70.1,1472,21
25,T25,T25,Alex Cejka,70.1,2033,29
26,27,27,Stewart Cink,70.13,1613,23
27,28,28,Daniel Summerhays,70.14,2034,29
28,29,29,Seung-Yul Noh,70.19,1474,21
29,30,30,Sergio Garcia,70.21,983,14
30,31,31,Mark Hubbard,70.22,1615,23
31,32,32,Ryan Palmer,70.24,1475,21
32,33,33,Rickie Fowler,70.25,1405,20
33,34,34,Brendan Steele,70.26,1616,23
34,35,35,Brandt Snedeker,70.27,1827,26
35,T36,T36,Jonas Blixt,70.28,1757,25
36,T36,T36,K.J. Choi,70.28,1265,18
37,38,38,Keegan Bradley,70.3,1617,23
38,T39,T39,Steven Alker,70.33,1477,21
39,T39,T39,Aaron Baddeley,70.33,1688,24
40,T39,T39,Francesco Molinari,70.33,1055,15
41,T42,T42,Daniel Berger,70.35,2181,31
42,T42,T42,Jim Furyk,70.35,1196,17
43,T44,T44,Danny Lee,70.36,2533,36
44,T44,T44,Scott Piercy,70.36,1970,28
45,T46,T46,Jason Bohn,70.37,1900,27
46,T46,T46,Chad Campbell,70.37,2111,30
47,T46,T46,Ryo Ishikawa,70.37,1900,27
48,T46,T46,Colt Knost,70.37,1900,27
49,50,50,Pat Perez,70.38,1830,26
50,T51,T51,Martin Flores,70.41,2042,29
51,T51,T51,Michael Putnam,70.41,1901,27
52,53,53,Luke Guthrie,70.42,1831,26
53,T54,T54,Vijay Singh,70.43,1620,23
54,T54,T54,Robert Streb,70.43,2113,30
55,T56,T56,Ian Poulter,70.44,1268,18
56,T56,T56,Rory Sabbatini,70.44,1761,25
57,58,58,Brendon Todd,70.46,1832,26
58,59,59,Martin Laird,70.5,1692,24
59,60,60,Jon Curran,70.52,1904,27
60,61,61,Jhonattan Vegas,70.54,1834,26
61,T62,T62,Bryce Molder,70.56,1764,25
62,T62,T62,Mark Wilson,70.56,1905,27
