,First_Tee_Late_Round_2_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Round_2_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Round_2_Scoring_Average_PLAYER NAME,First_Tee_Late_Round_2_Scoring_Average_AVG,First_Tee_Late_Round_2_Scoring_Average_TOTAL STROKES,First_Tee_Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Derek Ernst,67.0,134,2
1,2,2,George McNeill,67.2,336,5
2,3,3,Marc Leishman,67.6,338,5
3,4,4,Brendan Steele,68.17,409,6
4,5,5,Nick Watney,68.2,341,5
5,T6,T6,John Huh,68.25,273,4
6,T6,T6,Chris Stroud,68.25,273,4
7,8,8,Russell Knox,68.33,615,9
8,9,9,Steve Wheatcroft,68.67,206,3
9,10,10,Henrik Stenson,68.75,275,4
10,11,11,Boo Weekley,68.8,344,5
11,12,12,Greg Chalmers,68.83,413,6
12,13,13,Blayne Barber,68.86,482,7
13,14,14,Daniel Berger,68.89,620,9
14,T15,T15,Zac Blair,69.0,207,3
15,T15,T15,Tom Hoge,69.0,276,4
16,T15,T15,Andrew Putnam,69.0,276,4
17,T15,T15,David Toms,69.0,345,5
18,19,19,Ian Poulter,69.17,415,6
19,20,20,Dustin Johnson,69.18,761,11
20,21,21,John Merrick,69.2,346,5
21,22,22,Jason Day,69.3,693,10
22,T23,T23,Charlie Beljan,69.33,208,3
23,T23,T23,Greg Owen,69.33,416,6
24,T23,T23,Byron Smith,69.33,416,6
25,26,26,Ryo Ishikawa,69.4,694,10
26,T27,T27,Chad Collins,69.43,486,7
27,T27,T27,Justin Thomas,69.43,486,7
28,T29,T29,Cameron Tringale,69.5,556,8
29,T29,T29,Johnson Wagner,69.5,695,10
30,31,31,Bo Van Pelt,69.56,626,9
31,T32,T32,Louis Oosthuizen,69.57,487,7
32,T32,T32,Justin Rose,69.57,487,7
33,34,34,Patrick Rodgers,69.6,348,5
34,T35,T35,Jason Dufner,69.67,418,6
35,T35,T35,Oscar Fraustro,69.67,209,3
36,T35,T35,Brooks Koepka,69.67,627,9
37,T35,T35,Bubba Watson,69.67,627,9
38,39,39,Paul Casey,69.71,488,7
39,40,40,Kevin Na,69.75,558,8
40,T41,T41,Alex Cejka,69.8,698,10
41,T41,T41,Sergio Garcia,69.8,698,10
42,T41,T41,Matt Kuchar,69.8,698,10
43,T41,T41,Vijay Singh,69.8,349,5
44,T41,T41,Mark Wilson,69.8,349,5
45,T46,T46,Harris English,69.83,419,6
46,T46,T46,Pat Perez,69.83,419,6
47,T48,T48,Eric Axley,69.86,489,7
48,T48,T48,Tony Finau,69.86,489,7
49,T48,T48,Patrick Reed,69.86,978,14
50,T51,T51,Luke Donald,69.88,559,8
51,T51,T51,Bill Haas,69.88,559,8
52,T53,T53,Brandt Snedeker,69.92,839,12
53,T53,T53,Jordan Spieth,69.92,839,12
54,T55,T55,Brendon de Jonge,70.0,350,5
55,T55,T55,Chesson Hadley,70.0,630,9
56,T55,T55,Scott Langley,70.0,420,6
57,T58,T58,Hunter Mahan,70.11,631,9
58,T58,T58,Phil Mickelson,70.11,631,9
59,T58,T58,Jeff Overton,70.11,631,9
60,T61,T61,Robert Allenby,70.17,421,6
61,T61,T61,Ken Duke,70.17,421,6
62,T61,T61,Colt Knost,70.17,421,6
63,T61,T61,Troy Merritt,70.17,842,12
64,T61,T61,Cameron Percy,70.17,421,6
65,T61,T61,Nicholas Thompson,70.17,421,6
66,67,67,Rickie Fowler,70.18,772,11
67,68,68,Brendon Todd,70.2,702,10
68,69,69,Hideki Matsuyama,70.21,983,14
69,70,70,Keegan Bradley,70.22,632,9
70,T71,T71,Webb Simpson,70.25,562,8
71,T71,T71,Robert Streb,70.25,562,8
72,T73,T73,Sangmoon Bae,70.29,492,7
73,T73,T73,Chad Campbell,70.29,492,7
74,T73,T73,Fabián Gómez,70.29,492,7
75,76,76,William McGirt,70.3,703,10
76,T77,T77,Derek Fathauer,70.33,633,9
77,T77,T77,Zach Johnson,70.33,633,9
78,T77,T77,Jason Kokrak,70.33,422,6
79,T77,T77,Danny Lee,70.33,633,9
80,T77,T77,John Peterson,70.33,422,6
81,T77,T77,Jhonattan Vegas,70.33,422,6
82,83,83,Graham DeLaet,70.43,493,7
83,T84,T84,Steven Alker,70.5,282,4
84,T84,T84,Kevin Kisner,70.5,705,10
85,T84,T84,Carl Pettersson,70.5,423,6
86,T84,T84,Michael Putnam,70.5,141,2
87,T84,T84,Kyle Reifers,70.5,282,4
88,89,89,Carlos Ortiz,70.57,494,7
89,T90,T90,Steven Bowditch,70.6,353,5
90,T90,T90,Jim Furyk,70.6,353,5
91,T90,T90,Brian Stuard,70.6,353,5
92,T93,T93,Jason Bohn,70.63,565,8
93,T93,T93,Whee Kim,70.63,565,8
94,T93,T93,Martin Laird,70.63,565,8
95,T96,T96,Scott Brown,70.67,212,3
96,T96,T96,Jason Gore,70.67,424,6
97,T96,T96,Charles Howell III,70.67,636,9
98,T96,T96,Heath Slocum,70.67,212,3
99,T100,T100,Sean O'Hair,70.71,495,7
100,T100,T100,Adam Scott,70.71,495,7
101,T102,T102,Michael Thompson,70.75,283,4
102,T102,T102,Tyrone Van Aswegen,70.75,283,4
103,104,104,Roberto Castro,70.8,354,5
104,T105,T105,J.J. Henry,70.83,425,6
105,T105,T105,Charl Schwartzel,70.83,425,6
106,T107,T107,Jonathan Byrd,71.0,284,4
107,T107,T107,K.J. Choi,71.0,284,4
108,T107,T107,Jon Curran,71.0,497,7
109,T107,T107,Retief Goosen,71.0,355,5
110,T107,T107,Adam Hadwin,71.0,284,4
111,T107,T107,Jerry Kelly,71.0,355,5
112,T107,T107,Bryce Molder,71.0,213,3
113,T107,T107,Ryan Moore,71.0,284,4
114,T107,T107,Ryan Palmer,71.0,355,5
115,T107,T107,Rory Sabbatini,71.0,284,4
116,T107,T107,Shawn Stefani,71.0,142,2
117,T107,T107,Nick Taylor,71.0,497,7
118,T107,T107,Jimmy Walker,71.0,568,8
