,Birdie_or_Better_Percentage_RANK THIS WEEK,Birdie_or_Better_Percentage_RANK LAST WEEK,Birdie_or_Better_Percentage_PLAYER NAME,Birdie_or_Better_Percentage_ROUNDS,Birdie_or_Better_Percentage_%,Birdie_or_Better_Percentage_TOTAL BIRDIES,Birdie_or_Better_Percentage_TOTAL HOLES,Birdie_or_Better_Percentage_GIR RANK
0,1,1,Jason Day,75,27.08,351,1296,7
1,2,2,Jordan Spieth,91,25.69,407,1584,49
2,3,3,Bubba Watson,71,25.08,307,1224,19
3,4,4,Justin Rose,69,24.83,295,1188,9
4,5,5,Dustin Johnson,75,24.61,319,1296,70
5,6,6,Justin Thomas,106,23.9,456,1908,27
6,7,7,Hideki Matsuyama,95,23.44,384,1638,21
7,8,8,Tony Finau,106,23.43,447,1908,57
8,9,9,J.B. Holmes,89,23.4,358,1530,154
9,10,10,Brooks Koepka,84,23.05,336,1458,17
10,11,11,Jimmy Walker,89,23.0,356,1548,101
11,12,12,Henrik Stenson,63,22.96,248,1080,1
12,13,13,Rickie Fowler,76,22.76,295,1296,106
13,14,14,Brendan Steele,88,22.75,344,1512,40
14,15,15,Matt Jones,89,22.61,350,1548,147
15,16,16,Phil Mickelson,70,22.54,284,1260,177
16,17,17,Willy Wilcox,58,22.53,219,972,4
17,18,18,Pat Perez,96,22.51,389,1728,48
18,19,19,Danny Lee,120,22.5,486,2160,111
19,T20,T20,Jason Bohn,95,22.46,384,1710,28
20,T20,T20,Shawn Stefani,94,22.46,380,1692,32
21,22,22,Robert Streb,110,22.37,443,1980,23
22,23,23,Hudson Swafford,97,22.34,382,1710,39
23,24,24,Sergio Garcia,59,22.32,225,1008,59
24,25,25,Patrick Reed,103,22.28,401,1800,141
25,T26,T26,Matt Kuchar,97,22.22,376,1692,85
26,T26,T26,Steve Wheatcroft,87,22.22,332,1494,136
27,28,28,Zach Johnson,90,22.16,347,1566,37
28,29,29,Patrick Rodgers,57,22.12,211,954,77
29,30,30,Charley Hoffman,97,22.1,374,1692,97
30,T31,T31,Paul Casey,87,22.02,325,1476,5
31,T31,T31,Russell Henley,87,22.02,333,1512,69
32,33,33,Kevin Na,98,21.99,376,1710,138
33,34,34,Tom Hoge,83,21.87,311,1422,102
34,35,35,Keegan Bradley,87,21.83,330,1512,60
35,36,36,Daniel Berger,97,21.82,381,1746,30
36,37,37,Rory Sabbatini,81,21.81,318,1458,52
37,T38,T38,Ryan Moore,81,21.79,306,1404,123
38,T38,T38,Lee Westwood,56,21.79,204,936,89
39,T40,T40,Chesson Hadley,101,21.73,395,1818,156
40,T40,T40,Ben Martin,93,21.73,352,1620,34
41,42,42,Jason Kokrak,88,21.72,344,1584,67
42,43,43,Billy Horschel,99,21.7,375,1728,18
43,44,44,Scott Piercy,90,21.67,351,1620,80
44,45,45,Louis Oosthuizen,68,21.6,245,1134,43
45,T46,T46,Carlos Ortiz,100,21.53,372,1728,74
46,T46,T46,Adam Scott,51,21.53,186,864,16
47,48,48,Kevin Chappell,86,21.51,333,1548,103
48,49,49,Blayne Barber,76,21.47,286,1332,90
49,T50,T50,Jason Gore,76,21.45,278,1296,61
50,T50,T50,Jerry Kelly,79,21.45,305,1422,104
51,52,52,Nick Watney,91,21.43,351,1638,66
52,53,53,Sean O'Hair,86,21.38,331,1548,144
53,54,54,Ryan Palmer,80,21.36,296,1386,75
54,55,55,Brandt Snedeker,98,21.35,365,1710,129
55,56,56,Ryo Ishikawa,90,21.34,338,1584,92
56,57,57,Chris Stroud,84,21.3,322,1512,112
57,58,58,Brendon de Jonge,106,21.28,406,1908,62
58,59,59,Steven Bowditch,103,21.25,394,1854,158
59,60,60,Chris Kirk,76,21.23,279,1314,139
60,61,61,Daniel Summerhays,101,21.18,385,1818,113
61,62,62,Harris English,105,21.13,388,1836,70
62,63,63,Boo Weekley,79,21.1,300,1422,55
63,64,64,Seung-Yul Noh,65,21.03,246,1170,105
64,65,65,David Lingmerth,90,20.99,340,1620,130
65,66,66,Scott Brown,97,20.9,365,1746,126
66,67,67,John Senden,80,20.89,282,1350,68
67,T68,T68,Marc Leishman,74,20.87,263,1260,113
68,T68,T68,Webb Simpson,81,20.87,293,1404,53
69,T70,T70,Whee Kim,71,20.85,259,1242,46
70,T70,T70,Ian Poulter,68,20.85,244,1170,108
71,T70,T70,Brendon Todd,96,20.85,349,1674,118
72,73,73,Russell Knox,96,20.83,360,1728,7
73,T74,T74,Stewart Cink,77,20.78,288,1386,3
74,T74,T74,Jason Dufner,76,20.78,273,1314,24
75,T74,T74,Morgan Hoffmann,85,20.78,318,1530,180
76,77,77,Nick Taylor,91,20.76,340,1638,142
77,78,78,Camilo Villegas,83,20.75,310,1494,165
78,79,79,Colt Knost,90,20.74,321,1548,63
79,80,80,David Hearn,97,20.73,362,1746,47
80,81,81,Martin Laird,77,20.71,287,1386,94
81,82,82,George McNeill,93,20.67,346,1674,91
82,83,83,Jim Furyk,71,20.66,238,1152,14
83,84,84,Aaron Baddeley,76,20.65,275,1332,172
84,T85,T85,James Hahn,94,20.63,349,1692,98
85,T85,T85,Cameron Percy,72,20.63,260,1260,54
86,T87,T87,Jonathan Byrd,69,20.6,241,1170,65
87,T87,T87,Graham DeLaet,65,20.6,241,1170,22
88,T87,T87,Luke Guthrie,84,20.6,304,1476,153
89,90,90,Michael Thompson,83,20.58,300,1458,121
90,91,91,Jonas Blixt,78,20.57,274,1332,170
91,92,92,Scott Stallings,60,20.56,222,1080,127
92,T93,T93,Carl Pettersson,106,20.55,392,1908,166
93,T93,T93,Charl Schwartzel,67,20.55,233,1134,128
94,95,95,Sangmoon Bae,98,20.52,362,1764,168
95,T96,T96,Erik Compton,86,20.48,317,1548,162
96,T96,T96,Andres Gonzales,90,20.48,317,1548,81
97,98,98,Greg Chalmers,58,20.47,199,972,152
98,99,99,Lucas Glover,79,20.46,291,1422,10
99,100,100,Scott Pinckney,88,20.45,324,1584,57
100,101,101,Chez Reavie,56,20.44,206,1008,15
101,102,102,Bo Van Pelt,81,20.39,290,1422,73
102,103,103,Charlie Beljan,76,20.37,264,1296,117
103,104,104,Alex Prugh,84,20.35,293,1440,11
104,105,105,Jim Herman,88,20.27,321,1584,2
105,106,106,Brian Harman,90,20.25,328,1620,81
106,107,107,Hunter Mahan,88,20.24,306,1512,107
107,108,108,John Merrick,78,20.2,269,1332,56
108,109,109,Alex Cejka,94,20.17,334,1656,109
109,110,110,Nicholas Thompson,90,20.16,312,1548,36
110,111,111,Adam Hadwin,95,20.13,337,1674,85
111,112,112,Vijay Singh,78,20.09,282,1404,95
112,113,113,Fabián Gómez,83,20.08,300,1494,157
113,114,114,Bryce Molder,91,20.05,314,1566,119
114,115,115,Steven Alker,62,20.0,216,1080,84
115,116,116,Jeff Overton,94,19.99,331,1656,109
116,117,117,Gary Woodland,81,19.97,266,1332,79
117,118,118,Robert Garrigus,70,19.95,237,1188,148
118,119,119,Kevin Kisner,104,19.93,373,1872,95
119,120,120,Ángel Cabrera,53,19.92,190,954,131
120,T121,T121,Ken Duke,93,19.91,319,1602,146
121,T121,T121,Mark Hubbard,79,19.91,276,1386,75
122,123,123,Sam Saunders,83,19.89,290,1458,125
123,T124,T124,Kyle Reifers,96,19.87,329,1656,72
124,T124,T124,Andres Romero,69,19.87,236,1188,176
125,126,126,William McGirt,103,19.8,367,1854,50
126,127,127,Andrew Putnam,68,19.79,228,1152,183
127,128,128,Kevin Streelman,95,19.78,324,1638,25
128,129,129,Jhonattan Vegas,90,19.7,305,1548,120
129,T130,T130,Scott Langley,94,19.69,326,1656,134
130,T130,T130,Johnson Wagner,68,19.69,241,1224,26
131,132,132,Chad Campbell,97,19.64,343,1746,35
132,T133,T133,Derek Fathauer,81,19.55,271,1386,178
133,T133,T133,Oscar Fraustro,58,19.55,190,972,163
134,T133,T133,Roger Sloan,56,19.55,183,936,164
135,T136,T136,Ricky Barnes,82,19.52,274,1404,182
136,T136,T136,Max Homa,78,19.52,260,1332,167
137,138,138,Cameron Tringale,96,19.5,337,1728,137
138,139,139,Ernie Els,57,19.49,200,1026,140
139,140,140,Bill Haas,89,19.44,301,1548,31
140,T141,T141,Gonzalo Fernandez-Castaño,81,19.41,269,1386,149
141,T141,T141,Michael Putnam,87,19.41,297,1530,12
142,T141,T141,Mark Wilson,89,19.41,297,1530,51
143,144,144,Martin Flores,95,19.35,317,1638,41
144,145,145,Chad Collins,79,19.34,275,1422,100
145,146,146,Byron Smith,59,19.29,191,990,28
146,147,147,K.J. Choi,66,19.27,215,1116,151
147,148,148,John Huh,102,19.25,350,1818,132
148,149,149,Zac Blair,108,19.23,360,1872,116
149,150,150,Geoff Ogilvy,50,19.21,166,864,85
150,151,151,Brice Garnett,81,19.2,273,1422,43
151,152,152,Andrew Svoboda,80,19.16,269,1404,155
152,153,153,Charles Howell III,105,19.15,362,1890,38
153,154,154,Retief Goosen,81,19.12,265,1386,175
154,155,155,John Peterson,84,19.05,288,1512,41
155,156,156,Greg Owen,58,18.97,198,1044,20
156,157,157,Brian Stuard,97,18.82,315,1674,161
157,158,158,Jonathan Randolph,72,18.81,237,1260,143
158,T159,T159,Jon Curran,83,18.78,267,1422,93
159,T159,T159,Derek Ernst,75,18.78,240,1278,88
160,161,161,Spencer Levin,99,18.73,327,1746,45
