,Bogey_Average_RANK THIS WEEK,Bogey_Average_RANK LAST WEEK,Bogey_Average_PLAYER NAME,Bogey_Average_EVENTS,Bogey_Average_AVERAGE BOGEYS PER ROUND,Bogey_Average_TOTAL BOGEYS,Bogey_Average_ROUNDS PLAYED
0,1,1,Jason Day,20,1.86,134,72
1,2,2,Willy Wilcox,17,2.04,110,54
2,3,3,John Peterson,25,2.06,173,84
3,4,4,Jordan Spieth,25,2.08,183,88
4,5,5,Justin Rose,20,2.17,143,66
5,6,6,Jason Bohn,27,2.18,207,95
6,7,7,Justin Thomas,30,2.2,233,106
7,T8,T8,Chad Collins,24,2.24,177,79
8,T8,T8,Billy Hurley III,28,2.24,177,79
9,T8,T8,Zach Johnson,25,2.24,195,87
10,T8,T8,Greg Owen,19,2.24,130,58
11,T8,T8,Tyrone Van Aswegen,20,2.24,121,54
12,13,13,Hideki Matsuyama,25,2.25,205,91
13,T14,T14,Harris English,29,2.27,232,102
14,T14,T14,Jim Herman,27,2.27,200,88
15,T14,T14,William McGirt,30,2.27,234,103
16,T14,T14,Henrik Stenson,16,2.27,136,60
17,18,18,Rickie Fowler,21,2.29,165,72
18,T19,T19,Russell Knox,28,2.3,221,96
19,T19,T19,Bryce Molder,26,2.3,200,87
20,T21,T21,Jim Furyk,19,2.31,148,64
21,T21,T21,Matt Kuchar,25,2.31,217,94
22,23,23,Zac Blair,34,2.32,241,104
23,24,24,Bill Haas,25,2.33,200,86
24,25,25,Stewart Cink,23,2.34,180,77
25,T26,T26,Steven Bowditch,32,2.35,242,103
26,T26,T26,Brendon Todd,27,2.35,219,93
27,28,28,Kevin Kisner,30,2.36,245,104
28,T29,T29,Paul Casey,24,2.37,194,82
29,T29,T29,Rory Sabbatini,25,2.37,192,81
30,T29,T29,Kevin Streelman,27,2.37,216,91
31,T32,T32,Jon Curran,28,2.38,188,79
32,T32,T32,Pat Perez,26,2.38,228,96
33,T32,T32,Brendan Steele,24,2.38,200,84
34,T35,T35,Luke Donald,20,2.39,170,71
35,T35,T35,Russell Henley,24,2.39,201,84
36,T37,T37,Adam Hadwin,30,2.4,223,93
37,T37,T37,Brian Harman,29,2.4,216,90
38,T37,T37,Dustin Johnson,21,2.4,173,72
39,T37,T37,Brooks Koepka,23,2.4,194,81
40,T37,T37,Francesco Molinari,16,2.4,127,53
41,T37,T37,Sung Joon Park,27,2.4,185,77
42,T37,T37,Ian Poulter,19,2.4,156,65
43,T37,T37,Robert Streb,30,2.4,264,110
44,T45,T45,Webb Simpson,22,2.41,188,78
45,T45,T45,David Toms,21,2.41,140,58
46,T45,T45,Bubba Watson,19,2.41,164,68
47,T48,T48,Jonathan Byrd,22,2.42,157,65
48,T48,T48,Graham DeLaet,22,2.42,157,65
49,T48,T48,Michael Putnam,28,2.42,206,85
50,T51,T51,Billy Horschel,28,2.43,233,96
51,T51,T51,Brandt Snedeker,27,2.43,231,95
52,T53,T53,Daniel Berger,31,2.44,237,97
53,T53,T53,Spencer Levin,31,2.44,237,97
54,T53,T53,Kevin Na,27,2.44,232,95
55,56,56,Aaron Baddeley,25,2.45,181,74
56,T57,T57,Martin Flores,30,2.46,224,91
57,T57,T57,Sergio Garcia,15,2.46,138,56
58,T57,T57,Troy Merritt,29,2.46,224,91
59,T57,T57,Shawn Stefani,26,2.46,231,94
60,T61,T61,John Huh,31,2.47,249,101
61,T61,T61,Jerry Kelly,24,2.47,195,79
62,T61,T61,Colt Knost,29,2.47,212,86
63,T61,T61,Jonathan Randolph,25,2.47,173,70
64,T65,T65,Steven Alker,22,2.48,149,60
65,T65,T65,K.J. Choi,19,2.48,154,62
66,T65,T65,Mark Hubbard,25,2.48,191,77
67,T65,T65,Martin Laird,24,2.48,191,77
68,T65,T65,Mark Wilson,28,2.48,211,85
69,T70,T70,Alex Cejka,30,2.49,229,92
70,T70,T70,Johnson Wagner,23,2.49,169,68
71,T72,T72,Eric Axley,21,2.51,138,55
72,T72,T72,Brendon de Jonge,31,2.51,266,106
73,T72,T72,Chris Kirk,21,2.51,183,73
74,T72,T72,Danny Lee,36,2.51,301,120
75,T72,T72,Louis Oosthuizen,20,2.51,158,63
76,T72,T72,Hudson Swafford,30,2.51,238,95
77,T72,T72,Steve Wheatcroft,28,2.51,208,83
78,79,79,Jhonattan Vegas,27,2.52,217,86
