,Stroke_Differential_Field_Average_RANK THIS WEEK,Stroke_Differential_Field_Average_RANK LAST WEEK,Stroke_Differential_Field_Average_PLAYER NAME,Stroke_Differential_Field_Average_ROUNDS,Stroke_Differential_Field_Average_STROKE DIFFERENTIAL,Stroke_Differential_Field_Average_PLAYER'S SCORE,Stroke_Differential_Field_Average_FIELD AVERAGE SCORE
34,T35,T35,Kevin Kisner,104,+.71,70.19,70.9
35,T35,T35,Shawn Stefani,94,+.71,70.15,70.86
36,37,37,Phil Mickelson,70,+.70,70.86,71.56
37,38,38,Francesco Molinari,56,+.67,70.53,71.2
38,39,39,Danny Lee,120,+.66,70.08,70.74
39,40,40,Pat Perez,96,+.64,70.24,70.88
40,41,41,Ryan Moore,81,+.61,70.68,71.29
41,42,42,Daniel Summerhays,101,+.60,70.14,70.74
42,T43,T43,Charley Hoffman,97,+.59,70.48,71.07
43,T43,T43,Jerry Kelly,79,+.59,69.87,70.46
44,T45,T45,Matt Jones,89,+.58,70.43,71.01
45,T45,T45,Rory Sabbatini,81,+.58,70.0,70.58
46,T47,T47,Daniel Berger,97,+.54,70.16,70.7
47,T47,T47,Brendon Todd,96,+.54,70.39,70.93
48,T49,T49,Russell Henley,87,+.53,70.46,70.99
49,T49,T49,Marc Leishman,74,+.53,70.64,71.17
50,T49,T49,George McNeill,93,+.53,70.24,70.77
51,52,52,Bill Haas,89,+.52,70.6,71.12
52,53,53,Brendon de Jonge,106,+.50,70.29,70.79
53,54,54,Kevin Chappell,86,+.48,70.51,70.99
54,55,55,Jason Dufner,76,+.47,70.84,71.31
55,56,56,Luke Donald,71,+.46,70.77,71.23
56,57,57,William McGirt,103,+.43,70.22,70.65
57,58,58,John Peterson,84,+.42,70.38,70.8
58,T59,T59,Chad Campbell,97,+.40,70.32,70.72
59,T59,T59,Nick Watney,91,+.40,70.37,70.77
60,61,61,Chad Collins,79,+.39,70.16,70.55
61,T62,T62,Graham DeLaet,65,+.38,70.42,70.8
62,T62,T62,Jason Kokrak,88,+.38,70.36,70.74
63,T62,T62,Scott Piercy,90,+.38,70.34,70.72
64,65,65,Chris Kirk,76,+.37,70.85,71.22
65,T66,T66,David Hearn,97,+.36,70.51,70.87
66,T66,T66,Jim Herman,88,+.36,70.25,70.61
67,T66,T66,Martin Laird,77,+.36,70.48,70.84
68,T69,T69,Stewart Cink,77,+.34,70.38,70.72
69,T69,T69,Billy Horschel,99,+.34,70.83,71.17
70,T69,T69,David Lingmerth,90,+.34,70.43,70.77
71,T69,T69,Boo Weekley,79,+.34,70.42,70.76
72,73,73,Colt Knost,90,+.33,70.17,70.5
73,74,74,Brian Harman,90,+.31,70.46,70.77
74,T75,T75,Charles Howell III,105,+.30,70.56,70.86
75,T75,T75,Hudson Swafford,97,+.30,70.26,70.56
76,T77,T77,Zac Blair,108,+.29,70.32,70.61
77,T77,T77,Steven Bowditch,103,+.29,70.34,70.63
78,T77,T77,Cameron Tringale,96,+.29,70.96,71.25
79,T80,T80,Jonathan Byrd,69,+.28,70.17,70.45
80,T80,T80,John Senden,80,+.28,71.12,71.4
81,82,82,Vijay Singh,78,+.27,70.46,70.73
82,T83,T83,Scott Brown,97,+.26,70.39,70.65
83,T83,T83,Jamie Donaldson,50,+.26,71.62,71.88
84,T85,T85,James Hahn,94,+.25,70.62,70.87
85,T85,T85,Hunter Mahan,88,+.25,70.92,71.17
86,87,87,Gary Woodland,81,+.22,71.15,71.37
87,88,88,Bryce Molder,91,+.21,70.3,70.51
88,T89,T89,Tom Hoge,83,+.20,70.37,70.57
