,Birdie_or_Better_Percentage_-_175-200_ya_RANK THIS WEEK,Birdie_or_Better_Percentage_-_175-200_ya_RANK LAST WEEK,Birdie_or_Better_Percentage_-_175-200_ya_PLAYER NAME,Birdie_or_Better_Percentage_-_175-200_ya_ROUNDS,Birdie_or_Better_Percentage_-_175-200_ya_%,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_175-200_ya_TOTAL HOLES
119,T120,T120,Chad Campbell,97,12.64,44,348
120,T120,T120,Jeff Overton,94,12.64,34,269
121,122,122,Brendon de Jonge,106,12.58,41,326
122,T123,T123,Erik Compton,86,12.5,29,232
123,T123,T123,Brice Garnett,81,12.5,27,216
124,T123,T123,Charl Schwartzel,67,12.5,17,136
125,T126,T126,Graham DeLaet,65,12.43,23,185
126,T126,T126,Hunter Mahan,88,12.43,23,185
127,128,128,James Hahn,94,12.41,34,274
128,129,129,Chesson Hadley,101,12.28,35,285
129,130,130,Fabián Gómez,83,12.24,30,245
130,131,131,Cameron Percy,72,12.22,22,180
131,132,132,Kevin Kisner,104,12.18,38,312
132,133,133,Matt Kuchar,97,12.17,32,263
133,134,134,Michael Thompson,83,12.16,31,255
134,135,135,John Merrick,78,12.15,26,214
135,136,136,Michael Putnam,87,12.13,29,239
136,137,137,Mark Hubbard,79,12.11,27,223
137,138,138,Derek Fathauer,81,12.07,28,232
138,139,139,Keegan Bradley,87,12.0,24,200
139,140,140,John Huh,102,11.88,41,345
140,141,141,Jonathan Randolph,72,11.86,23,194
141,142,142,Oscar Fraustro,58,11.81,15,127
142,143,143,Brian Davis,86,11.76,34,289
143,T144,T144,Jonathan Byrd,69,11.68,23,197
144,T144,T144,Jimmy Walker,89,11.68,23,197
145,146,146,David Toms,62,11.64,22,189
146,147,147,Chris Kirk,76,11.5,23,200
147,148,148,Jonas Blixt,78,11.46,22,192
148,149,149,J.J. Henry,94,11.35,26,229
149,150,150,Vijay Singh,78,11.33,29,256
150,151,151,Sung Joon Park,79,11.3,26,230
151,152,152,Boo Weekley,79,11.21,25,223
152,153,153,Jhonattan Vegas,90,11.11,26,234
153,154,154,Bo Van Pelt,81,11.06,25,226
154,155,155,Robert Allenby,63,11.0,23,209
155,156,156,K.J. Choi,66,10.91,24,220
156,157,157,Bill Lunde,50,10.83,13,120
157,158,158,Martin Laird,77,10.73,25,233
158,159,159,Ricky Barnes,82,10.66,26,244
159,160,160,Nick Watney,91,10.65,28,263
160,161,161,Marc Leishman,74,10.58,20,189
161,162,162,Francesco Molinari,56,10.53,18,171
162,163,163,Andrew Putnam,68,10.5,21,200
163,164,164,Greg Owen,58,10.48,13,124
164,165,165,Luke Donald,71,10.23,22,215
165,166,166,Tyrone Van Aswegen,58,10.22,14,137
166,167,167,Alex Prugh,84,10.08,24,238
167,168,168,Brendon Todd,96,9.89,28,283
168,169,169,Mark Wilson,89,9.86,29,294
169,170,170,Bill Haas,89,9.85,26,264
170,T171,T171,Zac Blair,108,9.36,32,342
171,T171,T171,Derek Ernst,75,9.36,19,203
172,173,173,D.A. Points,72,9.3,20,215
173,174,174,Alex Cejka,94,9.25,26,281
174,175,175,Matt Every,73,9.05,18,199
175,176,176,Jon Curran,83,8.88,23,259
176,T177,T177,Jim Renner,68,8.7,16,184
177,T177,T177,Tim Wilkinson,73,8.7,18,207
178,179,179,Spencer Levin,99,8.44,26,308
179,180,180,Jamie Donaldson,50,7.41,8,108
180,181,181,Davis Love III,51,7.2,9,125
181,182,182,Cameron Tringale,96,6.91,21,304
182,183,183,Justin Leonard,61,6.58,15,228
183,184,184,Heath Slocum,57,6.38,9,141
