,25_Final_Round_Performance_RANK THIS WEEK,25_Final_Round_Performance_RANK LAST WEEK,25_Final_Round_Performance_PLAYER NAME,25_Final_Round_Performance_EVENTS,25_Final_Round_Performance_% TIMES IMPROVED,25_Final_Round_Performance_# OF TIMES IMPROVED
0,T1,T1,Paul Casey,24,100.0,7.0
1,T1,T1,Jason Day,20,100.0,2.0
2,T1,T1,Hideki Matsuyama,25,100.0,4.0
3,T1,T1,Greg Owen,19,100.0,3.0
4,T1,T1,Chez Reavie,19,100.0,6.0
5,T1,T1,Henrik Stenson,16,100.0,6.0
6,T1,T1,Johnson Wagner,23,100.0,5.0
7,T1,T1,Bubba Watson,19,100.0,3.0
8,T1,T1,Willy Wilcox,17,100.0,8.0
9,10,10,William McGirt,30,91.7,11.0
10,11,11,Robert Streb,30,90.9,10.0
11,12,12,Tom Hoge,26,90.0,9.0
12,T13,T13,Charley Hoffman,28,87.5,7.0
13,T13,T13,Ryan Palmer,22,87.5,7.0
14,T13,T13,Camilo Villegas,27,87.5,7.0
15,T13,T13,Lee Westwood,15,87.5,7.0
16,17,17,Rory Sabbatini,25,85.7,6.0
17,T18,T18,Keegan Bradley,24,83.3,10.0
18,T18,T18,Jerry Kelly,24,83.3,5.0
19,T18,T18,Ryan Moore,24,83.3,5.0
20,T21,T21,Jason Bohn,27,81.8,9.0
21,T21,T21,Chris Kirk,21,81.8,9.0
22,T23,T23,Jonathan Byrd,22,80.0,4.0
23,T23,T23,Ángel Cabrera,19,80.0,4.0
24,T23,T23,John Huh,31,80.0,12.0
25,T23,T23,Billy Hurley III,28,80.0,8.0
26,T23,T23,Colt Knost,29,80.0,8.0
27,T28,T28,Steven Bowditch,32,77.8,7.0
28,T28,T28,K.J. Choi,19,77.8,7.0
29,T28,T28,Tony Finau,31,77.8,7.0
30,T28,T28,Martin Laird,24,77.8,7.0
31,T28,T28,Sung Joon Park,27,77.8,7.0
32,T28,T28,Brendan Steele,24,77.8,7.0
