,Front_9_Par_5_Scoring_Average_RANK THIS WEEK,Front_9_Par_5_Scoring_Average_RANK LAST WEEK,Front_9_Par_5_Scoring_Average_PLAYER NAME,Front_9_Par_5_Scoring_Average_ROUNDS,Front_9_Par_5_Scoring_Average_AVG,Front_9_Par_5_Scoring_Average_TOTAL STROKES,Front_9_Par_5_Scoring_Average_TOTAL HOLES
0,1,1,Paul Casey,87,4.44,466,105
1,T2,T2,Louis Oosthuizen,68,4.49,440,98
2,T2,T2,Bubba Watson,71,4.49,400,89
3,T4,T4,Robert Garrigus,70,4.5,432,96
4,T4,T4,Dustin Johnson,75,4.5,477,106
5,T4,T4,Webb Simpson,81,4.5,490,109
6,T7,T7,Matt Kuchar,97,4.51,636,141
7,T7,T7,Justin Thomas,106,4.51,713,158
8,T9,T9,Jason Day,75,4.53,489,108
9,T9,T9,Chez Reavie,56,4.53,340,75
10,11,11,Carlos Ortiz,100,4.54,649,143
11,T12,T12,Aaron Baddeley,76,4.55,487,107
12,T12,T12,Mark Hubbard,79,4.55,514,113
13,T12,T12,Jason Kokrak,88,4.55,591,130
14,T12,T12,Patrick Reed,103,4.55,682,150
15,T12,T12,Patrick Rodgers,57,4.55,323,71
16,T17,T17,Kevin Chappell,86,4.56,566,124
17,T17,T17,Jamie Donaldson,50,4.56,342,75
18,T17,T17,Derek Ernst,75,4.56,433,95
19,T17,T17,Morgan Hoffmann,85,4.56,556,122
20,T17,T17,Kevin Kisner,104,4.56,670,147
21,T17,T17,David Lingmerth,90,4.56,598,131
22,T17,T17,Adam Scott,51,4.56,333,73
23,T17,T17,Gary Woodland,81,4.56,524,115
24,T25,T25,Rickie Fowler,76,4.57,526,115
25,T25,T25,Andres Gonzales,90,4.57,576,126
26,T25,T25,Russell Henley,87,4.57,525,115
27,T25,T25,Hideki Matsuyama,95,4.57,631,138
28,T25,T25,Jonathan Randolph,72,4.57,462,101
29,T25,T25,Shawn Stefani,94,4.57,630,138
30,T25,T25,Jimmy Walker,89,4.57,567,124
31,T25,T25,Boo Weekley,79,4.57,553,121
32,T33,T33,Keegan Bradley,87,4.58,572,125
33,T33,T33,Graham DeLaet,65,4.58,403,88
