,Early_Scoring_Average_RANK THIS WEEK,Early_Scoring_Average_RANK LAST WEEK,Early_Scoring_Average_PLAYER NAME,Early_Scoring_Average_ROUNDS,Early_Scoring_Average_AVG,Early_Scoring_Average_TOTAL STROKES,Early_Scoring_Average_TOTAL EARLY ROUNDS
0,1,1,Jason Day,75,68.19,1841,27
1,2,2,Henrik Stenson,63,68.64,1510,22
2,3,3,Willy Wilcox,58,68.68,1923,28
3,4,4,Dustin Johnson,75,69.13,2074,30
4,5,5,Jordan Spieth,91,69.18,1937,28
5,6,6,Jerry Kelly,79,69.36,2705,39
6,7,7,Jason Bohn,95,69.57,3061,44
7,8,8,Matt Kuchar,97,69.59,2853,41
8,9,9,Patrick Rodgers,57,69.68,1742,25
9,10,10,Zach Johnson,90,69.69,2439,35
10,T11,T11,Hideki Matsuyama,95,69.7,2788,40
11,T11,T11,Bubba Watson,71,69.7,1603,23
12,13,13,Tony Finau,106,69.71,3555,51
13,T14,T14,Keegan Bradley,87,69.77,3070,44
14,T14,T14,Justin Thomas,106,69.77,3070,44
15,16,16,Webb Simpson,81,69.8,2792,40
16,17,17,Brendan Steele,88,69.82,3142,45
17,18,18,Paul Casey,87,69.83,2793,40
18,19,19,Patrick Reed,103,69.84,3143,45
19,T20,T20,George McNeill,93,69.86,3074,44
20,T20,T20,Kevin Na,98,69.86,3004,43
21,T22,T22,Colt Knost,90,69.89,3215,46
22,T22,T22,Brooks Koepka,84,69.89,2586,37
23,T22,T22,Rory Sabbatini,81,69.89,2586,37
24,T25,T25,Jim Herman,88,69.91,3146,45
25,T25,T25,Chez Reavie,56,69.91,2237,32
26,T27,T27,Matt Jones,89,69.93,2797,40
27,T27,T27,Robert Streb,110,69.93,3776,54
28,29,29,Shawn Stefani,94,69.94,3357,48
29,30,30,Pat Perez,96,69.96,3638,52
30,31,31,Jonathan Byrd,69,69.97,2239,32
31,T32,T32,Kevin Chappell,86,69.98,3149,45
32,T32,T32,Daniel Summerhays,101,69.98,3639,52
33,34,34,Charley Hoffman,97,70.0,3220,46
34,35,35,Steve Wheatcroft,87,70.03,2801,40
35,T36,T36,Chad Campbell,97,70.04,3152,45
36,T36,T36,Charles Howell III,105,70.04,3922,56
37,38,38,William McGirt,103,70.05,4133,59
38,39,39,Steven Bowditch,103,70.06,3783,54
39,40,40,Jim Furyk,71,70.08,1822,26
40,41,41,Harris English,105,70.11,3786,54
41,T42,T42,Andres Gonzales,90,70.12,2875,41
42,T42,T42,Jeff Overton,94,70.12,3436,49
43,44,44,Brandt Snedeker,98,70.13,3296,47
44,T45,T45,Daniel Berger,97,70.14,3016,43
45,T45,T45,Ben Martin,93,70.14,3016,43
46,47,47,Cameron Percy,72,70.15,2315,33
47,T48,T48,Steven Alker,62,70.19,2246,32
48,T48,T48,Mark Hubbard,79,70.19,2597,37
49,T50,T50,Russell Henley,87,70.23,3090,44
50,T50,T50,Hudson Swafford,97,70.23,3090,44
51,52,52,Spencer Levin,99,70.24,3231,46
52,T53,T53,Zac Blair,108,70.25,3864,55
53,T53,T53,Erik Compton,86,70.25,3091,44
54,T53,T53,Nick Watney,91,70.25,3091,44
