,Late_Round_1_Scoring_Average_RANK THIS WEEK,Late_Round_1_Scoring_Average_RANK LAST WEEK,Late_Round_1_Scoring_Average_PLAYER NAME,Late_Round_1_Scoring_Average_AVG,Late_Round_1_Scoring_Average_TOTAL STROKES,Late_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Bubba Watson,67.5,540,8
1,2,2,Sergio Garcia,68.5,274,4
2,3,3,Harris English,68.81,1101,16
3,4,4,J.B. Holmes,69.0,483,7
4,T5,T5,Brendon de Jonge,69.17,1245,18
5,T5,T5,Jordan Spieth,69.17,830,12
6,7,7,Ryan Palmer,69.18,761,11
7,8,8,Stewart Cink,69.22,623,9
8,9,9,Chad Collins,69.31,901,13
9,10,10,Patrick Reed,69.45,764,11
10,T11,T11,Martin Laird,69.5,695,10
11,T11,T11,Hideki Matsuyama,69.5,556,8
12,13,13,Jason Kokrak,69.53,1043,15
13,14,14,Justin Thomas,69.59,1183,17
14,15,15,Aaron Baddeley,69.6,696,10
15,16,16,Brian Harman,69.67,836,12
16,17,17,Zach Johnson,69.69,1115,16
17,T18,T18,Mark Hubbard,69.75,837,12
18,T18,T18,Michael Thompson,69.75,837,12
19,20,20,Matt Kuchar,69.8,698,10
20,21,21,Jonathan Byrd,69.85,908,13
21,22,22,Paul Casey,69.9,699,10
22,T23,T23,Luke Guthrie,69.91,769,11
23,T23,T23,Kevin Na,69.91,769,11
24,25,25,David Hearn,69.92,909,13
25,T26,T26,Jason Day,70.0,560,8
26,T26,T26,John Peterson,70.0,910,13
27,28,28,Martin Flores,70.08,911,13
28,T29,T29,Ryo Ishikawa,70.09,771,11
29,T29,T29,Vijay Singh,70.09,771,11
30,31,31,Jim Furyk,70.1,701,10
31,32,32,Pat Perez,70.13,561,8
32,T33,T33,Chad Campbell,70.14,982,14
33,T33,T33,Patrick Rodgers,70.14,491,7
34,35,35,Alex Cejka,70.15,912,13
35,T36,T36,Ricky Barnes,70.18,772,11
36,T36,T36,Mark Wilson,70.18,772,11
37,38,38,Daniel Summerhays,70.19,1123,16
38,39,39,Bryce Molder,70.2,1053,15
39,40,40,Brandt Snedeker,70.25,843,12
40,T41,T41,Russell Knox,70.27,1054,15
41,T41,T41,Rory Sabbatini,70.27,773,11
42,T41,T41,Henrik Stenson,70.27,773,11
43,T41,T41,Willy Wilcox,70.27,773,11
44,45,45,David Toms,70.3,703,10
45,T46,T46,Keegan Bradley,70.33,633,9
46,T46,T46,Jonathan Randolph,70.33,844,12
47,T46,T46,Sam Saunders,70.33,1055,15
48,T46,T46,Brendan Steele,70.33,633,9
49,T46,T46,Tyrone Van Aswegen,70.33,844,12
50,51,51,Chris Kirk,70.36,985,14
