,Par_5_Birdie_or_Better_Leaders_RANK THIS WEEK,Par_5_Birdie_or_Better_Leaders_RANK LAST WEEK,Par_5_Birdie_or_Better_Leaders_PLAYER NAME,Par_5_Birdie_or_Better_Leaders_ROUNDS,Par_5_Birdie_or_Better_Leaders_%,Par_5_Birdie_or_Better_Leaders_PAR 5 BIRDIES OR BETTER,Par_5_Birdie_or_Better_Leaders_PAR 5 HOLES
0,1,1,Justin Thomas,106,55.36,186,336
1,2,2,Bubba Watson,71,55.29,115,208
2,3,3,Jason Day,75,54.31,126,232
3,4,4,Justin Rose,69,51.9,109,210
4,5,5,Dustin Johnson,75,50.89,114,224
5,6,6,Keegan Bradley,87,50.74,137,270
6,7,7,Aaron Baddeley,76,50.44,115,228
7,T8,T8,Daniel Berger,97,50.16,153,305
8,T8,T8,Carlos Ortiz,100,50.16,156,311
9,T10,T10,Webb Simpson,81,50.0,116,232
10,T10,T10,Jimmy Walker,89,50.0,131,262
11,12,12,Phil Mickelson,70,49.55,111,224
12,13,13,Morgan Hoffmann,85,49.24,130,264
13,14,14,Brooks Koepka,84,49.17,119,242
14,15,15,Rickie Fowler,76,49.14,114,232
15,16,16,Tony Finau,106,49.1,163,332
16,17,17,Charl Schwartzel,67,48.99,97,198
17,18,18,Matt Jones,89,48.95,140,286
18,19,19,Jason Kokrak,88,48.91,134,274
19,20,20,Patrick Rodgers,57,48.68,74,152
20,21,21,Adam Scott,51,47.97,71,148
21,22,22,Ernie Els,57,47.87,90,188
22,23,23,Mark Hubbard,79,47.52,115,242
23,24,24,Graham DeLaet,65,47.5,95,200
24,25,25,J.B. Holmes,89,47.46,131,276
25,26,26,Paul Casey,87,47.19,109,231
26,27,27,Hudson Swafford,97,47.12,139,295
27,28,28,Shawn Stefani,94,47.0,141,300
28,29,29,Ángel Cabrera,53,46.99,78,166
29,30,30,Matt Kuchar,97,46.98,140,298
30,31,31,Boo Weekley,79,46.83,118,252
31,32,32,Alex Prugh,84,46.46,118,254
32,33,33,Patrick Reed,103,46.25,148,320
33,34,34,Brendan Steele,88,46.15,132,286
34,35,35,Charley Hoffman,97,46.0,138,300
35,36,36,Louis Oosthuizen,68,45.96,91,198
36,37,37,Hideki Matsuyama,95,45.92,135,294
37,38,38,Zach Johnson,90,45.82,115,251
38,39,39,Jordan Spieth,91,45.68,127,278
39,40,40,Sergio Garcia,59,45.45,80,176
40,41,41,Robert Garrigus,70,45.24,95,210
41,42,42,Charlie Beljan,76,45.18,103,228
42,43,43,Steven Bowditch,103,45.11,143,317
43,44,44,Harris English,105,45.1,138,306
44,45,45,Scott Langley,94,44.98,130,289
45,46,46,Billy Horschel,99,44.94,142,316
