,Birdie_or_Better_Percentage_-__125_yard_RANK THIS WEEK,Birdie_or_Better_Percentage_-__125_yard_RANK LAST WEEK,Birdie_or_Better_Percentage_-__125_yard_PLAYER NAME,Birdie_or_Better_Percentage_-__125_yard_ROUNDS,Birdie_or_Better_Percentage_-__125_yard_%,Birdie_or_Better_Percentage_-__125_yard_TOTAL BIRDIES,Birdie_or_Better_Percentage_-__125_yard_TOTAL HOLES
0,1,1,Francesco Molinari,56,33.77,51,151
1,2,2,Ryan Moore,81,32.9,76,231
2,3,3,Brandt Snedeker,98,31.16,91,292
3,4,4,K.J. Choi,66,29.73,66,222
4,5,5,Adam Scott,51,29.6,37,125
5,6,6,Sergio Garcia,59,29.29,41,140
6,7,7,Dustin Johnson,75,29.25,74,253
7,T8,T8,Greg Chalmers,58,28.57,42,147
8,T8,T8,Brendon Todd,96,28.57,88,308
9,10,10,Colt Knost,90,28.22,81,287
10,11,11,Hideki Matsuyama,95,28.19,73,259
11,12,12,Rickie Fowler,76,28.17,60,213
12,13,13,Zach Johnson,90,27.73,71,256
13,14,14,Steve Wheatcroft,87,27.61,82,297
14,15,15,Jason Bohn,95,27.6,106,384
15,16,16,Jimmy Walker,89,27.53,79,287
16,17,17,Stewart Cink,77,27.45,70,255
17,18,18,Jason Day,75,27.41,74,270
18,19,19,Ben Crane,62,27.36,58,212
19,20,20,Nick Watney,91,27.3,92,337
20,21,21,Kevin Na,98,27.2,68,250
21,22,22,Luke Donald,71,27.18,53,195
22,23,23,Mark Wilson,89,27.1,84,310
23,24,24,Sean O'Hair,86,27.05,76,281
24,25,25,Rory Sabbatini,81,26.98,68,252
25,26,26,Justin Rose,69,26.96,55,204
26,27,27,Matt Jones,89,26.84,62,231
27,T28,T28,Scott Brown,97,26.75,88,329
28,T28,T28,Paul Casey,87,26.75,61,228
29,30,30,Greg Owen,58,26.63,45,169
30,T31,T31,Zac Blair,108,26.57,89,335
31,T31,T31,David Hearn,97,26.57,89,335
32,33,33,Danny Lee,120,26.47,99,374
33,34,34,Chad Campbell,97,26.35,83,315
34,T35,T35,Jim Furyk,71,26.32,60,228
35,T35,T35,Cameron Tringale,96,26.32,75,285
36,37,37,Scott Langley,94,26.19,77,294
37,38,38,William McGirt,103,26.03,95,365
38,39,39,Nick Taylor,91,25.97,94,362
39,40,40,Chris Stroud,84,25.78,66,256
40,41,41,George McNeill,93,25.73,79,307
41,42,42,Daniel Summerhays,101,25.71,81,315
42,43,43,Tom Hoge,83,25.63,71,277
43,44,44,Fabián Gómez,83,25.61,74,289
44,45,45,Justin Thomas,106,25.58,99,387
45,46,46,Willy Wilcox,58,25.52,37,145
46,T47,T47,Russell Henley,87,25.45,71,279
47,T47,T47,Chris Kirk,76,25.45,57,224
48,49,49,Ken Duke,93,25.34,75,296
49,50,50,Ryo Ishikawa,90,25.29,65,257
50,51,51,Justin Leonard,61,25.25,51,202
51,52,52,Bubba Watson,71,25.09,69,275
52,T53,T53,Chez Reavie,56,25.0,47,188
53,T53,T53,Henrik Stenson,63,25.0,35,140
54,T53,T53,Lee Westwood,56,25.0,33,132
55,56,56,Scott Piercy,90,24.93,85,341
56,57,57,Jonathan Byrd,69,24.85,41,165
57,T58,T58,James Hahn,94,24.84,79,318
58,T58,T58,J.B. Holmes,89,24.84,79,318
59,60,60,Kevin Chappell,86,24.83,75,302
60,61,61,Hudson Swafford,97,24.76,77,311
61,62,62,Robert Allenby,63,24.72,44,178
62,63,63,Jerry Kelly,79,24.71,63,255
63,64,64,Chesson Hadley,101,24.59,90,366
64,65,65,Jon Curran,83,24.54,66,269
65,66,66,Kyle Reifers,96,24.53,79,322
66,67,67,Jamie Donaldson,50,24.49,24,98
67,T68,T68,David Lingmerth,90,24.46,79,323
68,T68,T68,Phil Mickelson,70,24.46,57,233
69,70,70,Chad Collins,79,24.44,55,225
70,71,71,Whee Kim,71,24.4,51,209
71,72,72,Bryce Molder,91,24.33,73,300
72,73,73,Keegan Bradley,87,24.26,49,202
73,74,74,Jordan Spieth,91,24.21,69,285
74,75,75,Mark Hubbard,79,24.17,51,211
75,76,76,Nicholas Thompson,90,24.15,64,265
76,77,77,Russell Knox,96,24.07,78,324
77,78,78,Aaron Baddeley,76,24.02,49,204
78,79,79,Cameron Percy,72,23.98,59,246
79,80,80,Martin Flores,95,23.95,74,309
80,81,81,Adam Hadwin,95,23.83,71,298
81,82,82,Robert Streb,110,23.79,98,412
82,83,83,Shawn Stefani,94,23.77,82,345
83,84,84,Brian Davis,86,23.7,64,270
84,85,85,Max Homa,78,23.43,56,239
85,86,86,Alex Prugh,84,23.4,66,282
86,87,87,David Toms,62,23.38,54,231
