,Back_9_Scoring_Average_RANK THIS WEEK,Back_9_Scoring_Average_RANK LAST WEEK,Back_9_Scoring_Average_PLAYER NAME,Back_9_Scoring_Average_ROUNDS,Back_9_Scoring_Average_AVG,Back_9_Scoring_Average_TOTAL STROKES,Back_9_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,75,34.4,2477,72
1,T2,T2,Jordan Spieth,91,34.65,3049,88
2,T2,T2,Willy Wilcox,58,34.65,1871,54
3,4,4,Henrik Stenson,63,34.68,2081,60
4,5,5,Zach Johnson,90,34.71,3020,87
5,6,6,Bubba Watson,71,34.81,2367,68
6,7,7,Matt Kuchar,97,34.9,3281,94
7,T8,T8,Jonathan Byrd,69,34.92,2270,65
8,T8,T8,Danny Lee,120,34.92,4190,120
9,10,10,Justin Thomas,106,34.93,3703,106
10,11,11,Rory Sabbatini,81,34.95,2831,81
11,12,12,Jason Bohn,95,34.96,3321,95
12,T13,T13,Charley Hoffman,97,34.99,3289,94
13,T13,T13,Dustin Johnson,75,34.99,2519,72
14,T15,T15,Justin Rose,69,35.0,2310,66
15,T15,T15,Robert Streb,110,35.0,3850,110
16,17,17,Chad Collins,79,35.01,2766,79
17,18,18,Webb Simpson,81,35.04,2733,78
18,19,19,Marc Leishman,74,35.06,2454,70
19,T20,T20,Daniel Berger,97,35.07,3402,97
20,T20,T20,Jason Kokrak,88,35.07,3086,88
21,T22,T22,Steven Alker,62,35.08,2105,60
22,T22,T22,Jim Furyk,71,35.08,2245,64
23,T22,T22,John Peterson,84,35.08,2947,84
24,T25,T25,Steven Bowditch,103,35.09,3614,103
25,T25,T25,Harris English,105,35.09,3579,102
26,T25,T25,Kevin Na,98,35.09,3334,95
27,T25,T25,Johnson Wagner,68,35.09,2386,68
28,29,29,Jerry Kelly,79,35.1,2773,79
29,T30,T30,Russell Henley,87,35.12,2950,84
30,T30,T30,Brooks Koepka,84,35.12,2845,81
31,T30,T30,William McGirt,103,35.12,3617,103
32,T33,T33,Kevin Kisner,104,35.13,3654,104
33,T33,T33,George McNeill,93,35.13,3267,93
34,T33,T33,Louis Oosthuizen,68,35.13,2213,63
35,36,36,Brandt Snedeker,98,35.14,3338,95
36,37,37,Hideki Matsuyama,95,35.16,3200,91
37,T38,T38,Paul Casey,87,35.18,2885,82
38,T38,T38,Tony Finau,106,35.18,3729,106
39,T38,T38,J.B. Holmes,89,35.18,2990,85
40,41,41,Scott Brown,97,35.19,3413,97
41,T42,T42,Brian Harman,90,35.2,3168,90
42,T42,T42,Billy Hurley III,83,35.2,2781,79
43,T42,T42,Matt Jones,89,35.2,3027,86
44,T42,T42,Russell Knox,96,35.2,3379,96
45,46,46,Zac Blair,108,35.21,3662,104
46,47,47,Daniel Summerhays,101,35.22,3557,101
47,T48,T48,David Hearn,97,35.23,3417,97
48,T48,T48,Carlos Ortiz,100,35.23,3382,96
49,50,50,Rickie Fowler,76,35.24,2537,72
50,T51,T51,Brendon de Jonge,106,35.25,3737,106
51,T51,T51,Martin Flores,95,35.25,3208,91
52,T51,T51,Jim Herman,88,35.25,3102,88
53,T51,T51,Carl Pettersson,106,35.25,3737,106
54,T51,T51,Hudson Swafford,97,35.25,3349,95
55,56,56,Jimmy Walker,89,35.26,3032,86
56,57,57,Chris Kirk,76,35.27,2575,73
57,T58,T58,Tom Hoge,83,35.28,2787,79
58,T58,T58,Spencer Levin,99,35.28,3422,97
59,T60,T60,Scott Piercy,90,35.29,3176,90
60,T60,T60,Nicholas Thompson,90,35.29,3035,86
61,T60,T60,Boo Weekley,79,35.29,2788,79
62,T63,T63,Keegan Bradley,87,35.3,2965,84
63,T63,T63,Shawn Stefani,94,35.3,3318,94
64,T65,T65,Ryan Palmer,80,35.31,2719,77
65,T65,T65,Ian Poulter,68,35.31,2295,65
66,T65,T65,Vijay Singh,78,35.31,2754,78
