,Late_Round_2_Scoring_Average_RANK THIS WEEK,Late_Round_2_Scoring_Average_RANK LAST WEEK,Late_Round_2_Scoring_Average_PLAYER NAME,Late_Round_2_Scoring_Average_AVG,Late_Round_2_Scoring_Average_TOTAL STROKES,Late_Round_2_Scoring_Average_TOTAL ROUNDS
0,1,1,Justin Thomas,68.71,962,14
1,2,2,Justin Rose,68.88,551,8
2,3,3,Dustin Johnson,69.0,828,12
3,4,4,Graham DeLaet,69.08,829,12
4,T5,T5,Zac Blair,69.13,1037,15
5,T5,T5,Greg Chalmers,69.13,553,8
6,7,7,Ian Poulter,69.14,484,7
7,T8,T8,Chris Stroud,69.18,761,11
8,T8,T8,Cameron Tringale,69.18,761,11
9,10,10,Russell Knox,69.23,900,13
10,11,11,Jason Day,69.3,693,10
11,T12,T12,Tony Finau,69.31,901,13
12,T12,T12,Bill Haas,69.31,901,13
13,14,14,Harris English,69.42,833,12
14,15,15,Louis Oosthuizen,69.44,625,9
15,T16,T16,Brendan Steele,69.46,903,13
16,T16,T16,Nick Watney,69.46,903,13
17,18,18,John Huh,69.47,1042,15
18,T19,T19,Paul Casey,69.5,834,12
19,T19,T19,Brooks Koepka,69.5,834,12
20,21,21,Kevin Na,69.54,904,13
21,T22,T22,Blayne Barber,69.58,835,12
22,T22,T22,Matt Jones,69.58,835,12
23,24,24,Patrick Reed,69.67,1045,15
24,25,25,Jordan Spieth,69.69,906,13
25,T26,T26,Tom Hoge,69.7,697,10
26,T26,T26,Danny Lee,69.7,1394,20
27,T28,T28,Sangmoon Bae,69.75,837,12
28,T28,T28,Bo Van Pelt,69.75,837,12
29,30,30,Matt Kuchar,69.77,907,13
30,31,31,Marc Leishman,69.78,628,9
31,T32,T32,Luke Donald,69.8,698,10
32,T32,T32,Sergio Garcia,69.8,698,10
33,T32,T32,Henrik Stenson,69.8,349,5
34,35,35,Steven Alker,69.82,768,11
35,T36,T36,George McNeill,69.83,838,12
36,T36,T36,Johnson Wagner,69.83,838,12
37,38,38,Brandt Snedeker,69.86,978,14
38,T39,T39,Daniel Berger,69.94,1119,16
39,T39,T39,Steven Bowditch,69.94,1119,16
40,T39,T39,Carl Pettersson,69.94,1119,16
41,T42,T42,Jason Bohn,70.0,980,14
42,T42,T42,Chad Collins,70.0,770,11
43,T42,T42,Brendon de Jonge,70.0,980,14
