,Early_Round_1_Scoring_Average_RANK THIS WEEK,Early_Round_1_Scoring_Average_RANK LAST WEEK,Early_Round_1_Scoring_Average_PLAYER NAME,Early_Round_1_Scoring_Average_AVG,Early_Round_1_Scoring_Average_TOTAL STROKES,Early_Round_1_Scoring_Average_TOTAL ROUNDS
0,1,1,Henrik Stenson,67.25,269,4
1,2,2,Willy Wilcox,67.4,337,5
2,3,3,Jason Day,67.73,745,11
3,4,4,Webb Simpson,68.44,616,9
4,5,5,Jim Herman,68.58,823,12
5,6,6,Erik Compton,68.64,755,11
6,7,7,Dustin Johnson,68.82,757,11
7,8,8,Brian Stuard,68.92,827,12
8,9,9,Matt Kuchar,69.21,969,14
9,10,10,Steven Alker,69.27,762,11
10,T11,T11,Paul Casey,69.31,901,13
11,T11,T11,Justin Thomas,69.31,901,13
12,13,13,Patrick Rodgers,69.33,624,9
13,14,14,Rickie Fowler,69.36,763,11
14,15,15,Zach Johnson,69.38,555,8
15,16,16,Kevin Na,69.43,972,14
16,T17,T17,William McGirt,69.5,1112,16
17,T17,T17,Francesco Molinari,69.5,695,10
18,T17,T17,Justin Rose,69.5,556,8
19,20,20,Phil Mickelson,69.58,835,12
20,21,21,Steve Wheatcroft,69.62,905,13
21,22,22,Robert Streb,69.63,1114,16
22,T23,T23,Jon Curran,69.64,975,14
23,T23,T23,Michael Putnam,69.64,975,14
24,25,25,K.J. Choi,69.7,697,10
25,26,26,John Peterson,69.73,767,11
26,27,27,Andres Gonzales,69.83,838,12
27,28,28,Danny Lee,69.85,1397,20
28,29,29,Tony Finau,69.86,978,14
29,30,30,Patrick Reed,69.87,1048,15
30,31,31,Seung-Yul Noh,69.91,769,11
31,32,32,Colt Knost,69.92,909,13
32,T33,T33,Charles Howell III,70.0,1120,16
33,T33,T33,Greg Owen,70.0,630,9
34,T33,T33,Scott Piercy,70.0,1050,15
35,T33,T33,Michael Thompson,70.0,980,14
36,37,37,Alex Cejka,70.06,1121,16
37,38,38,Daniel Summerhays,70.08,911,13
38,39,39,Cameron Percy,70.09,771,11
39,40,40,Ben Martin,70.11,631,9
40,41,41,Hideki Matsuyama,70.13,1122,16
41,T42,T42,Jonas Blixt,70.14,982,14
42,T42,T42,Ernie Els,70.14,491,7
43,44,44,Jason Bohn,70.17,842,12
44,45,45,Bubba Watson,70.2,702,10
45,T46,T46,Daniel Berger,70.21,983,14
46,T46,T46,Jeff Overton,70.21,983,14
47,T46,T46,Brendan Steele,70.21,983,14
48,T49,T49,Derek Ernst,70.23,913,13
49,T49,T49,Sean O'Hair,70.23,913,13
50,T49,T49,Boo Weekley,70.23,913,13
51,52,52,Brendon Todd,70.24,1194,17
52,T53,T53,Billy Hurley III,70.25,843,12
53,T53,T53,Brooks Koepka,70.25,843,12
54,T55,T55,Keegan Bradley,70.29,984,14
55,T55,T55,Brandt Snedeker,70.29,984,14
56,57,57,Jason Kokrak,70.31,914,13
57,58,58,Harris English,70.33,844,12
58,59,59,J.B. Holmes,70.35,1196,17
59,60,60,Retief Goosen,70.36,985,14
60,61,61,Scott Langley,70.43,986,14
61,62,62,Ian Poulter,70.44,634,9
62,63,63,Kevin Chappell,70.46,916,13
63,T64,T64,Jonathan Byrd,70.5,564,8
64,T64,T64,Graham DeLaet,70.5,846,12
65,T64,T64,Matt Jones,70.5,846,12
66,T64,T64,Pat Perez,70.5,1269,18
67,68,68,Kyle Reifers,70.54,917,13
68,T69,T69,Chad Campbell,70.56,1129,16
69,T69,T69,Ryo Ishikawa,70.56,1129,16
70,71,71,Rory Sabbatini,70.57,988,14
71,T72,T72,Jordan Spieth,70.58,847,12
72,T72,T72,Shawn Stefani,70.58,847,12
73,74,74,Whee Kim,70.6,706,10
74,75,75,Jhonattan Vegas,70.62,918,13
75,76,76,Greg Chalmers,70.63,565,8
76,T77,T77,Jerry Kelly,70.64,777,11
77,T77,T77,Ryan Moore,70.64,777,11
78,T79,T79,Martin Flores,70.69,1131,16
79,T79,T79,Lucas Glover,70.69,919,13
80,T81,T81,Stewart Cink,70.71,990,14
81,T81,T81,Jim Furyk,70.71,495,7
82,T81,T81,Adam Scott,70.71,495,7
83,84,84,Mark Hubbard,70.73,778,11
84,T85,T85,Vijay Singh,70.75,849,12
85,T85,T85,Jimmy Walker,70.75,566,8
86,87,87,Jason Gore,70.77,920,13
87,T88,T88,Eric Axley,70.8,708,10
88,T88,T88,Robert Garrigus,70.8,1062,15
89,T88,T88,Luke Guthrie,70.8,1062,15
90,T88,T88,Chez Reavie,70.8,708,10
91,92,92,Mark Wilson,70.81,1133,16
92,T93,T93,Bill Haas,70.85,921,13
93,T93,T93,Carlos Ortiz,70.85,921,13
94,T95,T95,Aaron Baddeley,70.86,992,14
95,T95,T95,John Merrick,70.86,992,14
96,97,97,Steven Bowditch,70.88,1205,17
97,98,98,Sergio Garcia,70.9,709,10
98,99,99,Alex Prugh,70.92,922,13
99,100,100,Sangmoon Bae,70.93,993,14
100,T101,T101,Zac Blair,71.0,994,14
