,Birdie_or_Better_Percentage_-_200_yards_RANK THIS WEEK,Birdie_or_Better_Percentage_-_200_yards_RANK LAST WEEK,Birdie_or_Better_Percentage_-_200_yards_PLAYER NAME,Birdie_or_Better_Percentage_-_200_yards_ROUNDS,Birdie_or_Better_Percentage_-_200_yards_%,Birdie_or_Better_Percentage_-_200_yards_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_200_yards_TOTAL HOLES
0,1,1,Jason Day,75,42.69,111,260
1,2,2,Justin Thomas,106,39.45,159,403
2,3,3,Tony Finau,106,38.7,149,385
3,4,4,Willy Wilcox,58,38.3,54,141
4,5,5,Matt Jones,89,38.11,109,286
5,6,6,Dustin Johnson,75,37.39,83,222
6,7,7,Patrick Rodgers,57,37.34,59,158
7,8,8,Boo Weekley,79,37.31,97,260
8,9,9,Carlos Ortiz,100,36.99,128,346
9,10,10,Justin Rose,69,36.62,78,213
10,11,11,Charlie Beljan,76,36.32,73,201
11,12,12,Jhonattan Vegas,90,36.24,104,287
12,13,13,Sam Saunders,83,36.18,89,246
13,14,14,Keegan Bradley,87,36.17,102,282
14,15,15,Jordan Spieth,91,35.96,96,267
15,16,16,Graham DeLaet,65,35.9,70,195
16,17,17,Bubba Watson,71,35.85,95,265
17,18,18,Jason Kokrak,88,35.76,113,316
18,19,19,Derek Ernst,75,35.5,82,231
19,20,20,Robert Streb,110,35.22,137,389
20,21,21,Charl Schwartzel,67,34.97,57,163
21,22,22,Seung-Yul Noh,65,34.85,69,198
22,23,23,Martin Laird,77,34.84,100,287
23,24,24,Jimmy Walker,89,34.83,93,267
24,25,25,Aaron Baddeley,76,34.77,89,256
25,26,26,Robert Garrigus,70,34.33,69,201
26,27,27,Brendan Steele,88,34.3,118,344
27,28,28,Roger Sloan,56,34.27,49,143
28,29,29,Hudson Swafford,97,33.96,108,318
29,30,30,J.B. Holmes,89,33.9,99,292
30,31,31,Webb Simpson,81,33.8,96,284
31,32,32,Hideki Matsuyama,95,33.67,100,297
32,33,33,Vijay Singh,78,33.59,88,262
33,34,34,Charles Howell III,105,33.51,127,379
34,35,35,Rickie Fowler,76,33.47,84,251
35,36,36,Matt Kuchar,97,33.44,106,317
36,T37,T37,Daniel Berger,97,33.43,117,350
37,T37,T37,Nick Taylor,91,33.43,110,329
38,39,39,Ben Martin,93,33.21,92,277
39,40,40,Shawn Stefani,94,33.14,115,347
40,41,41,Morgan Hoffmann,85,33.12,104,314
41,42,42,Louis Oosthuizen,68,32.84,66,201
42,43,43,John Senden,80,32.77,77,235
43,44,44,Brooks Koepka,84,32.71,87,266
44,45,45,Lucas Glover,79,32.69,85,260
45,46,46,Michael Thompson,83,32.59,88,270
46,47,47,Geoff Ogilvy,50,32.53,54,166
47,48,48,Brian Harman,90,32.41,94,290
48,49,49,Ernie Els,57,32.39,57,176
49,50,50,Scott Stallings,60,32.2,66,205
50,51,51,Marc Leishman,74,32.16,73,227
51,52,52,Derek Fathauer,81,32.08,77,240
52,53,53,Ryan Palmer,80,32.04,58,181
53,54,54,Phil Mickelson,70,32.02,81,253
54,55,55,Adam Hadwin,95,31.91,90,282
55,56,56,Bo Van Pelt,81,31.9,67,210
56,57,57,Harris English,105,31.87,116,364
57,T58,T58,Billy Horschel,99,31.85,100,314
58,T58,T58,Lee Westwood,56,31.85,43,135
59,60,60,Alex Prugh,84,31.78,82,258
60,61,61,Max Homa,78,31.69,77,243
61,62,62,Kevin Chappell,86,31.67,89,281
62,63,63,Chris Kirk,76,31.63,68,215
63,64,64,Chesson Hadley,101,31.58,108,342
64,65,65,Cameron Percy,72,31.55,65,206
65,66,66,Charley Hoffman,97,31.51,98,311
66,67,67,Nick Watney,91,31.49,91,289
67,68,68,Kevin Streelman,95,31.31,98,313
68,69,69,Pat Perez,96,31.17,96,308
69,70,70,Scott Pinckney,88,31.06,82,264
70,71,71,Jason Gore,76,31.0,62,200
71,72,72,Mark Hubbard,79,30.9,72,233
72,73,73,Jonathan Byrd,69,30.89,59,191
73,74,74,Steven Bowditch,103,30.81,114,370
74,T75,T75,Luke Guthrie,84,30.8,77,250
75,T75,T75,Jim Herman,88,30.8,85,276
76,77,77,Patrick Reed,103,30.79,97,315
77,78,78,Byron Smith,59,30.72,47,153
78,79,79,Andrew Svoboda,80,30.47,71,233
79,80,80,Erik Compton,86,30.25,85,281
80,81,81,Brice Garnett,81,30.23,65,215
81,82,82,Gary Woodland,81,30.2,74,245
82,83,83,Stewart Cink,77,30.15,60,199
83,84,84,Scott Brown,97,30.13,91,302
84,T85,T85,Paul Casey,87,30.04,73,243
85,T85,T85,Jonathan Randolph,72,30.04,67,223
86,87,87,Brendon de Jonge,106,30.03,106,353
87,88,88,Russell Henley,87,30.0,78,260
88,T89,T89,James Hahn,94,29.89,78,261
89,T89,T89,Camilo Villegas,83,29.89,84,281
90,91,91,Zach Johnson,90,29.75,83,279
91,T92,T92,Ángel Cabrera,53,29.73,55,185
92,T92,T92,Oscar Fraustro,58,29.73,44,148
93,94,94,Sangmoon Bae,98,29.72,107,360
94,95,95,Roberto Castro,54,29.69,38,128
95,96,96,Ricky Barnes,82,29.66,70,236
96,97,97,Danny Lee,120,29.59,124,419
97,98,98,Jeff Overton,94,29.5,77,261
98,99,99,Davis Love III,51,29.45,43,146
99,100,100,Blayne Barber,76,29.44,68,231
100,101,101,Russell Knox,96,29.24,88,301
101,102,102,Carl Pettersson,106,29.19,108,370
102,103,103,David Lingmerth,90,29.04,79,272
103,T104,T104,Martin Flores,95,29.02,83,286
104,T104,T104,Kyle Reifers,96,29.02,83,286
105,106,106,Brendon Todd,96,28.96,86,297
106,107,107,Andres Gonzales,90,28.87,84,291
107,108,108,Padraig Harrington,60,28.78,59,205
108,109,109,Sung Joon Park,79,28.77,63,219
109,110,110,Johnson Wagner,68,28.72,54,188
110,111,111,Hunter Mahan,88,28.62,83,290
111,112,112,Andres Romero,69,28.44,60,211
112,113,113,Cameron Tringale,96,28.4,92,324
113,114,114,Heath Slocum,57,28.36,38,134
114,115,115,Jonas Blixt,78,28.31,47,166
115,116,116,Tom Hoge,83,28.27,67,237
116,117,117,George McNeill,93,28.25,102,361
117,118,118,Ryo Ishikawa,90,28.21,79,280
118,119,119,Sean O'Hair,86,28.05,92,328
119,120,120,Kevin Kisner,104,28.03,104,371
120,121,121,Chad Campbell,97,28.0,91,325
121,122,122,Bill Haas,89,27.93,81,290
122,123,123,Retief Goosen,81,27.92,67,240
123,124,124,John Merrick,78,27.78,60,216
124,125,125,Adam Scott,51,27.69,36,130
125,126,126,Kevin Na,98,27.6,85,308
126,127,127,Steve Wheatcroft,87,27.54,76,276
127,128,128,Chez Reavie,56,27.53,49,178
128,129,129,Sergio Garcia,59,27.43,48,175
129,130,130,Henrik Stenson,63,27.39,66,241
130,131,131,John Peterson,84,27.33,85,311
131,T132,T132,Andrew Putnam,68,26.92,56,208
132,T132,T132,Jim Renner,68,26.92,56,208
133,134,134,Gonzalo Fernandez-Castaño,81,26.88,68,253
134,135,135,Jim Furyk,71,26.84,51,190
135,136,136,Chris Stroud,84,26.83,66,246
136,T137,T137,D.A. Points,72,26.67,60,225
137,T137,T137,Daniel Summerhays,101,26.67,92,345
138,139,139,John Huh,102,26.47,99,374
139,140,140,Scott Langley,94,26.44,69,261
140,141,141,Jason Bohn,95,26.33,84,319
141,142,142,William McGirt,103,26.24,90,343
142,143,143,Chad Collins,79,26.2,60,229
143,144,144,Bill Lunde,50,25.98,33,127
144,145,145,Whee Kim,71,25.89,51,197
145,146,146,Brandt Snedeker,98,25.76,76,295
146,147,147,Ryan Moore,81,25.67,67,261
147,148,148,Scott Piercy,90,25.63,81,316
148,149,149,Fabián Gómez,83,25.61,63,246
149,150,150,Tim Wilkinson,73,25.37,51,201
150,151,151,Michael Putnam,87,25.36,70,276
151,152,152,Rory Sabbatini,81,25.28,68,269
152,153,153,Spencer Levin,99,25.23,81,321
153,154,154,Bryce Molder,91,25.19,67,266
154,155,155,Jason Dufner,76,25.14,46,183
155,T156,T156,Steven Alker,62,25.0,44,176
156,T156,T156,Eric Axley,57,25.0,36,144
157,T156,T156,Matt Every,73,25.0,56,224
158,T156,T156,Brian Stuard,97,25.0,68,272
159,160,160,Jerry Kelly,79,24.6,62,252
160,161,161,Alex Cejka,94,24.5,74,302
161,162,162,Brian Davis,86,24.24,64,264
162,163,163,Luke Donald,71,23.83,51,214
163,164,164,Greg Owen,58,23.62,30,127
164,165,165,Robert Allenby,63,23.6,42,178
165,166,166,David Hearn,97,23.59,71,301
166,167,167,Nicholas Thompson,90,23.56,53,225
167,168,168,Ian Poulter,68,23.16,44,190
168,169,169,J.J. Henry,94,23.14,59,255
169,170,170,Zac Blair,108,22.53,73,324
170,171,171,Colt Knost,90,22.34,63,282
171,172,172,Mark Wilson,89,22.3,66,296
172,173,173,Ken Duke,93,22.22,62,279
173,174,174,Jamie Donaldson,50,21.88,28,128
174,175,175,Tyrone Van Aswegen,58,21.68,31,143
175,176,176,Greg Chalmers,58,21.64,29,134
176,177,177,Justin Leonard,61,21.47,38,177
177,178,178,Troy Merritt,91,21.38,65,304
178,179,179,Jon Curran,83,19.72,43,218
179,180,180,K.J. Choi,66,19.21,44,229
180,181,181,Francesco Molinari,56,19.08,33,173
181,182,182,Ben Crane,62,17.84,33,185
182,183,183,David Toms,62,17.65,39,221
183,184,184,Billy Hurley III,83,15.68,37,236
