,Birdie_or_Better_Percentage_-_Left_Rough_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Left_Rough_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Left_Rough_PLAYER NAME,Birdie_or_Better_Percentage_-_Left_Rough_ROUNDS,Birdie_or_Better_Percentage_-_Left_Rough_%,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Left_Rough_TOTAL HOLES
0,1,1,Jordan Spieth,91,22.86,24,105
1,2,2,Scott Piercy,90,22.68,22,97
2,3,3,Brooks Koepka,84,22.4,28,125
3,4,4,Jason Day,75,22.14,29,131
4,5,5,Kevin Na,98,21.83,31,142
5,6,6,Martin Flores,95,21.43,36,168
6,T7,T7,James Hahn,94,21.1,23,109
7,T7,T7,Ryan Palmer,80,21.1,23,109
8,9,9,Tom Hoge,83,21.0,21,100
9,T10,T10,Phil Mickelson,70,20.83,25,120
10,T10,T10,Willy Wilcox,58,20.83,10,48
11,12,12,Martin Laird,77,20.56,22,107
12,13,13,Charles Howell III,105,20.41,30,147
13,14,14,Camilo Villegas,83,20.39,31,152
14,15,15,George McNeill,93,20.33,25,123
15,16,16,Alex Cejka,94,20.14,29,144
16,T17,T17,Paul Casey,87,20.0,27,135
17,T17,T17,Louis Oosthuizen,68,20.0,18,90
18,19,19,Patrick Reed,103,19.87,30,151
19,20,20,Adam Hadwin,95,19.83,23,116
20,21,21,Brice Garnett,81,19.57,18,92
21,22,22,Sam Saunders,83,19.54,17,87
22,23,23,Matt Jones,89,19.49,23,118
23,24,24,Jason Kokrak,88,19.08,33,173
24,25,25,Justin Thomas,106,18.99,34,179
25,T26,T26,Jim Furyk,71,18.75,12,64
26,T26,T26,Jason Gore,76,18.75,18,96
27,T26,T26,Ryo Ishikawa,90,18.75,24,128
28,T26,T26,Ryan Moore,81,18.75,18,96
29,30,30,Marc Leishman,74,18.69,20,107
30,31,31,Pat Perez,96,18.64,22,118
31,32,32,Tony Finau,106,18.63,30,161
32,T33,T33,Jason Dufner,76,18.52,15,81
33,T33,T33,Andres Romero,69,18.52,20,108
34,T35,T35,David Hearn,97,18.42,21,114
35,T35,T35,Henrik Stenson,63,18.42,14,76
36,37,37,Bubba Watson,71,18.4,23,125
37,38,38,Jerry Kelly,79,18.28,17,93
38,39,39,Matt Every,73,18.25,25,137
39,40,40,Andrew Svoboda,80,18.12,27,149
40,41,41,Rory Sabbatini,81,18.03,22,122
41,42,42,Oscar Fraustro,58,17.91,12,67
42,43,43,Ernie Els,57,17.78,16,90
43,44,44,Aaron Baddeley,76,17.65,18,102
44,45,45,Jonathan Randolph,72,17.56,23,131
45,46,46,Sean O'Hair,86,17.48,25,143
46,47,47,Kyle Reifers,96,17.36,21,121
47,48,48,David Lingmerth,90,17.21,21,122
48,49,49,Chesson Hadley,101,17.11,32,187
49,50,50,Scott Stallings,60,16.88,13,77
50,T51,T51,Sangmoon Bae,98,16.67,26,156
51,T51,T51,Ben Crane,62,16.67,16,96
52,T51,T51,Gonzalo Fernandez-Castaño,81,16.67,13,78
53,T51,T51,Rickie Fowler,76,16.67,15,90
54,T51,T51,Seung-Yul Noh,65,16.67,19,114
55,T51,T51,Carlos Ortiz,100,16.67,27,162
56,57,57,Charley Hoffman,97,16.52,19,115
57,58,58,Brendon Todd,96,16.51,18,109
58,59,59,Carl Pettersson,106,16.48,29,176
59,60,60,John Merrick,78,16.46,13,79
60,61,61,Jeff Overton,94,16.43,23,140
61,62,62,Morgan Hoffmann,85,16.41,21,128
62,63,63,Daniel Summerhays,101,16.27,27,166
63,64,64,Harris English,105,16.23,25,154
64,T65,T65,Derek Ernst,75,16.22,18,111
65,T65,T65,Scott Langley,94,16.22,18,111
66,67,67,Sung Joon Park,79,16.09,14,87
67,68,68,Chez Reavie,56,15.91,7,44
68,69,69,J.B. Holmes,89,15.83,22,139
69,70,70,Russell Knox,96,15.79,18,114
70,71,71,Steven Bowditch,103,15.74,34,216
71,72,72,Kevin Chappell,86,15.7,19,121
72,73,73,Patrick Rodgers,57,15.66,13,83
73,T74,T74,Shawn Stefani,94,15.44,23,149
74,T74,T74,Jhonattan Vegas,90,15.44,23,149
75,76,76,Cameron Percy,72,15.32,17,111
76,77,77,Charlie Beljan,76,15.31,15,98
77,78,78,Hunter Mahan,88,15.22,21,138
78,79,79,Andres Gonzales,90,15.07,22,146
79,80,80,Danny Lee,120,15.06,25,166
80,81,81,Kevin Kisner,104,15.03,23,153
81,T82,T82,Michael Putnam,87,15.0,15,100
82,T82,T82,Kevin Streelman,95,15.0,15,100
83,T84,T84,Jonas Blixt,78,14.89,14,94
84,T84,T84,Billy Horschel,99,14.89,21,141
85,T84,T84,Scott Pinckney,88,14.89,14,94
86,87,87,Ángel Cabrera,53,14.77,13,88
87,88,88,Retief Goosen,81,14.75,18,122
88,89,89,Ben Martin,93,14.63,18,123
89,90,90,Scott Brown,97,14.62,19,130
90,91,91,Hideki Matsuyama,95,14.55,16,110
