,Final_Round_Scoring_Average_RANK THIS WEEK,Final_Round_Scoring_Average_RANK LAST WEEK,Final_Round_Scoring_Average_PLAYER NAME,Final_Round_Scoring_Average_AVG,Final_Round_Scoring_Average_TOTAL STROKES,Final_Round_Scoring_Average_TOTAL ROUNDS
0,1,1,Willy Wilcox,67.82,746,11
1,2,2,Chez Reavie,68.5,548,8
2,3,3,Rory Sabbatini,68.53,1028,15
3,4,4,Jason Day,68.59,1166,17
4,5,5,Robert Streb,68.64,1716,25
5,6,6,Jordan Spieth,68.8,1376,20
6,7,7,Colt Knost,68.94,1103,16
7,T8,T8,Blayne Barber,69.0,759,11
8,T8,T8,Jerry Kelly,69.0,1035,15
9,10,10,Bubba Watson,69.06,1105,16
10,11,11,Kyle Reifers,69.07,1036,15
11,12,12,Kevin Kisner,69.1,1451,21
12,13,13,Zach Johnson,69.11,1313,19
13,14,14,Tom Hoge,69.15,899,13
14,15,15,David Hearn,69.28,1247,18
15,T16,T16,Paul Casey,69.33,1248,18
16,T16,T16,Henrik Stenson,69.33,1040,15
17,18,18,Tony Finau,69.36,1526,22
18,19,19,Johnson Wagner,69.4,694,10
19,20,20,Daniel Berger,69.41,1180,17
20,21,21,Davis Love III,69.43,486,7
21,22,22,Hideki Matsuyama,69.52,1460,21
22,23,23,Marc Leishman,69.54,904,13
23,24,24,Brian Harman,69.63,1114,16
24,25,25,William McGirt,69.65,1393,20
25,26,26,Boo Weekley,69.67,1045,15
26,27,27,Jason Bohn,69.7,1394,20
27,28,28,Billy Hurley III,69.75,837,12
28,29,29,Ryan Palmer,69.76,1186,17
29,30,30,Steven Bowditch,69.79,1326,19
30,T31,T31,Chad Collins,69.8,1047,15
31,T31,T31,Mark Wilson,69.8,1047,15
32,T33,T33,Whee Kim,69.82,768,11
33,T33,T33,David Lingmerth,69.82,1187,17
34,T35,T35,Keegan Bradley,69.84,1327,19
35,T35,T35,Ben Martin,69.84,1327,19
36,T35,T35,George McNeill,69.84,1327,19
37,38,38,Louis Oosthuizen,69.85,908,13
38,39,39,Chris Stroud,69.86,978,14
39,40,40,John Huh,69.89,1328,19
40,T41,T41,Charley Hoffman,69.9,1398,20
41,T41,T41,Daniel Summerhays,69.9,1468,21
42,43,43,Scott Langley,69.94,1259,18
43,T44,T44,Jon Curran,70.0,770,11
44,T44,T44,Dustin Johnson,70.0,1190,17
45,46,46,Webb Simpson,70.06,1261,18
46,47,47,Billy Horschel,70.1,1472,21
47,T48,T48,Roberto Castro,70.11,631,9
48,T48,T48,Greg Owen,70.11,631,9
49,50,50,Steven Alker,70.13,561,8
50,51,51,Brandt Snedeker,70.14,1473,21
51,52,52,Lee Westwood,70.17,842,12
52,T53,T53,Martin Laird,70.21,983,14
53,T53,T53,Danny Lee,70.21,1685,24
54,55,55,D.A. Points,70.22,632,9
55,T56,T56,Ken Duke,70.27,1054,15
56,T56,T56,Jim Herman,70.27,1054,15
57,58,58,Bryce Molder,70.28,1265,18
58,59,59,Russell Knox,70.3,1406,20
59,60,60,Chris Kirk,70.31,1125,16
60,61,61,Russell Henley,70.32,1336,19
61,62,62,Robert Garrigus,70.33,633,9
62,T63,T63,Jason Kokrak,70.38,1126,16
63,T63,T63,Nicholas Thompson,70.38,915,13
64,T63,T63,Steve Wheatcroft,70.38,915,13
65,66,66,Brooks Koepka,70.39,1267,18
66,67,67,Fabián Gómez,70.4,1056,15
67,T68,T68,Pat Perez,70.41,1549,22
68,T68,T68,Scott Piercy,70.41,1197,17
69,T68,T68,Nick Watney,70.41,1197,17
70,71,71,Eric Axley,70.43,493,7
71,T72,T72,Jamie Donaldson,70.44,634,9
72,T72,T72,Vijay Singh,70.44,1127,16
73,74,74,James Hahn,70.47,1339,19
74,75,75,Harris English,70.48,1621,23
75,T76,T76,Chad Campbell,70.5,1269,18
76,T76,T76,Brendon Todd,70.5,1410,20
77,T76,T76,Jimmy Walker,70.5,1410,20
78,79,79,Justin Thomas,70.52,1622,23
79,80,80,John Peterson,70.53,1199,17
80,T81,T81,Brice Garnett,70.55,776,11
81,T81,T81,Bo Van Pelt,70.55,776,11
82,T83,T83,Scott Brown,70.56,1270,18
83,T83,T83,Rickie Fowler,70.56,1129,16
84,T83,T83,Spencer Levin,70.56,1270,18
85,T83,T83,Ryan Moore,70.56,1129,16
86,T87,T87,Alex Prugh,70.57,988,14
87,T87,T87,John Senden,70.57,988,14
88,T87,T87,Shawn Stefani,70.57,1482,21
89,90,90,Zac Blair,70.61,1271,18
90,91,91,Sung Joon Park,70.62,918,13
91,T92,T92,Ben Crane,70.63,565,8
92,T92,T92,Justin Leonard,70.63,565,8
93,T94,T94,Jonathan Byrd,70.64,777,11
94,T94,T94,Justin Rose,70.64,989,14
95,T94,T94,Scott Stallings,70.64,777,11
96,T94,T94,Gary Woodland,70.64,989,14
97,T98,T98,Jim Furyk,70.67,1060,15
98,T98,T98,Lucas Glover,70.67,848,12
99,100,100,Morgan Hoffmann,70.71,1202,17
100,101,101,Hudson Swafford,70.72,1273,18
101,102,102,Francesco Molinari,70.75,849,12
102,T103,T103,Stewart Cink,70.8,1062,15
103,T103,T103,Geoff Ogilvy,70.8,708,10
104,105,105,Carl Pettersson,70.81,1487,21
105,T106,T106,Kevin Chappell,70.82,1204,17
106,T106,T106,Jason Gore,70.82,779,11
107,T108,T108,Brian Davis,70.83,850,12
108,T108,T108,Bill Lunde,70.83,425,6
109,110,110,Aaron Baddeley,70.85,921,13
110,T111,T111,Luke Donald,70.87,1063,15
111,T111,T111,Matt Kuchar,70.87,1630,23
112,113,113,John Merrick,70.9,709,10
113,T114,T114,Brendon de Jonge,70.95,1561,22
114,T114,T114,Kevin Na,70.95,1561,22
115,116,116,Patrick Reed,70.96,1703,24
116,T117,T117,Sergio Garcia,71.0,994,14
117,T117,T117,Mark Hubbard,71.0,1065,15
118,T117,T117,Phil Mickelson,71.0,1136,16
119,T117,T117,Jim Renner,71.0,355,5
120,T117,T117,Sam Saunders,71.0,923,13
121,122,122,Ryo Ishikawa,71.06,1137,16
122,T123,T123,Jonas Blixt,71.09,782,11
123,T123,T123,Gonzalo Fernandez-Castaño,71.09,782,11
124,T125,T125,Chesson Hadley,71.1,1422,20
125,T125,T125,Adam Scott,71.1,711,10
126,T127,T127,Alex Cejka,71.11,1280,18
127,T127,T127,J.B. Holmes,71.11,1280,18
128,129,129,Jeff Overton,71.12,1209,17
129,130,130,Martin Flores,71.13,1138,16
