,Bounce_Back_RANK THIS WEEK,Bounce_Back_RANK LAST WEEK,Bounce_Back_PLAYER NAME,Bounce_Back_ROUNDS,Bounce_Back_%
0,1,1,Jason Day,75,34.44
1,2,2,Bubba Watson,71,28.24
2,3,3,Tyrone Van Aswegen,58,28.17
3,4,4,John Senden,80,27.65
4,5,5,Jordan Spieth,91,27.46
5,6,6,Brooks Koepka,84,27.36
6,7,7,J.B. Holmes,89,26.77
7,8,8,Rory Sabbatini,81,26.7
8,9,9,Brendan Steele,88,26.07
9,10,10,Daniel Berger,97,25.88
10,11,11,Louis Oosthuizen,68,25.77
11,12,12,Daniel Summerhays,101,25.56
12,13,13,Kevin Na,98,25.42
13,14,14,Shawn Stefani,94,25.2
14,T15,T15,Morgan Hoffmann,85,25.0
15,T15,T15,Mark Wilson,89,25.0
16,17,17,Marc Leishman,74,24.88
17,T18,T18,Roberto Castro,54,24.67
18,T18,T18,Hunter Mahan,88,24.67
19,20,20,Paul Casey,87,24.64
20,21,21,Dustin Johnson,75,24.61
21,22,22,Carl Pettersson,106,24.39
22,T23,T23,Jason Bohn,95,24.3
23,T23,T23,Gary Woodland,81,24.3
24,25,25,Ryo Ishikawa,90,24.25
25,26,26,Matt Kuchar,97,24.2
26,27,27,Charl Schwartzel,67,24.1
27,28,28,Billy Horschel,99,23.97
28,29,29,Jason Gore,76,23.96
29,30,30,Zac Blair,108,23.87
30,T31,T31,Steven Bowditch,103,23.75
31,T31,T31,Hudson Swafford,97,23.75
32,33,33,Jimmy Walker,89,23.32
33,34,34,Keegan Bradley,87,23.21
34,35,35,John Peterson,84,23.16
35,T36,T36,Luke Donald,71,23.08
36,T36,T36,Rickie Fowler,76,23.08
37,38,38,Zach Johnson,90,23.04
38,39,39,Jonathan Byrd,69,22.93
39,40,40,Phil Mickelson,70,22.9
40,41,41,Jason Dufner,76,22.83
41,42,42,Justin Rose,69,22.78
42,43,43,Robert Streb,110,22.76
43,44,44,Greg Owen,58,22.67
44,45,45,Jonas Blixt,78,22.62
45,46,46,Cameron Percy,72,22.61
46,47,47,Spencer Levin,99,22.54
47,48,48,Ryan Palmer,80,22.49
48,T49,T49,Ángel Cabrera,53,22.47
49,T49,T49,Nicholas Thompson,90,22.47
50,51,51,Bryce Molder,91,22.38
51,52,52,Camilo Villegas,83,22.35
52,53,53,Bo Van Pelt,81,22.12
53,54,54,Whee Kim,71,22.1
54,55,55,Blayne Barber,76,22.06
55,56,56,Charley Hoffman,97,22.05
56,57,57,Willy Wilcox,58,22.03
57,58,58,Andres Gonzales,90,21.99
58,59,59,Jason Kokrak,88,21.94
59,60,60,Sangmoon Bae,98,21.9
60,61,61,Chez Reavie,56,21.88
61,62,62,Martin Laird,77,21.84
62,63,63,Justin Thomas,106,21.79
63,64,64,Kevin Streelman,95,21.72
64,65,65,Jim Herman,88,21.7
65,66,66,Carlos Ortiz,100,21.66
66,67,67,Tony Finau,106,21.65
67,68,68,Johnson Wagner,68,21.56
68,69,69,Eric Axley,57,21.52
69,70,70,Kevin Kisner,104,21.48
70,T71,T71,Derek Fathauer,81,21.43
71,T71,T71,Russell Knox,96,21.43
72,73,73,William McGirt,103,21.4
73,74,74,Andrew Svoboda,80,21.38
74,75,75,Seung-Yul Noh,65,21.32
75,T76,T76,Jon Curran,83,21.29
76,T76,T76,Chris Kirk,76,21.29
77,T76,T76,Patrick Reed,103,21.29
78,79,79,Brendon de Jonge,106,21.27
79,80,80,Steve Wheatcroft,87,21.19
80,81,81,Jerry Kelly,79,21.11
81,82,82,Danny Lee,120,21.09
82,T83,T83,Aaron Baddeley,76,21.08
83,T83,T83,Lee Westwood,56,21.08
84,85,85,Sam Saunders,83,21.07
85,86,86,Nick Taylor,91,21.05
86,T87,T87,Colt Knost,90,20.93
87,T87,T87,Michael Thompson,83,20.93
88,89,89,Adam Hadwin,95,20.88
89,90,90,Adam Scott,51,20.74
90,91,91,Byron Smith,59,20.73
91,92,92,Pat Perez,96,20.66
92,93,93,Scott Langley,94,20.62
93,T94,T94,Ian Poulter,68,20.57
94,T94,T94,David Toms,62,20.57
95,96,96,Scott Pinckney,88,20.46
96,97,97,Webb Simpson,81,20.41
97,98,98,Brian Stuard,97,20.31
98,99,99,Jim Furyk,71,20.27
99,100,100,Russell Henley,87,20.18
100,T101,T101,Chad Collins,79,20.11
101,T101,T101,Ernie Els,57,20.11
102,T103,T103,Padraig Harrington,60,20.1
103,T103,T103,Vijay Singh,78,20.1
104,T105,T105,Greg Chalmers,58,20.0
105,T105,T105,Martin Flores,95,20.0
106,T105,T105,Patrick Rodgers,57,20.0
107,T108,T108,Charlie Beljan,76,19.92
108,T108,T108,John Huh,102,19.92
109,110,110,John Merrick,78,19.91
110,111,111,Steven Alker,62,19.87
111,112,112,Francesco Molinari,56,19.84
112,113,113,Kevin Chappell,86,19.75
113,114,114,Chris Stroud,84,19.74
114,115,115,Sergio Garcia,59,19.72
115,116,116,Scott Stallings,60,19.69
116,117,117,Roger Sloan,56,19.65
117,118,118,Brandt Snedeker,98,19.59
118,119,119,Charles Howell III,105,19.55
119,120,120,Oscar Fraustro,58,19.54
120,T121,T121,Chesson Hadley,101,19.53
121,T121,T121,Scott Piercy,90,19.53
122,T121,T121,Tim Wilkinson,73,19.53
123,124,124,Sung Joon Park,79,19.51
124,T125,T125,David Lingmerth,90,19.42
125,T125,T125,George McNeill,93,19.42
126,127,127,Andres Romero,69,19.35
127,128,128,Alex Cejka,94,19.33
128,129,129,Nick Watney,91,19.29
129,130,130,Bill Lunde,50,19.23
130,131,131,Ryan Moore,81,19.19
131,132,132,Harris English,105,19.11
132,133,133,Derek Ernst,75,19.09
133,134,134,Robert Garrigus,70,19.05
134,135,135,Hideki Matsuyama,95,18.98
135,136,136,Chad Campbell,97,18.78
136,137,137,Brian Harman,90,18.72
137,138,138,Scott Brown,97,18.68
138,139,139,Justin Leonard,61,18.67
