,Total_Birdies_RANK THIS WEEK,Total_Birdies_RANK LAST WEEK,Total_Birdies_PLAYER NAME,Total_Birdies_ROUNDS,Total_Birdies_TOTAL
0,1,1,Danny Lee,120,475
1,2,2,Justin Thomas,106,440
2,3,3,Tony Finau,106,435
3,4,4,Robert Streb,110,434
4,5,5,Brendon de Jonge,106,400
5,6,6,Jordan Spieth,91,396
6,7,7,Patrick Reed,103,392
7,8,8,Chesson Hadley,101,385
8,9,9,Carl Pettersson,106,383
9,T10,T10,Steven Bowditch,103,381
10,T10,T10,Pat Perez,96,381
11,12,12,Harris English,105,379
12,13,13,Jason Bohn,95,378
13,14,14,Daniel Summerhays,101,376
14,15,15,Daniel Berger,97,373
15,16,16,Hudson Swafford,97,371
16,T17,T17,Hideki Matsuyama,95,370
17,T17,T17,Kevin Na,98,370
18,T17,T17,Shawn Stefani,94,370
19,20,20,Billy Horschel,99,368
20,21,21,Kevin Kisner,104,367
21,22,22,Charley Hoffman,97,366
22,23,23,Matt Kuchar,97,362
23,24,24,William McGirt,103,361
24,25,25,Carlos Ortiz,100,360
25,26,26,David Hearn,97,359
26,27,27,Russell Knox,96,357
27,T28,T28,Zac Blair,108,356
28,T28,T28,Brandt Snedeker,98,356
29,30,30,Scott Brown,97,355
30,31,31,Sangmoon Bae,98,354
31,32,32,Charles Howell III,105,352
32,33,33,Jimmy Walker,89,350
33,34,34,Ben Martin,93,345
34,35,35,Brendon Todd,96,344
35,T36,T36,J.B. Holmes,89,343
36,T36,T36,Nick Watney,91,343
37,38,38,Zach Johnson,90,342
38,T39,T39,Matt Jones,89,341
39,T39,T39,Scott Piercy,90,341
40,41,41,James Hahn,94,340
41,T42,T42,Chad Campbell,97,339
42,T42,T42,Jason Day,75,339
43,T44,T44,John Huh,102,338
44,T44,T44,Jason Kokrak,88,338
45,T44,T44,George McNeill,93,338
46,T47,T47,Brendan Steele,88,336
47,T47,T47,Nick Taylor,91,336
48,49,49,David Lingmerth,90,335
49,50,50,Cameron Tringale,96,331
50,51,51,Adam Hadwin,95,329
51,52,52,Russell Henley,87,328
52,T53,T53,Alex Cejka,94,326
53,T53,T53,Ryo Ishikawa,90,326
54,T55,T55,Kevin Chappell,86,324
55,T55,T55,Kyle Reifers,96,324
56,T57,T57,Keegan Bradley,87,323
