,First_Tee_Early_Scoring_Average_RANK THIS WEEK,First_Tee_Early_Scoring_Average_RANK LAST WEEK,First_Tee_Early_Scoring_Average_PLAYER NAME,First_Tee_Early_Scoring_Average_ROUNDS,First_Tee_Early_Scoring_Average_AVG,First_Tee_Early_Scoring_Average_TOTAL STROKES,First_Tee_Early_Scoring_Average_TOT. EARLY RDS.(1ST TEE)
0,1,1,Dustin Johnson,75,67.87,1018,15
1,2,2,Willy Wilcox,58,68.72,1237,18
2,3,3,Jason Day,75,68.83,826,12
3,4,4,Johnson Wagner,68,69.0,966,14
4,5,5,Jerry Kelly,79,69.04,1864,27
5,6,6,Chez Reavie,56,69.05,1312,19
6,7,7,Jonathan Byrd,69,69.07,1036,15
7,8,8,Jim Herman,88,69.09,1589,23
8,9,9,Jordan Spieth,91,69.22,623,9
9,10,10,Hideki Matsuyama,95,69.29,1663,24
10,T11,T11,Patrick Rodgers,57,69.3,693,10
11,T11,T11,Justin Thomas,106,69.3,1871,27
12,13,13,Jonas Blixt,78,69.37,1318,19
13,T14,T14,Keegan Bradley,87,69.56,1739,25
14,T14,T14,Whee Kim,71,69.56,1252,18
15,T16,T16,Matt Jones,89,69.58,1809,26
16,T16,T16,Henrik Stenson,63,69.58,835,12
17,18,18,Kevin Na,98,69.62,1810,26
18,T19,T19,Jason Bohn,95,69.64,1741,25
19,T19,T19,Matt Kuchar,97,69.64,1532,22
20,21,21,Paul Casey,87,69.68,1951,28
21,22,22,Danny Lee,120,69.74,2441,35
22,23,23,Blayne Barber,76,69.76,1465,21
23,24,24,Graham DeLaet,65,69.79,1675,24
24,25,25,Kevin Chappell,86,69.81,2164,31
25,26,26,Bubba Watson,71,69.82,768,11
26,27,27,Steven Bowditch,103,69.83,2933,42
27,28,28,Charles Howell III,105,69.84,2584,37
28,T29,T29,Roberto Castro,54,69.88,1188,17
29,T29,T29,Tom Hoge,83,69.88,1747,25
30,T29,T29,Francesco Molinari,56,69.88,1118,16
31,32,32,Colt Knost,90,69.91,1608,23
32,33,33,Zach Johnson,90,69.93,979,14
33,34,34,Patrick Reed,103,69.95,1469,21
34,T35,T35,Daniel Berger,97,69.96,1749,25
35,T35,T35,Chad Campbell,97,69.96,1959,28
36,T35,T35,Russell Henley,87,69.96,1959,28
