,Tenth_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Par_4_Scoring_Average_ROUNDS,Tenth_Tee_Late_Par_4_Scoring_Average_AVG,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Patrick Reed,103,3.74,71,19
1,2,2,Justin Rose,69,3.86,81,21
2,T3,T3,Brooks Koepka,84,3.89,171,44
3,T3,T3,Matt Kuchar,97,3.89,175,45
4,5,5,Zach Johnson,90,3.9,121,31
5,6,6,Francesco Molinari,56,3.91,219,56
6,T7,T7,Brendon de Jonge,106,3.92,682,174
7,T7,T7,J.B. Holmes,89,3.92,506,129
8,9,9,Harris English,105,3.93,543,138
9,T10,T10,Billy Horschel,99,3.94,284,72
10,T10,T10,Russell Knox,96,3.94,643,163
11,T10,T10,Martin Laird,77,3.94,520,132
12,T10,T10,Kevin Na,98,3.94,540,137
13,T10,T10,Justin Thomas,106,3.94,745,189
14,T15,T15,Scott Brown,97,3.95,1202,304
15,T15,T15,Jordan Spieth,91,3.95,79,20
16,T17,T17,Sergio Garcia,59,3.96,91,23
17,T17,T17,John Peterson,84,3.96,633,160
18,T17,T17,Ian Poulter,68,3.96,214,54
19,T17,T17,Daniel Summerhays,101,3.96,761,192
20,T17,T17,Willy Wilcox,58,3.96,416,105
21,T22,T22,Chad Collins,79,3.97,643,162
22,T22,T22,Phil Mickelson,70,3.97,131,33
23,T22,T22,Ryan Palmer,80,3.97,567,143
24,T25,T25,Kevin Chappell,86,3.98,510,128
25,T25,T25,Graham DeLaet,65,3.98,382,96
26,T25,T25,Rickie Fowler,76,3.98,179,45
27,T25,T25,Chris Kirk,76,3.98,637,160
28,T29,T29,Jason Bohn,95,3.99,715,179
29,T29,T29,David Hearn,97,3.99,790,198
30,T29,T29,Matt Jones,89,3.99,797,200
31,T29,T29,Danny Lee,120,3.99,825,207
32,T29,T29,Bryce Molder,91,3.99,962,241
33,T29,T29,Sean O'Hair,86,3.99,582,146
34,T29,T29,D.A. Points,72,3.99,966,242
35,T29,T29,Rory Sabbatini,81,3.99,933,234
36,T37,T37,Blayne Barber,76,4.0,823,206
37,T37,T37,Chad Campbell,97,4.0,925,231
38,T37,T37,Gonzalo Fernandez-Castaño,81,4.0,784,196
39,T37,T37,Martin Flores,95,4.0,803,201
40,T37,T37,Billy Hurley III,83,4.0,560,140
41,T37,T37,Dustin Johnson,75,4.0,80,20
42,T37,T37,Spencer Levin,99,4.0,944,236
43,T37,T37,William McGirt,103,4.0,676,169
44,T37,T37,Jeff Overton,94,4.0,356,89
45,T37,T37,Brendan Steele,88,4.0,500,125
46,T37,T37,Henrik Stenson,63,4.0,136,34
47,T37,T37,Kevin Streelman,95,4.0,857,214
48,T37,T37,Jhonattan Vegas,90,4.0,833,208
49,T37,T37,Johnson Wagner,68,4.0,224,56
50,T37,T37,Jimmy Walker,89,4.0,124,31
51,T37,T37,Lee Westwood,56,4.0,308,77
52,T53,T53,Steven Alker,62,4.01,521,130
53,T53,T53,Jonathan Byrd,69,4.01,441,110
54,T53,T53,Stewart Cink,77,4.01,685,171
55,T53,T53,Adam Hadwin,95,4.01,931,232
56,T53,T53,J.J. Henry,94,4.01,838,209
57,T53,T53,Tom Hoge,83,4.01,753,188
58,T53,T53,John Huh,102,4.01,970,242
59,T53,T53,Whee Kim,71,4.01,721,180
60,T53,T53,Colt Knost,90,4.01,673,168
61,T53,T53,Justin Leonard,61,4.01,525,131
62,T53,T53,Troy Merritt,91,4.01,810,202
63,T53,T53,Ryan Moore,81,4.01,626,156
64,T53,T53,Carl Pettersson,106,4.01,923,230
65,T53,T53,Scott Pinckney,88,4.01,669,167
66,T53,T53,Nicholas Thompson,90,4.01,762,190
67,T68,T68,Daniel Berger,97,4.02,900,224
68,T68,T68,Keegan Bradley,87,4.02,394,98
69,T68,T68,Roberto Castro,54,4.02,470,117
70,T68,T68,Greg Chalmers,58,4.02,518,129
71,T68,T68,Ken Duke,93,4.02,861,214
72,T68,T68,Chesson Hadley,101,4.02,836,208
73,T68,T68,Charley Hoffman,97,4.02,809,201
74,T68,T68,Morgan Hoffmann,85,4.02,426,106
75,T68,T68,Kyle Reifers,96,4.02,1049,261
76,T68,T68,Camilo Villegas,83,4.02,664,165
77,T78,T78,Alex Cejka,94,4.03,714,177
78,T78,T78,Oscar Fraustro,58,4.03,508,126
79,T78,T78,Luke Guthrie,84,4.03,843,209
80,T78,T78,Brian Harman,90,4.03,846,210
81,T78,T78,Jim Herman,88,4.03,657,163
82,T78,T78,Charles Howell III,105,4.03,769,191
83,T78,T78,Jerry Kelly,79,4.03,694,172
84,T78,T78,Louis Oosthuizen,68,4.03,262,65
85,T78,T78,Chez Reavie,56,4.03,351,87
86,T78,T78,Vijay Singh,78,4.03,786,195
87,T78,T78,Robert Streb,110,4.03,585,145
88,T78,T78,Brendon Todd,96,4.03,801,199
89,T78,T78,Nick Watney,91,4.03,782,194
90,T91,T91,Zac Blair,108,4.04,1135,281
91,T91,T91,Steven Bowditch,103,4.04,945,234
92,T91,T91,Brian Davis,86,4.04,667,165
93,T91,T91,Tony Finau,106,4.04,821,203
94,T91,T91,Lucas Glover,79,4.04,1160,287
95,T91,T91,Jason Kokrak,88,4.04,667,165
96,T91,T91,Scott Langley,94,4.04,1007,249
97,T91,T91,Hideki Matsuyama,95,4.04,222,55
98,T91,T91,Sung Joon Park,79,4.04,663,164
99,T100,T100,Robert Allenby,63,4.05,474,117
100,T100,T100,Eric Axley,57,4.05,267,66
101,T100,T100,Paul Casey,87,4.05,486,120
102,T100,T100,K.J. Choi,66,4.05,462,114
103,T100,T100,Ben Crane,62,4.05,535,132
104,T100,T100,Jon Curran,83,4.05,831,205
105,T100,T100,Luke Donald,71,4.05,320,79
106,T100,T100,Jason Dufner,76,4.05,433,107
107,T100,T100,Kevin Kisner,104,4.05,608,150
108,T100,T100,David Lingmerth,90,4.05,1068,264
109,T100,T100,Cameron Percy,72,4.05,502,124
110,T100,T100,Alex Prugh,84,4.05,834,206
111,T100,T100,Shawn Stefani,94,4.05,890,220
112,T113,T113,Sangmoon Bae,98,4.06,841,207
113,T113,T113,Ángel Cabrera,53,4.06,365,90
114,T113,T113,Jim Furyk,71,4.06,130,32
115,T113,T113,Jason Gore,76,4.06,702,173
116,T113,T113,James Hahn,94,4.06,735,181
117,T113,T113,Max Homa,78,4.06,569,140
118,T113,T113,Davis Love III,51,4.06,252,62
119,T113,T113,Bill Lunde,50,4.06,353,87
120,T113,T113,Steve Wheatcroft,87,4.06,1031,254
121,T122,T122,Erik Compton,86,4.07,525,129
122,T122,T122,Derek Fathauer,81,4.07,826,203
123,T122,T122,Bill Haas,89,4.07,452,111
124,T122,T122,Seung-Yul Noh,65,4.07,631,155
125,T122,T122,Pat Perez,96,4.07,880,216
126,T122,T122,Scott Piercy,90,4.07,838,206
127,T122,T122,Mark Wilson,89,4.07,834,205
128,T129,T129,Andres Gonzales,90,4.08,1114,273
129,T129,T129,Padraig Harrington,60,4.08,580,142
130,T129,T129,John Merrick,78,4.08,739,181
131,T129,T129,Scott Stallings,60,4.08,808,198
132,T129,T129,Hudson Swafford,97,4.08,698,171
133,T129,T129,Gary Woodland,81,4.08,874,214
134,T135,T135,Charlie Beljan,76,4.09,966,236
