,Front_9_Round_3_Scoring_Average_RANK THIS WEEK,Front_9_Round_3_Scoring_Average_RANK LAST WEEK,Front_9_Round_3_Scoring_Average_PLAYER NAME,Front_9_Round_3_Scoring_Average_AVG,Front_9_Round_3_Scoring_Average_TOTAL STROKES,Front_9_Round_3_Scoring_Average_TOTAL ROUNDS
0,1,1,Stewart Cink,33.75,540,16
1,2,2,Graham DeLaet,33.92,441,13
2,3,3,Dustin Johnson,34.12,580,17
3,4,4,Jonathan Byrd,34.17,410,12
4,5,5,Bubba Watson,34.19,547,16
5,6,6,Matt Jones,34.26,651,19
6,7,7,Kyle Reifers,34.29,583,17
7,8,8,Bryce Molder,34.32,652,19
8,9,9,Johnson Wagner,34.33,412,12
9,10,10,Scott Pinckney,34.39,619,18
10,11,11,Hudson Swafford,34.42,654,19
11,12,12,Bill Lunde,34.43,241,7
12,13,13,Adam Hadwin,34.44,620,18
13,14,14,Shawn Stefani,34.48,724,21
14,T15,T15,Jerry Kelly,34.5,552,16
15,T15,T15,Whee Kim,34.5,483,14
16,T15,T15,Alex Prugh,34.5,483,14
17,T15,T15,Heath Slocum,34.5,207,6
18,T15,T15,Brandt Snedeker,34.5,759,22
19,T15,T15,Jordan Spieth,34.5,690,20
20,T15,T15,Andrew Svoboda,34.5,345,10
21,22,22,Brooks Koepka,34.53,656,19
22,23,23,Fabián Gómez,34.56,553,16
23,24,24,Chris Stroud,34.6,519,15
24,25,25,Colt Knost,34.63,554,16
25,T26,T26,Hideki Matsuyama,34.64,762,22
26,T26,T26,Cameron Percy,34.64,485,14
27,T26,T26,Pat Perez,34.64,762,22
28,T29,T29,Sangmoon Bae,34.65,693,20
29,T29,T29,Justin Thomas,34.65,797,23
30,T29,T29,Jimmy Walker,34.65,693,20
31,32,32,Jason Bohn,34.67,728,21
32,33,33,Jim Herman,34.68,659,19
33,34,34,Scott Piercy,34.72,625,18
34,T35,T35,Paul Casey,34.74,660,19
35,T35,T35,Brendan Steele,34.74,660,19
36,T37,T37,Rickie Fowler,34.75,556,16
37,T37,T37,Brian Harman,34.75,556,16
38,T37,T37,Kevin Kisner,34.75,834,24
39,T37,T37,George McNeill,34.75,695,20
40,T37,T37,Rory Sabbatini,34.75,556,16
41,42,42,Jason Kokrak,34.76,591,17
