,Early_Par_3_Scoring_Average_RANK THIS WEEK,Early_Par_3_Scoring_Average_RANK LAST WEEK,Early_Par_3_Scoring_Average_PLAYER NAME,Early_Par_3_Scoring_Average_ROUNDS,Early_Par_3_Scoring_Average_AVG,Early_Par_3_Scoring_Average_TOTAL STROKES,Early_Par_3_Scoring_Average_TOTAL HOLES
0,1,1,Jason Day,75,2.9,305,105
1,T2,T2,Jerry Kelly,79,2.92,465,159
2,T2,T2,Webb Simpson,81,2.92,459,157
3,T4,T4,Brice Garnett,81,2.94,477,162
4,T4,T4,Billy Hurley III,83,2.94,547,186
5,T4,T4,Robert Streb,110,2.94,626,213
6,T4,T4,Johnson Wagner,68,2.94,414,141
7,T8,T8,Chad Campbell,97,2.95,540,183
8,T8,T8,Jim Furyk,71,2.95,304,103
9,T10,T10,Keegan Bradley,87,2.96,530,179
10,T10,T10,Whee Kim,71,2.96,418,141
11,T10,T10,Colt Knost,90,2.96,551,186
12,T10,T10,Bo Van Pelt,81,2.96,507,171
13,T14,T14,Brendon de Jonge,106,2.97,641,216
14,T14,T14,Jim Herman,88,2.97,541,182
15,T14,T14,Patrick Reed,103,2.97,525,177
16,T14,T14,David Toms,62,2.97,354,119
17,T18,T18,Steven Alker,62,2.98,388,130
18,T18,T18,Aaron Baddeley,76,2.98,503,169
19,T18,T18,Jonathan Byrd,69,2.98,390,131
20,T18,T18,Zach Johnson,90,2.98,414,139
21,T18,T18,Jeff Overton,94,2.98,605,203
22,T18,T18,Byron Smith,59,2.98,349,117
23,T18,T18,Henrik Stenson,63,2.98,247,83
24,T18,T18,Tyrone Van Aswegen,58,2.98,328,110
25,T18,T18,Bubba Watson,71,2.98,265,89
26,T18,T18,Willy Wilcox,58,2.98,346,116
27,T28,T28,Ricky Barnes,82,2.99,427,143
28,T28,T28,Chad Collins,79,2.99,539,180
29,T28,T28,Jason Gore,76,2.99,451,151
30,T28,T28,Luke Guthrie,84,2.99,541,181
31,T28,T28,Billy Horschel,99,2.99,560,187
32,T28,T28,Mark Hubbard,79,2.99,454,152
33,T28,T28,Russell Knox,96,2.99,551,184
34,T28,T28,George McNeill,93,2.99,535,179
35,T28,T28,Bryce Molder,91,2.99,553,185
36,T28,T28,Kevin Na,98,2.99,515,172
37,T28,T28,Michael Putnam,87,2.99,565,189
38,T28,T28,Jordan Spieth,91,2.99,341,114
39,T40,T40,Zac Blair,108,3.0,665,222
40,T40,T40,Jason Bohn,95,3.0,537,179
41,T40,T40,Steven Bowditch,103,3.0,636,212
42,T40,T40,Graham DeLaet,65,3.0,402,134
43,T40,T40,Harris English,105,3.0,647,216
44,T40,T40,Retief Goosen,81,3.0,462,154
45,T40,T40,James Hahn,94,3.0,629,210
46,T40,T40,Danny Lee,120,3.0,715,238
47,T40,T40,Marc Leishman,74,3.0,435,145
48,T40,T40,Daniel Summerhays,101,3.0,634,211
49,T40,T40,Jimmy Walker,89,3.0,540,180
50,T51,T51,Daniel Berger,97,3.01,526,175
51,T51,T51,Scott Brown,97,3.01,580,193
52,T51,T51,Ben Crane,62,3.01,382,127
53,T51,T51,Spencer Levin,99,3.01,572,190
54,T51,T51,Ben Martin,93,3.01,503,167
55,T51,T51,Hideki Matsuyama,95,3.01,472,157
56,T51,T51,William McGirt,103,3.01,713,237
57,T51,T51,Kyle Reifers,96,3.01,653,217
58,T51,T51,Vijay Singh,78,3.01,517,172
59,T51,T51,Kevin Streelman,95,3.01,599,199
60,T51,T51,Chris Stroud,84,3.01,547,182
61,T51,T51,Michael Thompson,83,3.01,542,180
62,T51,T51,Steve Wheatcroft,87,3.01,493,164
63,T64,T64,Eric Axley,57,3.02,384,127
64,T64,T64,Erik Compton,86,3.02,540,179
65,T64,T64,Gonzalo Fernandez-Castaño,81,3.02,456,151
66,T64,T64,Chris Kirk,76,3.02,432,143
67,T64,T64,Matt Kuchar,97,3.02,480,159
68,T64,T64,John Merrick,78,3.02,444,147
69,T64,T64,Sean O'Hair,86,3.02,505,167
70,T64,T64,John Peterson,84,3.02,603,200
71,T64,T64,Scott Stallings,60,3.02,378,125
72,T64,T64,Shawn Stefani,94,3.02,588,195
73,T64,T64,Justin Thomas,106,3.02,544,180
74,T64,T64,Brendon Todd,96,3.02,549,182
75,T76,T76,Jonas Blixt,78,3.03,430,142
76,T76,T76,Luke Donald,71,3.03,442,146
77,T76,T76,Rickie Fowler,76,3.03,376,124
78,T76,T76,David Hearn,97,3.03,640,211
79,T76,T76,Russell Henley,87,3.03,530,175
80,T76,T76,Charles Howell III,105,3.03,688,227
81,T76,T76,Louis Oosthuizen,68,3.03,336,111
82,T76,T76,Scott Piercy,90,3.03,561,185
83,T76,T76,Scott Pinckney,88,3.03,540,178
84,T76,T76,Boo Weekley,79,3.03,434,143
85,T86,T86,Fabián Gómez,83,3.04,562,185
86,T86,T86,Adam Hadwin,95,3.04,611,201
87,T86,T86,Dustin Johnson,75,3.04,365,120
88,T86,T86,Bill Lunde,50,3.04,322,106
89,T86,T86,Andrew Putnam,68,3.04,377,124
90,T86,T86,Chez Reavie,56,3.04,398,131
91,T86,T86,Hudson Swafford,97,3.04,541,178
92,T86,T86,Nick Taylor,91,3.04,595,196
93,T86,T86,Jhonattan Vegas,90,3.04,566,186
94,T86,T86,Camilo Villegas,83,3.04,547,180
95,T96,T96,Sangmoon Bae,98,3.05,664,218
96,T96,T96,Alex Cejka,94,3.05,580,190
97,T96,T96,Greg Chalmers,58,3.05,369,121
98,T96,T96,K.J. Choi,66,3.05,442,145
99,T96,T96,Stewart Cink,77,3.05,466,153
100,T96,T96,Tony Finau,106,3.05,629,206
