,Tenth_Tee_Early_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Early_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Early_Scoring_Average_PLAYER NAME,Tenth_Tee_Early_Scoring_Average_ROUNDS,Tenth_Tee_Early_Scoring_Average_AVG,Tenth_Tee_Early_Scoring_Average_TOTAL STROKES,Tenth_Tee_Early_Scoring_Average_TOTAL 10TH TEE EARLY RDS.
0,1,1,Henrik Stenson,63,67.5,675,10
1,2,2,Jason Day,75,67.67,1015,15
2,3,3,Ben Martin,93,68.4,684,10
3,4,4,Willy Wilcox,58,68.6,686,10
4,5,5,Tony Finau,106,68.61,1235,18
5,6,6,Scott Stallings,60,68.67,618,9
6,7,7,Webb Simpson,81,68.69,893,13
7,8,8,J.B. Holmes,89,68.71,962,14
8,9,9,Robert Streb,110,68.74,1306,19
9,10,10,Steve Wheatcroft,87,68.81,1101,16
10,11,11,Rory Sabbatini,81,68.9,689,10
11,T12,T12,George McNeill,93,68.91,758,11
12,T12,T12,Boo Weekley,79,68.91,758,11
13,T14,T14,Ryan Moore,81,69.0,345,5
14,T14,T14,Shawn Stefani,94,69.0,897,13
15,16,16,Brian Harman,90,69.14,968,14
16,17,17,Jordan Spieth,91,69.16,1314,19
17,18,18,Mark Wilson,89,69.17,830,12
18,19,19,Vijay Singh,78,69.25,554,8
19,20,20,Daniel Summerhays,101,69.29,1178,17
20,21,21,Jimmy Walker,89,69.41,1527,22
21,22,22,Jason Bohn,95,69.47,1320,19
22,T23,T23,Brooks Koepka,84,69.5,1251,18
23,T23,T23,Brendan Steele,88,69.5,1251,18
24,25,25,Zach Johnson,90,69.52,1460,21
25,26,26,Matt Kuchar,97,69.53,1321,19
26,T27,T27,Jason Dufner,76,69.58,835,12
27,T27,T27,Bubba Watson,71,69.58,835,12
28,29,29,Patrick Reed,103,69.75,1674,24
29,T30,T30,Harris English,105,69.79,1326,19
30,T30,T30,Russell Knox,96,69.79,1326,19
31,T30,T30,William McGirt,103,69.79,1675,24
32,33,33,James Hahn,94,69.84,1327,19
33,34,34,Colt Knost,90,69.87,1607,23
34,35,35,Charley Hoffman,97,69.91,769,11
35,36,36,Patrick Rodgers,57,69.93,1049,15
36,T37,T37,Jon Curran,83,69.94,1119,16
37,T37,T37,Mark Hubbard,79,69.94,1119,16
38,T37,T37,Pat Perez,96,69.94,1119,16
39,40,40,Hudson Swafford,97,69.95,1469,21
40,T41,T41,Stewart Cink,77,70.0,1120,16
41,T41,T41,Martin Flores,95,70.0,1540,22
42,T41,T41,Billy Hurley III,83,70.0,1400,20
43,T41,T41,David Lingmerth,90,70.0,840,12
44,45,45,Keegan Bradley,87,70.05,1331,19
45,46,46,Zac Blair,108,70.06,1191,17
46,T47,T47,Andres Gonzales,90,70.08,911,13
47,T47,T47,Jerry Kelly,79,70.08,841,12
48,T47,T47,Brendon Todd,96,70.08,841,12
49,50,50,Jeff Overton,94,70.11,1963,28
50,T51,T51,Jim Furyk,71,70.14,982,14
51,T51,T51,Scott Pinckney,88,70.14,1473,21
52,T51,T51,Alex Prugh,84,70.14,982,14
53,54,54,Paul Casey,87,70.17,842,12
54,T55,T55,Chad Campbell,97,70.18,1193,17
55,T55,T55,Brendon de Jonge,106,70.18,1193,17
56,57,57,Marc Leishman,74,70.19,1123,16
57,58,58,Ángel Cabrera,53,70.2,702,10
58,59,59,Erik Compton,86,70.22,1264,18
59,T60,T60,Scott Langley,94,70.24,1194,17
60,T60,T60,Kevin Na,98,70.24,1194,17
61,62,62,Chris Kirk,76,70.25,562,8
62,63,63,Chad Collins,79,70.26,1616,23
63,64,64,Kevin Kisner,104,70.28,1265,18
64,T65,T65,John Huh,102,70.29,1476,21
65,T65,T65,Cameron Percy,72,70.29,984,14
66,67,67,Hideki Matsuyama,95,70.31,1125,16
67,68,68,Spencer Levin,99,70.32,1336,19
68,69,69,Nick Watney,91,70.33,1055,15
69,70,70,Brandt Snedeker,98,70.35,1407,20
70,T71,T71,Steven Alker,62,70.36,774,11
71,T71,T71,Kevin Chappell,86,70.36,985,14
72,T71,T71,Ben Crane,62,70.36,985,14
73,74,74,Carlos Ortiz,100,70.37,1337,19
74,75,75,Daniel Berger,97,70.39,1267,18
75,76,76,Dustin Johnson,75,70.4,1056,15
76,77,77,Michael Putnam,87,70.41,1197,17
77,T78,T78,Charles Howell III,105,70.42,1338,19
78,T78,T78,Byron Smith,59,70.42,845,12
79,T80,T80,Rickie Fowler,76,70.44,1268,18
80,T80,T80,Billy Horschel,99,70.44,1761,25
81,82,82,Alex Cejka,94,70.5,1128,16
82,T83,T83,Justin Rose,69,70.53,1058,15
83,T83,T83,Nick Taylor,91,70.53,1340,19
84,T83,T83,Justin Thomas,106,70.53,1199,17
85,86,86,Sean O'Hair,86,70.55,1552,22
86,T87,T87,Ryan Palmer,80,70.56,635,9
87,T87,T87,David Toms,62,70.56,1129,16
88,T89,T89,Jason Gore,76,70.57,988,14
89,T89,T89,Matt Jones,89,70.57,988,14
90,T89,T89,Camilo Villegas,83,70.57,988,14
91,92,92,John Peterson,84,70.59,1200,17
92,93,93,Kevin Streelman,95,70.62,918,13
93,94,94,Seung-Yul Noh,65,70.63,565,8
94,95,95,Bryce Molder,91,70.64,989,14
95,96,96,Nicholas Thompson,90,70.65,1413,20
96,97,97,Phil Mickelson,70,70.67,1060,15
97,98,98,David Hearn,97,70.68,1343,19
98,T99,T99,Bill Haas,89,70.69,919,13
99,T99,T99,Russell Henley,87,70.69,1131,16
100,T101,T101,Ernie Els,57,70.71,990,14
