,Eagles_Holes_per_RANK THIS WEEK,Eagles_Holes_per_RANK LAST WEEK,Eagles_Holes_per_PLAYER NAME,Eagles_Holes_per_ROUNDS,Eagles_Holes_per_FREQUENCY,Eagles_Holes_per_# OF HOLES,Eagles_Holes_per_# OF EAGLES
0,1,1,Brooks Koepka,84,72.9,1458,20
1,2,2,Bubba Watson,71,81.6,1224,15
2,3,3,Dustin Johnson,75,86.4,1296,15
3,4,4,J.B. Holmes,89,102.0,1530,15
4,5,5,Jason Day,75,108.0,1296,12
5,6,6,Hideki Matsuyama,95,117.0,1638,14
6,7,7,Justin Thomas,106,119.3,1908,16
7,8,8,Matt Kuchar,97,120.9,1692,14
8,9,9,Aaron Baddeley,76,121.1,1332,11
9,10,10,Willy Wilcox,58,121.5,972,8
10,11,11,Adam Scott,51,123.4,864,7
11,12,12,Eric Axley,57,123.8,990,8
12,13,13,Derek Fathauer,81,126.0,1386,11
13,14,14,Jhonattan Vegas,90,129.0,1548,12
14,15,15,Rickie Fowler,76,129.6,1296,10
15,16,16,Jason Dufner,76,131.4,1314,10
16,17,17,Ryo Ishikawa,90,132.0,1584,12
17,18,18,Lee Westwood,56,133.7,936,7
18,19,19,Sean O'Hair,86,140.7,1548,11
19,20,20,Louis Oosthuizen,68,141.8,1134,8
20,21,21,Steven Bowditch,103,142.6,1854,13
21,T22,T22,Carlos Ortiz,100,144.0,1728,12
22,T22,T22,Jordan Spieth,91,144.0,1584,11
23,24,24,Seung-Yul Noh,65,146.3,1170,8
24,25,25,Paul Casey,87,147.6,1476,10
25,T26,T26,Robert Garrigus,70,148.5,1188,8
26,T26,T26,Andres Romero,69,148.5,1188,8
27,28,28,Steve Wheatcroft,87,149.4,1494,10
28,29,29,John Huh,102,151.5,1818,12
29,30,30,Morgan Hoffmann,85,153.0,1530,10
30,T31,T31,Martin Laird,77,154.0,1386,9
31,T31,T31,Ryan Palmer,80,154.0,1386,9
32,33,33,Henrik Stenson,63,154.3,1080,7
33,34,34,Erik Compton,86,154.8,1548,10
34,35,35,Hudson Swafford,97,155.5,1710,11
35,T36,T36,Webb Simpson,81,156.0,1404,9
36,T36,T36,Andrew Svoboda,80,156.0,1404,9
37,38,38,Cameron Percy,72,157.5,1260,8
38,39,39,Scott Pinckney,88,158.4,1584,10
39,T40,T40,Ángel Cabrera,53,159.0,954,6
40,T40,T40,Tony Finau,106,159.0,1908,12
41,T42,T42,Charlie Beljan,76,162.0,1296,8
42,T42,T42,Jason Gore,76,162.0,1296,8
43,T42,T42,J.J. Henry,94,162.0,1620,10
44,T42,T42,Scott Piercy,90,162.0,1620,10
45,46,46,Chris Kirk,76,164.3,1314,8
46,T47,T47,Jonas Blixt,78,166.5,1332,8
47,T47,T47,Gary Woodland,81,166.5,1332,8
48,49,49,Graham DeLaet,65,167.1,1170,7
49,50,50,John Peterson,84,168.0,1512,9
50,T51,T51,Jamie Donaldson,50,169.2,846,5
51,T51,T51,Shawn Stefani,94,169.2,1692,10
52,T53,T53,Kevin Chappell,86,172.0,1548,9
53,T53,T53,Matt Jones,89,172.0,1548,9
