,Tenth_Tee_Late_Scoring_Average_RANK THIS WEEK,Tenth_Tee_Late_Scoring_Average_RANK LAST WEEK,Tenth_Tee_Late_Scoring_Average_PLAYER NAME,Tenth_Tee_Late_Scoring_Average_ROUNDS,Tenth_Tee_Late_Scoring_Average_AVG,Tenth_Tee_Late_Scoring_Average_TOTAL STROKES,Tenth_Tee_Late_Scoring_Average_TOTAL 10TH TEE LATE RNDS.
0,1,1,Patrick Reed,103,67.0,134,2
1,2,2,Dustin Johnson,75,67.5,135,2
2,3,3,Justin Rose,69,68.0,136,2
3,4,4,Francesco Molinari,56,68.2,341,5
4,5,5,Matt Kuchar,97,68.25,273,4
5,6,6,Justin Thomas,106,68.35,1162,17
6,7,7,Jordan Spieth,91,68.5,137,2
7,8,8,J.B. Holmes,89,68.83,826,12
8,9,9,Graham DeLaet,65,68.89,620,9
9,T10,T10,Rickie Fowler,76,69.0,276,4
10,T10,T10,Brooks Koepka,84,69.0,276,4
11,12,12,Johnson Wagner,68,69.2,346,5
12,T13,T13,Brendon de Jonge,106,69.25,1108,16
13,T13,T13,Martin Laird,77,69.25,831,12
14,15,15,Danny Lee,120,69.37,1318,19
15,16,16,Harris English,105,69.54,904,13
16,17,17,Brian Harman,90,69.58,1322,19
17,18,18,Chad Collins,79,69.6,1044,15
18,19,19,Ryan Palmer,80,69.62,905,13
19,20,20,Jason Bohn,95,69.69,1115,16
20,21,21,Morgan Hoffmann,85,69.7,697,10
21,22,22,Martin Flores,95,69.72,1255,18
22,23,23,Kevin Na,98,69.77,907,13
23,24,24,Jason Kokrak,88,69.8,1047,15
24,T25,T25,Gonzalo Fernandez-Castaño,81,69.83,1257,18
25,T25,T25,Daniel Summerhays,101,69.83,1257,18
26,27,27,Scott Piercy,90,69.84,1327,19
27,28,28,Hudson Swafford,97,69.88,1118,16
28,T29,T29,Scott Brown,97,69.89,1957,28
29,T29,T29,J.J. Henry,94,69.89,1328,19
30,T29,T29,Matt Jones,89,69.89,1328,19
31,32,32,Willy Wilcox,58,69.9,699,10
32,33,33,Rory Sabbatini,81,69.91,1538,22
33,34,34,Chris Kirk,76,69.93,1049,15
34,35,35,David Lingmerth,90,69.96,1679,24
35,T36,T36,Sergio Garcia,59,70.0,140,2
36,T36,T36,Phil Mickelson,70,70.0,210,3
37,T36,T36,Vijay Singh,78,70.0,1260,18
38,39,39,Kyle Reifers,96,70.04,1681,24
39,T40,T40,Chesson Hadley,101,70.05,1401,20
40,T40,T40,Carl Pettersson,106,70.05,1471,21
41,T40,T40,Jhonattan Vegas,90,70.05,1331,19
42,43,43,David Hearn,97,70.06,1261,18
43,44,44,Paul Casey,87,70.09,771,11
44,45,45,Brendon Todd,96,70.11,1262,18
45,46,46,Whee Kim,71,70.12,1192,17
46,T47,T47,Jeff Overton,94,70.13,561,8
47,T47,T47,Chez Reavie,56,70.13,561,8
48,49,49,Robert Streb,110,70.15,912,13
49,T50,T50,Justin Leonard,61,70.17,842,12
50,T50,T50,Brendan Steele,88,70.17,842,12
51,T52,T52,Jonathan Byrd,69,70.2,702,10
52,T52,T52,Kevin Streelman,95,70.2,1404,20
53,54,54,Colt Knost,90,70.25,1124,16
54,55,55,Blayne Barber,76,70.26,1335,19
55,T56,T56,John Huh,102,70.27,1546,22
56,T56,T56,Ryan Moore,81,70.27,1054,15
57,58,58,William McGirt,103,70.31,1125,16
58,T59,T59,Chad Campbell,97,70.33,1477,21
59,T59,T59,Greg Chalmers,58,70.33,844,12
60,T59,T59,Zach Johnson,90,70.33,211,3
61,T59,T59,Nicholas Thompson,90,70.33,1266,18
62,T59,T59,Jimmy Walker,89,70.33,211,3
63,64,64,Roberto Castro,54,70.36,774,11
64,65,65,Max Homa,78,70.38,915,13
65,T66,T66,Luke Donald,71,70.43,493,7
66,T66,T66,D.A. Points,72,70.43,1620,23
67,T68,T68,Jerry Kelly,79,70.44,1127,16
68,T68,T68,Russell Knox,96,70.44,1127,16
69,70,70,Tom Hoge,83,70.47,1198,17
70,T71,T71,Bill Haas,89,70.5,705,10
71,T71,T71,Louis Oosthuizen,68,70.5,423,6
72,73,73,Daniel Berger,97,70.52,1481,21
73,74,74,John Peterson,84,70.53,1058,15
74,75,75,Billy Hurley III,83,70.54,917,13
75,T76,T76,Spencer Levin,99,70.55,1552,22
76,T76,T76,Bryce Molder,91,70.55,1552,22
77,78,78,Stewart Cink,77,70.56,1129,16
78,79,79,Sean O'Hair,86,70.57,988,14
79,T80,T80,Steven Alker,62,70.58,847,12
80,T80,T80,Luke Guthrie,84,70.58,1341,19
