,First_Tee_Late_Par_4_Scoring_Average_RANK THIS WEEK,First_Tee_Late_Par_4_Scoring_Average_RANK LAST WEEK,First_Tee_Late_Par_4_Scoring_Average_PLAYER NAME,First_Tee_Late_Par_4_Scoring_Average_ROUNDS,First_Tee_Late_Par_4_Scoring_Average_AVG,First_Tee_Late_Par_4_Scoring_Average_TOTAL STROKES,First_Tee_Late_Par_4_Scoring_Average_TOTAL HOLES
0,1,1,Jordan Spieth,91,3.93,2497,635
1,2,2,Hideki Matsuyama,95,3.94,1985,504
2,T3,T3,Jason Day,75,3.95,1958,496
3,T3,T3,Bryce Molder,91,3.95,862,218
4,T3,T3,Louis Oosthuizen,68,3.95,1255,318
5,T6,T6,Jason Bohn,95,3.96,1450,366
6,T6,T6,Ryo Ishikawa,90,3.96,1161,293
7,T8,T8,Paul Casey,87,3.97,1413,356
8,T8,T8,Jim Furyk,71,3.97,1491,376
9,T8,T8,Bill Haas,89,3.97,1362,343
10,T8,T8,Russell Henley,87,3.97,1240,312
11,T8,T8,Jason Kokrak,88,3.97,1085,273
12,T8,T8,Greg Owen,58,3.97,889,224
13,T8,T8,Scott Piercy,90,3.97,1080,272
14,T8,T8,Robert Streb,110,3.97,1913,482
15,T8,T8,Bubba Watson,71,3.97,1892,476
16,T17,T17,Zac Blair,108,3.98,992,249
17,T17,T17,Sergio Garcia,59,3.98,1408,354
18,T17,T17,Jason Gore,76,3.98,856,215
19,T17,T17,Zach Johnson,90,3.98,2195,552
20,T17,T17,George McNeill,93,3.98,1155,290
21,T17,T17,Pat Perez,96,3.98,1002,252
22,T17,T17,Chris Stroud,84,3.98,976,245
23,T17,T17,Brian Stuard,97,3.98,848,213
24,T17,T17,David Toms,62,3.98,956,240
25,T17,T17,Bo Van Pelt,81,3.98,1016,255
26,T27,T27,Steven Bowditch,103,3.99,1205,302
27,T27,T27,Greg Chalmers,58,3.99,535,134
28,T27,T27,Jon Curran,83,3.99,954,239
29,T27,T27,Brice Garnett,81,3.99,778,195
30,T27,T27,Whee Kim,71,3.99,738,185
31,T27,T27,Russell Knox,96,3.99,1521,381
32,T27,T27,Brooks Koepka,84,3.99,1780,446
33,T27,T27,Matt Kuchar,97,3.99,2091,524
34,T27,T27,Hunter Mahan,88,3.99,1153,289
35,T27,T27,John Peterson,84,3.99,850,213
36,T27,T27,Patrick Reed,103,3.99,2292,574
37,T27,T27,Heath Slocum,57,3.99,463,116
38,T27,T27,Willy Wilcox,58,3.99,687,172
39,T40,T40,Daniel Berger,97,4.0,1431,358
40,T40,T40,Luke Guthrie,84,4.0,805,201
41,T40,T40,David Hearn,97,4.0,1173,293
42,T40,T40,Jerry Kelly,79,4.0,1049,262
43,T40,T40,Jonathan Randolph,72,4.0,1017,254
44,T40,T40,Justin Rose,69,4.0,1726,431
45,T40,T40,Henrik Stenson,63,4.0,1515,379
46,T40,T40,Boo Weekley,79,4.0,1127,282
47,T40,T40,Mark Wilson,89,4.0,813,203
48,T49,T49,Stewart Cink,77,4.01,1047,261
49,T49,T49,Harris English,105,4.01,1540,384
50,T49,T49,Marc Leishman,74,4.01,1087,271
51,T49,T49,William McGirt,103,4.01,1240,309
52,T49,T49,Sean O'Hair,86,4.01,1345,335
53,T49,T49,Ryan Palmer,80,4.01,1148,286
54,T49,T49,Carl Pettersson,106,4.01,1230,307
55,T49,T49,Byron Smith,59,4.01,697,174
56,T49,T49,Brandt Snedeker,98,4.01,1763,440
57,T49,T49,Scott Stallings,60,4.01,409,102
58,T49,T49,Brendan Steele,88,4.01,1140,284
59,T49,T49,Shawn Stefani,94,4.01,1111,277
