,Bogey_Avoidance_RANK THIS WEEK,Bogey_Avoidance_RANK LAST WEEK,Bogey_Avoidance_PLAYER NAME,Bogey_Avoidance_ROUNDS,Bogey_Avoidance_% MAKES BOGEY,Bogey_Avoidance_BOGEYS,Bogey_Avoidance_HOLES PLAYED
0,1,1,Jason Day,75,12.11,157,1296
1,2,2,Willy Wilcox,58,12.76,124,972
2,3,3,Jordan Spieth,91,13.13,208,1584
3,4,4,John Peterson,84,13.29,201,1512
4,5,5,Jason Bohn,95,13.51,231,1710
5,6,6,Chad Collins,79,13.57,193,1422
6,7,7,Henrik Stenson,63,13.61,147,1080
7,8,8,Jim Furyk,71,13.72,158,1152
8,9,9,Zach Johnson,90,13.86,217,1566
9,10,10,Russell Knox,96,13.89,240,1728
10,11,11,William McGirt,103,13.92,258,1854
11,12,12,Billy Hurley III,83,13.99,199,1422
12,13,13,Hideki Matsuyama,95,14.1,231,1638
13,14,14,Matt Kuchar,97,14.13,239,1692
14,15,15,Jim Herman,88,14.2,225,1584
15,16,16,Zac Blair,108,14.21,266,1872
16,T17,T17,Kevin Kisner,104,14.26,267,1872
17,T17,T17,Francesco Molinari,56,14.26,136,954
18,T17,T17,Justin Thomas,106,14.26,272,1908
19,20,20,Harris English,105,14.27,262,1836
20,21,21,Jonathan Byrd,69,14.44,169,1170
21,22,22,David Toms,62,14.46,151,1044
22,23,23,Bill Haas,89,14.53,225,1548
23,24,24,Bubba Watson,71,14.54,178,1224
24,25,25,Robert Streb,110,14.55,288,1980
25,T26,T26,Jerry Kelly,79,14.56,207,1422
26,T26,T26,Justin Rose,69,14.56,173,1188
27,28,28,Bryce Molder,91,14.62,229,1566
28,29,29,Paul Casey,87,14.7,217,1476
29,30,30,Greg Owen,58,14.75,154,1044
30,31,31,Stewart Cink,77,14.79,205,1386
31,T32,T32,Webb Simpson,81,14.81,208,1404
32,T32,T32,Brendan Steele,88,14.81,224,1512
33,34,34,Kevin Streelman,95,14.84,243,1638
34,35,35,Johnson Wagner,68,14.87,182,1224
35,36,36,Rory Sabbatini,81,14.88,217,1458
36,37,37,Spencer Levin,99,14.89,260,1746
37,38,38,Colt Knost,90,14.92,231,1548
38,39,39,Jon Curran,83,14.98,213,1422
39,40,40,Pat Perez,96,14.99,259,1728
40,41,41,Brandt Snedeker,98,15.03,257,1710
41,T42,T42,Rickie Fowler,76,15.05,195,1296
42,T42,T42,Brendon Todd,96,15.05,252,1674
43,44,44,Chad Campbell,97,15.06,263,1746
44,45,45,Steven Alker,62,15.09,163,1080
45,46,46,Luke Donald,71,15.1,193,1278
46,47,47,Graham DeLaet,65,15.13,177,1170
47,48,48,Steven Bowditch,103,15.16,281,1854
48,T49,T49,Daniel Berger,97,15.23,266,1746
49,T49,T49,Tyrone Van Aswegen,58,15.23,148,972
50,51,51,Charles Howell III,105,15.24,288,1890
51,52,52,Kevin Na,98,15.26,261,1710
52,53,53,Sergio Garcia,59,15.28,154,1008
53,54,54,Michael Putnam,87,15.29,234,1530
54,55,55,Brendon de Jonge,106,15.3,292,1908
55,56,56,Louis Oosthuizen,68,15.34,174,1134
56,57,57,John Huh,102,15.35,279,1818
57,58,58,Martin Flores,95,15.38,252,1638
58,T59,T59,K.J. Choi,66,15.41,172,1116
59,T59,T59,George McNeill,93,15.41,258,1674
60,61,61,Brooks Koepka,84,15.43,225,1458
61,T62,T62,Sung Joon Park,79,15.44,214,1386
62,T62,T62,Patrick Reed,103,15.44,278,1800
63,64,64,Brian Harman,90,15.49,251,1620
64,T65,T65,Mark Hubbard,79,15.51,215,1386
65,T65,T65,Dustin Johnson,75,15.51,201,1296
66,T67,T67,Alex Cejka,94,15.52,257,1656
67,T67,T67,David Hearn,97,15.52,271,1746
68,T69,T69,Whee Kim,71,15.54,193,1242
69,T69,T69,Shawn Stefani,94,15.54,263,1692
70,T71,T71,Danny Lee,120,15.56,336,2160
71,T71,T71,Mark Wilson,89,15.56,238,1530
72,73,73,Kyle Reifers,96,15.58,258,1656
73,74,74,Adam Hadwin,95,15.71,263,1674
74,75,75,Martin Laird,77,15.73,218,1386
75,T76,T76,Russell Henley,87,15.74,238,1512
76,T76,T76,David Lingmerth,90,15.74,255,1620
77,T78,T78,Scott Brown,97,15.75,275,1746
78,T78,T78,Troy Merritt,91,15.75,258,1638
79,80,80,Ryan Moore,81,15.81,222,1404
80,81,81,Daniel Summerhays,101,15.84,288,1818
81,82,82,J.J. Henry,94,15.86,257,1620
82,83,83,Ryan Palmer,80,15.87,220,1386
83,84,84,Ian Poulter,68,15.9,186,1170
84,85,85,Vijay Singh,78,15.95,224,1404
85,86,86,Jeff Overton,94,16.0,265,1656
86,T87,T87,Tony Finau,106,16.04,306,1908
87,T87,T87,Alex Prugh,84,16.04,231,1440
88,T89,T89,Billy Horschel,99,16.09,278,1728
89,T89,T89,Carl Pettersson,106,16.09,307,1908
90,91,91,Boo Weekley,79,16.1,229,1422
91,92,92,Brian Stuard,97,16.13,270,1674
92,93,93,Hudson Swafford,97,16.14,276,1710
93,94,94,Matt Jones,89,16.15,250,1548
94,T95,T95,Chris Kirk,76,16.21,213,1314
95,T95,T95,Justin Leonard,61,16.21,178,1098
96,97,97,Jason Kokrak,88,16.22,257,1584
97,T98,T98,Charley Hoffman,97,16.25,275,1692
98,T98,T98,Patrick Rodgers,57,16.25,155,954
99,T100,T100,Hunter Mahan,88,16.27,246,1512
100,T100,T100,Jonathan Randolph,72,16.27,205,1260
101,102,102,James Hahn,94,16.31,276,1692
102,103,103,Tom Hoge,83,16.32,232,1422
103,104,104,Scott Langley,94,16.36,271,1656
104,T105,T105,Aaron Baddeley,76,16.37,218,1332
105,T105,T105,Chez Reavie,56,16.37,165,1008
106,T107,T107,Keegan Bradley,87,16.4,248,1512
107,T107,T107,Chris Stroud,84,16.4,248,1512
108,T109,T109,Kevin Chappell,86,16.41,254,1548
109,T109,T109,Sean O'Hair,86,16.41,254,1548
110,111,111,Cameron Tringale,96,16.44,284,1728
111,112,112,Davis Love III,51,16.45,151,918
112,T113,T113,Scott Piercy,90,16.48,267,1620
113,T113,T113,Nick Watney,91,16.48,270,1638
114,115,115,Cameron Percy,72,16.51,208,1260
115,116,116,Steve Wheatcroft,87,16.53,247,1494
116,T117,T117,Blayne Barber,76,16.67,222,1332
117,T117,T117,Erik Compton,86,16.67,258,1548
118,T117,T117,Bill Lunde,50,16.67,138,828
119,T120,T120,Jhonattan Vegas,90,16.73,259,1548
120,T120,T120,Jimmy Walker,89,16.73,259,1548
121,122,122,Andres Gonzales,90,16.8,260,1548
122,T123,T123,Sangmoon Bae,98,16.84,297,1764
123,T123,T123,Carlos Ortiz,100,16.84,291,1728
124,125,125,Scott Pinckney,88,16.86,267,1584
125,126,126,Brice Garnett,81,16.95,241,1422
126,127,127,Eric Axley,57,16.97,168,990
127,128,128,Marc Leishman,74,16.98,214,1260
128,129,129,Ben Crane,62,17.05,178,1044
129,130,130,Gary Woodland,81,17.12,228,1332
130,131,131,Jamie Donaldson,50,17.14,145,846
131,T132,T132,Ben Martin,93,17.16,278,1620
132,T132,T132,Nick Taylor,91,17.16,281,1638
133,134,134,Adam Scott,51,17.25,149,864
134,135,135,Byron Smith,59,17.27,171,990
135,136,136,Ricky Barnes,82,17.31,243,1404
136,T137,T137,Jonas Blixt,78,17.34,231,1332
137,T137,T137,Fabián Gómez,83,17.34,259,1494
138,139,139,Bo Van Pelt,81,17.37,247,1422
139,140,140,J.B. Holmes,89,17.39,266,1530
140,141,141,John Senden,80,17.41,235,1350
141,T142,T142,Max Homa,78,17.49,233,1332
142,T142,T142,John Merrick,78,17.49,233,1332
143,144,144,Sam Saunders,83,17.56,256,1458
144,T145,T145,Jason Dufner,76,17.58,231,1314
145,T145,T145,Morgan Hoffmann,85,17.58,269,1530
146,147,147,Brian Davis,86,17.62,260,1476
147,148,148,Tim Wilkinson,73,17.68,226,1278
148,T149,T149,Greg Chalmers,58,17.7,172,972
149,T149,T149,D.A. Points,72,17.7,223,1260
150,151,151,Lucas Glover,79,17.72,252,1422
151,T152,T152,Roberto Castro,54,17.78,160,900
152,T152,T152,Seung-Yul Noh,65,17.78,208,1170
153,T154,T154,Gonzalo Fernandez-Castaño,81,17.82,247,1386
154,T154,T154,Retief Goosen,81,17.82,247,1386
155,T154,T154,Chesson Hadley,101,17.82,324,1818
156,157,157,Jason Gore,76,17.9,232,1296
157,158,158,Ken Duke,93,17.92,287,1602
158,159,159,Ryo Ishikawa,90,17.93,284,1584
159,160,160,Luke Guthrie,84,17.95,265,1476
160,161,161,Derek Ernst,75,18.0,230,1278
161,162,162,Nicholas Thompson,90,18.15,281,1548
162,163,163,Phil Mickelson,70,18.17,229,1260
163,164,164,Derek Fathauer,81,18.25,253,1386
164,165,165,Michael Thompson,83,18.52,270,1458
165,166,166,Ernie Els,57,18.62,191,1026
166,167,167,Camilo Villegas,83,18.67,279,1494
167,168,168,Jim Renner,68,18.69,222,1188
168,169,169,Oscar Fraustro,58,18.72,182,972
169,170,170,Scott Stallings,60,18.8,203,1080
170,171,171,Charl Schwartzel,67,18.87,214,1134
171,172,172,Lee Westwood,56,18.91,177,936
172,173,173,Heath Slocum,57,19.29,184,954
173,174,174,Andres Romero,69,19.44,231,1188
174,175,175,Robert Allenby,63,19.49,207,1062
175,176,176,Roger Sloan,56,19.55,183,936
176,177,177,Geoff Ogilvy,50,19.79,171,864
177,178,178,Padraig Harrington,60,19.81,214,1080
178,179,179,Ángel Cabrera,53,20.02,191,954
179,180,180,Andrew Putnam,68,20.05,231,1152
180,181,181,Robert Garrigus,70,20.37,242,1188
181,182,182,Andrew Svoboda,80,20.94,294,1404
182,183,183,Matt Every,73,21.11,266,1260
183,184,184,Charlie Beljan,76,21.3,276,1296
