,Par_4_Scoring_Average_RANK THIS WEEK,Par_4_Scoring_Average_RANK LAST WEEK,Par_4_Scoring_Average_PLAYER NAME,Par_4_Scoring_Average_ROUNDS,Par_4_Scoring_Average_AVG,Par_4_Scoring_Average_TOTAL STROKES,Par_4_Scoring_Average_TOTAL HOLES
0,T1,T1,Jason Day,75,3.93,3090,787
1,T1,T1,Jordan Spieth,91,3.93,3749,954
2,T3,T3,Hideki Matsuyama,95,3.96,3930,992
3,T3,T3,Henrik Stenson,63,3.96,2582,652
4,T3,T3,Willy Wilcox,58,3.96,2312,584
5,6,6,Jason Bohn,95,3.97,4044,1019
6,T7,T7,Zach Johnson,90,3.98,3882,975
7,T7,T7,Russell Knox,96,3.98,4135,1040
8,T7,T7,Bubba Watson,71,3.98,2995,752
9,T10,T10,Paul Casey,87,3.99,3685,924
10,T10,T10,Jim Furyk,71,3.99,2738,687
11,T10,T10,Brooks Koepka,84,3.99,3576,897
12,T10,T10,Matt Kuchar,97,3.99,4070,1021
13,T10,T10,Sean O'Hair,86,3.99,3646,913
14,T10,T10,Pat Perez,96,3.99,4078,1021
15,T10,T10,Rory Sabbatini,81,3.99,3489,874
16,T10,T10,Brendan Steele,88,3.99,3537,887
17,T18,T18,Sergio Garcia,59,4.0,2466,616
18,T18,T18,Dustin Johnson,75,4.0,3149,788
19,T18,T18,Bryce Molder,91,4.0,3773,944
20,T18,T18,Louis Oosthuizen,68,4.0,2760,690
21,T18,T18,Patrick Reed,103,4.0,4341,1085
22,T18,T18,Justin Rose,69,4.0,2883,720
23,T18,T18,Robert Streb,110,4.0,4882,1222
24,T18,T18,Daniel Summerhays,101,4.0,4399,1099
25,T26,T26,Steven Bowditch,103,4.01,4534,1130
26,T26,T26,Jonathan Byrd,69,4.01,2789,696
27,T26,T26,Stewart Cink,77,4.01,3385,844
28,T26,T26,Harris English,105,4.01,4490,1121
29,T26,T26,Tony Finau,106,4.01,4586,1145
30,T26,T26,David Hearn,97,4.01,4179,1043
31,T26,T26,Charley Hoffman,97,4.01,4080,1017
32,T26,T26,Jerry Kelly,79,4.01,3443,859
33,T26,T26,Whee Kim,71,4.01,2991,745
34,T26,T26,Colt Knost,90,4.01,3724,928
35,T26,T26,Danny Lee,120,4.01,5213,1300
36,T26,T26,Spencer Levin,99,4.01,4211,1050
37,T26,T26,Hunter Mahan,88,4.01,3640,908
38,T26,T26,William McGirt,103,4.01,4476,1117
39,T26,T26,Francesco Molinari,56,4.01,2323,580
40,T26,T26,Kevin Na,98,4.01,4143,1033
41,T26,T26,Greg Owen,58,4.01,2525,630
42,T26,T26,Ryan Palmer,80,4.01,3408,850
43,T26,T26,John Peterson,84,4.01,3602,899
44,T26,T26,Patrick Rodgers,57,4.01,2354,587
45,T26,T26,Brandt Snedeker,98,4.01,4139,1032
46,T26,T26,Shawn Stefani,94,4.01,4055,1010
47,T26,T26,Justin Thomas,106,4.01,4562,1139
48,T26,T26,Nick Watney,91,4.01,3904,974
49,T50,T50,Blayne Barber,76,4.02,3175,789
50,T50,T50,Daniel Berger,97,4.02,4224,1050
