,Average_Distance_of_Putts_made_RANK THIS WEEK,Average_Distance_of_Putts_made_RANK LAST WEEK,Average_Distance_of_Putts_made_PLAYER NAME,Average_Distance_of_Putts_made_ROUNDS,Average_Distance_of_Putts_made_AVG,Average_Distance_of_Putts_made_TOTAL DIST. (INCHES),Average_Distance_of_Putts_made_TOTAL ROUNDS,Average_Distance_of_Putts_made_AVG DIST.,Average_Distance_of_Putts_made_BEST ROUND
0,1,1,Graeme McDowell,66,"84' 5""",46613,46,"4' 9""","165' 5"""
1,2,2,Matt Every,85,"83' 3""",64933,65,"4' 8""","144' 1"""
2,3,3,Michael Thompson,74,"81' 7""",58738,60,"4' 7""","139' 11"""
3,4,4,Rory McIlroy,66,"80' 7""",46414,48,"4' 6""","143' 8"""
4,5,5,Danny Lee,84,"80' 4""",66492,69,"4' 6""","121' 0"""
5,6,6,Brendon Todd,108,"80' 3""",87678,91,"4' 6""","172' 7"""
6,7,7,Chris Kirk,105,"80' 2""",82734,86,"4' 6""","160' 9"""
7,8,8,Camilo Villegas,95,"79' 9""",80389,84,"4' 6""","185' 5"""
8,9,9,Freddie Jacobson,91,"79' 8""",77448,81,"4' 6""","147' 4"""
9,10,10,Matt Kuchar,91,"79' 6""",72512,76,"4' 6""","159' 2"""
10,11,11,Brandt Snedeker,89,"79' 3""",62734,66,"4' 5""","133' 1"""
11,12,12,Sangmoon Bae,76,"79' 1""",61664,65,"4' 5""","133' 6"""
12,13,13,Andres Romero,81,"78' 10""",68121,72,"4' 6""","139' 7"""
13,T14,T14,Stuart Appleby,92,"78' 8""",79294,84,"4' 5""","137' 0"""
14,T14,T14,Adam Scott,68,"78' 8""",52852,56,"4' 5""","150' 2"""
15,16,16,Phil Mickelson,71,"78' 7""",47134,50,"4' 5""","131' 10"""
16,T17,T17,Greg Chalmers,85,"78' 6""",68761,73,"4' 5""","159' 0"""
17,T17,T17,Henrik Stenson,56,"78' 6""",35793,38,"4' 5""","138' 10"""
18,19,19,John Senden,99,"78' 4""",76114,81,"4' 5""","152' 3"""
19,20,20,Aaron Baddeley,74,"78' 3""",55391,59,"4' 5""","140' 2"""
20,T21,T21,Russell Henley,92,"78' 2""",70363,75,"4' 5""","135' 2"""
21,T21,T21,Lee Westwood,57,"78' 2""",40344,43,"4' 5""","176' 11"""
22,23,23,Paul Casey,56,"77' 11""",41134,44,"4' 5""","109' 6"""
23,24,24,Luke Guthrie,85,"77' 9""",70891,76,"4' 4""","134' 6"""
24,25,25,Sergio Garcia,61,"77' 7""",37259,40,"4' 4""","142' 3"""
25,26,26,Charlie Beljan,76,"77' 1""",61974,67,"4' 4""","137' 8"""
26,27,27,George McNeill,79,"77' 0""",64698,70,"4' 4""","128' 6"""
27,T28,T28,David Hearn,97,"76' 11""",75721,82,"4' 4""","138' 0"""
28,T28,T28,Webb Simpson,87,"76' 11""",68269,74,"4' 4""","140' 0"""
29,30,30,Morgan Hoffmann,103,"76' 9""",82860,90,"4' 4""","168' 10"""
30,31,31,Ryan Palmer,85,"76' 8""",61658,67,"4' 4""","150' 2"""
31,T32,T32,Troy Merritt,62,"76' 6""",50508,55,"4' 3""","154' 4"""
32,T32,T32,Jimmy Walker,98,"76' 6""",67019,73,"4' 4""","169' 11"""
33,34,34,D.H. Lee,54,"76' 4""",41227,45,"4' 3""","145' 1"""
34,35,35,Jordan Spieth,102,"76' 3""",72255,79,"4' 3""","149' 1"""
35,T36,T36,Scott Brown,100,"76' 0""",75676,83,"4' 3""","148' 0"""
36,T36,T36,Luke Donald,57,"76' 0""",40110,44,"4' 3""","144' 10"""
37,38,38,Brendan Steele,89,"75' 11""",63801,70,"4' 3""","151' 3"""
38,39,39,Andrew Loupe,65,"75' 10""",45503,50,"4' 3""","122' 6"""
39,40,40,Ian Poulter,57,"75' 9""",37271,41,"4' 3""","156' 7"""
40,T41,T41,Ben Curtis,77,"75' 6""",57974,64,"4' 3""","150' 10"""
41,T41,T41,Rory Sabbatini,82,"75' 6""",58916,65,"4' 3""","144' 3"""
42,T41,T41,Chris Stroud,88,"75' 6""",65246,72,"4' 3""","221' 4"""
43,T44,T44,Erik Compton,88,"75' 5""",67877,75,"4' 3""","143' 11"""
44,T44,T44,Jeff Overton,80,"75' 5""",59707,66,"4' 3""","172' 4"""
45,46,46,Graham DeLaet,80,"75' 4""",57869,64,"4' 3""","148' 6"""
46,T47,T47,Brian Davis,93,"75' 3""",73105,81,"4' 3""","182' 4"""
47,T47,T47,Kevin Na,94,"75' 3""",70462,78,"4' 3""","128' 9"""
48,T49,T49,Seung-Yul Noh,92,"75' 2""",67678,75,"4' 3""","139' 0"""
49,T49,T49,Daniel Summerhays,98,"75' 2""",79402,88,"4' 3""","186' 7"""
50,T49,T49,David Toms,64,"75' 2""",48693,54,"4' 3""","126' 2"""
51,52,52,"Ted Potter, Jr.",68,"75' 1""",54069,60,"4' 3""","114' 7"""
52,53,53,Brooks Koepka,56,"75' 0""",37781,42,"4' 2""","155' 10"""
53,T54,T54,Justin Hicks,103,"74' 11""",80886,90,"4' 2""","124' 11"""
54,T54,T54,Brian Stuard,91,"74' 11""",66521,74,"4' 3""","147' 8"""
55,T56,T56,Ryo Ishikawa,75,"74' 10""",55698,62,"4' 3""","127' 11"""
56,T56,T56,Hunter Mahan,88,"74' 10""",64628,72,"4' 2""","124' 2"""
57,T56,T56,Robert Streb,75,"74' 10""",57499,64,"4' 3""","144' 9"""
58,T56,T56,Bo Van Pelt,83,"74' 10""",60188,67,"4' 3""","123' 5"""
59,T60,T60,Ben Crane,81,"74' 8""",69895,78,"4' 2""","139' 11"""
60,T60,T60,Billy Horschel,92,"74' 8""",61810,69,"4' 2""","146' 9"""
61,62,62,Will MacKenzie,82,"74' 7""",65320,73,"4' 2""","146' 4"""
62,T63,T63,Dustin Johnson,58,"74' 6""",36667,41,"4' 2""","140' 3"""
63,T63,T63,Ryan Moore,86,"74' 6""",55457,62,"4' 2""","165' 3"""
64,65,65,Heath Slocum,71,"74' 4""",55300,62,"4' 2""","118' 7"""
65,66,66,Jerry Kelly,80,"74' 3""",58791,66,"4' 2""","128' 3"""
66,T67,T67,Ricky Barnes,92,"74' 1""",69357,78,"4' 2""","143' 11"""
