,Approach_Putt_Performance_RANK THIS WEEK,Approach_Putt_Performance_RANK LAST WEEK,Approach_Putt_Performance_PLAYER NAME,Approach_Putt_Performance_ROUNDS,Approach_Putt_Performance_VALUE,Approach_Putt_Performance_ATTEMPTS,Approach_Putt_Performance_TOTAL DISTANCE (FEET)
0,T1,T1,Ricky Barnes,92,"2' 0""",817,1652.8329999999999
1,T1,T1,Jason Dufner,57,"2' 0""",465,912.5830000000001
2,T1,T1,Ernie Els,85,"2' 0""",645,1303.75
3,T1,T1,Lucas Glover,68,"2' 0""",564,1136.5
4,T1,T1,Matt Jones,83,"2' 0""",632,1273.083
5,T1,T1,John Merrick,87,"2' 0""",843,1714.1670000000001
6,T1,T1,Kevin Stadler,90,"2' 0""",762,1521.6670000000001
7,T1,T1,Daniel Summerhays,98,"2' 0""",958,1947.3329999999999
8,T1,T1,Bubba Watson,76,"2' 0""",602,1216.083
9,T1,T1,Mark Wilson,69,"2' 0""",642,1264.667
10,T11,T11,K.J. Choi,80,"2' 1""",694,1428.25
11,T11,T11,Jason Day,54,"2' 1""",333,696.5
12,T11,T11,Sergio Garcia,61,"2' 1""",415,862.5830000000001
13,T11,T11,Retief Goosen,94,"2' 1""",827,1742.3329999999999
14,T11,T11,Bill Haas,107,"2' 1""",893,1880.0829999999999
15,T11,T11,Charles Howell III,106,"2' 1""",1035,2154.5
16,T11,T11,Zach Johnson,97,"2' 1""",888,1826.6670000000001
17,T11,T11,Dustin Johnson,58,"2' 1""",436,903.25
18,T11,T11,Martin Kaymer,65,"2' 1""",514,1052.667
19,T11,T11,Spencer Levin,59,"2' 1""",546,1153.167
20,T11,T11,Rory McIlroy,66,"2' 1""",479,996.5830000000001
21,T11,T11,Bryce Molder,77,"2' 1""",687,1432.25
22,T11,T11,Ryan Moore,86,"2' 1""",657,1366.9170000000001
23,T11,T11,John Rollins,84,"2' 1""",775,1623.0829999999999
24,T11,T11,Johnson Wagner,69,"2' 1""",643,1358.9170000000001
25,T11,T11,Tim Wilkinson,86,"2' 1""",725,1519.4170000000001
26,T27,T27,Robert Allenby,83,"2' 2""",792,1715.1670000000001
27,T27,T27,Aaron Baddeley,74,"2' 2""",591,1292.917
28,T27,T27,Jason Bohn,81,"2' 2""",801,1711.9170000000001
29,T27,T27,Keegan Bradley,89,"2' 2""",706,1523.4170000000001
30,T27,T27,Jonathan Byrd,76,"2' 2""",711,1561.6670000000001
31,T27,T27,Chad Campbell,57,"2' 2""",542,1177.667
32,T27,T27,Roberto Castro,76,"2' 2""",642,1393.9170000000001
33,T27,T27,Bud Cauley,56,"2' 2""",505,1090.833
34,T27,T27,Chad Collins,78,"2' 2""",630,1383.8329999999999
35,T27,T27,Ben Curtis,77,"2' 2""",690,1516.1670000000001
36,T27,T27,Brendon de Jonge,109,"2' 2""",1004,2150.917
37,T27,T27,Rickie Fowler,91,"2' 2""",627,1349.5829999999999
38,T27,T27,Brian Gay,81,"2' 2""",623,1374.0
39,T27,T27,Brian Harman,111,"2' 2""",1067,2272.667
40,T27,T27,J.J. Henry,91,"2' 2""",935,2037.0829999999999
41,T27,T27,Trevor Immelman,84,"2' 2""",760,1625.0
42,T27,T27,Ryo Ishikawa,75,"2' 2""",642,1398.6670000000001
43,T27,T27,Jason Kokrak,65,"2' 2""",650,1403.0829999999999
44,T27,T27,Scott Langley,95,"2' 2""",827,1781.0
45,T27,T27,Justin Leonard,75,"2' 2""",613,1334.5829999999999
46,T27,T27,William McGirt,96,"2' 2""",886,1932.3329999999999
47,T27,T27,Carl Pettersson,91,"2' 2""",946,2012.0829999999999
48,T27,T27,Charl Schwartzel,64,"2' 2""",545,1177.75
49,T27,T27,Adam Scott,68,"2' 2""",581,1265.583
50,T27,T27,Vijay Singh,83,"2' 2""",838,1802.5829999999999
51,T27,T27,Robert Streb,75,"2' 2""",674,1454.9170000000001
52,T27,T27,Kevin Streelman,79,"2' 2""",627,1354.25
53,T27,T27,David Toms,64,"2' 2""",590,1265.083
54,T27,T27,Kevin Tway,64,"2' 2""",547,1188.833
55,T27,T27,Charlie Wi,72,"2' 2""",675,1451.0
56,T27,T27,Willy Wilcox,51,"2' 2""",454,989.6669999999999
57,T58,T58,Briny Baird,50,"2' 3""",496,1117.917
58,T58,T58,Jonas Blixt,64,"2' 3""",451,999.4169999999999
59,T58,T58,Ángel Cabrera,69,"2' 3""",664,1468.8329999999999
60,T58,T58,Paul Casey,56,"2' 3""",448,999.0
61,T58,T58,Kevin Chappell,100,"2' 3""",943,2113.917
62,T58,T58,Stewart Cink,91,"2' 3""",791,1765.75
63,T58,T58,Tim Clark,75,"2' 3""",647,1454.5
64,T58,T58,Graham DeLaet,80,"2' 3""",716,1609.1670000000001
65,T58,T58,Brad Fritsch,50,"2' 3""",418,934.8330000000001
66,T58,T58,Jim Furyk,84,"2' 3""",708,1600.5
67,T58,T58,James Hahn,82,"2' 3""",818,1870.25
68,T58,T58,Charley Hoffman,93,"2' 3""",795,1769.6670000000001
69,T58,T58,J.B. Holmes,86,"2' 3""",772,1727.0
70,T58,T58,Freddie Jacobson,91,"2' 3""",831,1871.9170000000001
71,T58,T58,Jerry Kelly,80,"2' 3""",688,1552.5829999999999
72,T58,T58,Kevin Kisner,85,"2' 3""",746,1672.25
73,T58,T58,Russell Knox,92,"2' 3""",905,2017.5
74,T58,T58,Matt Kuchar,91,"2' 3""",795,1817.5829999999999
75,T58,T58,Bronson La'Cassie,51,"2' 3""",381,855.5
76,T58,T58,Davis Love III,74,"2' 3""",701,1563.25
77,T58,T58,Seung-Yul Noh,92,"2' 3""",802,1823.0
78,T58,T58,Geoff Ogilvy,84,"2' 3""",786,1775.4170000000001
79,T58,T58,John Peterson,62,"2' 3""",622,1392.5
80,T58,T58,Michael Putnam,106,"2' 3""",1018,2306.167
81,T58,T58,Patrick Reed,92,"2' 3""",768,1749.5
82,T58,T58,Justin Rose,70,"2' 3""",543,1239.667
83,T58,T58,Jordan Spieth,102,"2' 3""",749,1686.3329999999999
84,T58,T58,Shawn Stefani,60,"2' 3""",618,1367.1670000000001
85,T58,T58,Chris Stroud,88,"2' 3""",740,1684.0
86,T58,T58,Brian Stuard,91,"2' 3""",770,1720.1670000000001
87,T58,T58,Josh Teater,90,"2' 3""",843,1889.6670000000001
88,T58,T58,Cameron Tringale,111,"2' 3""",1069,2441.333
89,T58,T58,Boo Weekley,73,"2' 3""",667,1494.5829999999999
90,T58,T58,Mike Weir,69,"2' 3""",525,1185.667
91,T58,T58,Lee Westwood,57,"2' 3""",435,991.75
92,T93,T93,Greg Chalmers,85,"2' 4""",722,1688.5
93,T93,T93,Erik Compton,88,"2' 4""",791,1852.5
94,T93,T93,Ben Crane,81,"2' 4""",830,1928.0
95,T93,T93,Luke Donald,57,"2' 4""",450,1049.917
96,T93,T93,Ken Duke,80,"2' 4""",720,1654.25
97,T93,T93,Matt Every,85,"2' 4""",651,1528.1670000000001
98,T93,T93,Gonzalo Fernandez-Castaño,83,"2' 4""",700,1633.6670000000001
99,T93,T93,Martin Flores,85,"2' 4""",747,1773.25
100,T93,T93,Robert Garrigus,80,"2' 4""",775,1789.0
101,T93,T93,Jim Herman,62,"2' 4""",542,1265.25
102,T93,T93,Morgan Hoffmann,103,"2' 4""",927,2177.167
103,T93,T93,Chris Kirk,105,"2' 4""",867,2042.5
104,T93,T93,Brooks Koepka,56,"2' 4""",447,1050.333
105,T93,T93,Marc Leishman,81,"2' 4""",745,1709.25
106,T93,T93,Hunter Mahan,88,"2' 4""",780,1823.9170000000001
107,T93,T93,Troy Matteson,62,"2' 4""",546,1281.333
108,T93,T93,Graeme McDowell,66,"2' 4""",467,1076.333
109,T93,T93,George McNeill,79,"2' 4""",738,1693.25
110,T93,T93,Troy Merritt,62,"2' 4""",597,1392.6670000000001
111,T93,T93,Kevin Na,94,"2' 4""",797,1848.6670000000001
112,T93,T93,Louis Oosthuizen,50,"2' 4""",328,764.8330000000001
113,T93,T93,Pat Perez,84,"2' 4""",791,1834.8329999999999
114,T93,T93,John Senden,99,"2' 4""",885,2064.5
115,T93,T93,Webb Simpson,87,"2' 4""",775,1809.1670000000001
116,T93,T93,Heath Slocum,71,"2' 4""",691,1602.1670000000001
117,T93,T93,Brendan Steele,89,"2' 4""",751,1776.9170000000001
118,T93,T93,Henrik Stenson,56,"2' 4""",427,1009.8330000000001
119,T93,T93,Andrew Svoboda,77,"2' 4""",744,1762.8329999999999
120,T93,T93,Nicholas Thompson,85,"2' 4""",807,1912.6670000000001
121,T93,T93,Brendon Todd,108,"2' 4""",917,2122.0
122,T93,T93,Tyrone Van Aswegen,79,"2' 4""",697,1628.5
123,T93,T93,Nick Watney,80,"2' 4""",616,1427.0
124,T93,T93,Y.E. Yang,79,"2' 4""",644,1478.8329999999999
125,T126,T126,Stuart Appleby,92,"2' 5""",862,2050.333
126,T126,T126,Sangmoon Bae,76,"2' 5""",672,1639.9170000000001
127,T126,T126,Steven Bowditch,93,"2' 5""",828,1990.9170000000001
128,T126,T126,Scott Brown,100,"2' 5""",868,2065.583
129,T126,T126,James Driscoll,71,"2' 5""",633,1539.9170000000001
130,T126,T126,Harris English,95,"2' 5""",807,1933.75
131,T126,T126,Tommy Gainey,73,"2' 5""",649,1562.4170000000001
132,T126,T126,Luke Guthrie,85,"2' 5""",770,1843.4170000000001
133,T126,T126,Chesson Hadley,84,"2' 5""",761,1848.0829999999999
134,T126,T126,David Hearn,97,"2' 5""",867,2104.167
135,T126,T126,Russell Henley,92,"2' 5""",808,1980.75
136,T126,T126,David Lingmerth,80,"2' 5""",713,1747.0
137,T126,T126,Jamie Lovemark,64,"2' 5""",517,1230.75
138,T126,T126,Will MacKenzie,82,"2' 5""",783,1873.1670000000001
139,T126,T126,Jeff Maggert,54,"2' 5""",491,1175.667
140,T126,T126,Ben Martin,80,"2' 5""",671,1615.9170000000001
141,T126,T126,Hideki Matsuyama,82,"2' 5""",652,1557.5829999999999
142,T126,T126,Ryan Palmer,85,"2' 5""",674,1627.6670000000001
143,T126,T126,Wes Roach,67,"2' 5""",518,1240.917
144,T126,T126,Rory Sabbatini,82,"2' 5""",710,1694.0829999999999
145,T126,T126,Brandt Snedeker,89,"2' 5""",683,1678.3329999999999
146,T126,T126,Kyle Stanley,87,"2' 5""",851,2083.0
147,T126,T126,Bo Van Pelt,83,"2' 5""",744,1789.9170000000001
148,T126,T126,Jhonattan Vegas,77,"2' 5""",728,1729.5829999999999
149,T126,T126,Camilo Villegas,95,"2' 5""",901,2183.583
150,T126,T126,Jimmy Walker,98,"2' 5""",761,1810.3329999999999
151,T152,T152,Woody Austin,63,"2' 6""",614,1543.0829999999999
152,T152,T152,Charlie Beljan,76,"2' 6""",746,1856.5829999999999
153,T152,T152,Brian Davis,93,"2' 6""",820,2039.25
154,T152,T152,Brice Garnett,92,"2' 6""",837,2068.75
155,T152,T152,Justin Hicks,103,"2' 6""",1038,2574.667
156,T152,T152,Billy Horschel,92,"2' 6""",787,1990.6670000000001
157,T152,T152,Billy Hurley III,86,"2' 6""",793,1972.0
158,T152,T152,Martin Laird,66,"2' 6""",634,1581.25
159,T152,T152,D.H. Lee,54,"2' 6""",477,1194.583
160,T152,T152,Richard Lee,80,"2' 6""",616,1527.3329999999999
161,T152,T152,Andrew Loupe,65,"2' 6""",513,1299.75
162,T152,T152,Phil Mickelson,71,"2' 6""",490,1209.083
163,T152,T152,Sean O'Hair,77,"2' 6""",722,1808.0829999999999
164,T152,T152,D.A. Points,75,"2' 6""",613,1556.75
165,T152,T152,"Ted Potter, Jr.",68,"2' 6""",662,1649.8329999999999
166,T152,T152,Jim Renner,61,"2' 6""",589,1451.3329999999999
167,T152,T152,Michael Thompson,74,"2' 6""",638,1596.5829999999999
168,T152,T152,Gary Woodland,93,"2' 6""",791,2005.1670000000001
169,T170,T170,Derek Ernst,80,"2' 7""",712,1812.0829999999999
170,T170,T170,John Huh,87,"2' 7""",769,1960.0
171,T170,T170,Danny Lee,84,"2' 7""",738,1893.75
172,T170,T170,Jeff Overton,80,"2' 7""",694,1768.0829999999999
173,T170,T170,Scott Stallings,77,"2' 7""",692,1775.5829999999999
174,T170,T170,Hudson Swafford,75,"2' 7""",686,1754.0
175,T176,T176,Ian Poulter,57,"2' 8""",415,1092.917
176,T176,T176,Andres Romero,81,"2' 8""",742,1950.25
