,Putts_Per_Round_RANK THIS WEEK,Putts_Per_Round_RANK LAST WEEK,Putts_Per_Round_PLAYER NAME,Putts_Per_Round_ROUNDS,Putts_Per_Round_AVG,Putts_Per_Round_TOTAL PUTTS,Putts_Per_Round_TOTAL ROUNDS,Putts_Per_Round_LOW TOTAL PUTTS
0,1,1,Justin Leonard,75,27.77,2083,75,22
1,2,2,Jordan Spieth,102,27.86,2730,98,23
2,3,3,Aaron Baddeley,74,28.15,2027,72,23
3,T4,T4,Greg Chalmers,85,28.16,2281,81,21
4,T4,T4,Brian Gay,81,28.16,2225,79,22
5,6,6,Brendon Todd,108,28.32,3059,108,22
6,7,7,Charl Schwartzel,64,28.34,1757,62,22
7,T8,T8,J.B. Holmes,86,28.35,2438,86,23
8,T8,T8,Chris Stroud,88,28.35,2495,88,22
9,10,10,Richard Lee,80,28.37,2213,78,24
10,11,11,Freddie Jacobson,91,28.38,2583,91,24
11,12,12,Mike Weir,69,28.4,1846,65,24
12,13,13,Chad Collins,78,28.41,2102,74,22
13,14,14,Stuart Appleby,92,28.42,2558,90,22
14,15,15,Chris Kirk,105,28.44,2958,104,22
15,T16,T16,Rickie Fowler,91,28.46,2419,85,24
16,T16,T16,Kevin Na,94,28.46,2675,94,24
17,18,18,Luke Guthrie,85,28.49,2422,85,23
18,T19,T19,Morgan Hoffmann,103,28.53,2824,99,22
19,T19,T19,Andres Romero,81,28.53,2197,77,22
20,21,21,Brian Stuard,91,28.54,2483,87,23
21,T22,T22,Jerry Kelly,80,28.55,2284,80,23
22,T22,T22,Tim Wilkinson,86,28.55,2341,82,21
23,24,24,Graeme McDowell,66,28.56,1771,62,21
24,25,25,Charlie Wi,72,28.57,2000,70,23
25,26,26,Phil Mickelson,71,28.58,2029,71,21
26,T27,T27,Brian Davis,93,28.59,2659,93,23
27,T27,T27,Luke Donald,57,28.59,1601,56,22
28,T27,T27,Sergio Garcia,61,28.59,1658,58,21
29,T27,T27,Rory McIlroy,66,28.59,1830,64,22
30,31,31,Ian Poulter,57,28.64,1604,56,25
31,32,32,Brian Harman,111,28.65,3180,111,24
32,33,33,Ernie Els,85,28.68,2266,79,23
33,T34,T34,Jason Day,54,28.71,1378,48,22
34,T34,T34,William McGirt,96,28.71,2756,96,24
35,T36,T36,Gonzalo Fernandez-Castaño,83,28.72,2355,82,23
36,T36,T36,Scott Langley,95,28.72,2671,93,23
37,T38,T38,Ryan Palmer,85,28.73,2442,85,21
38,T38,T38,Jimmy Walker,98,28.73,2758,96,24
39,T40,T40,Dustin Johnson,58,28.74,1638,57,22
40,T40,T40,Matt Kuchar,91,28.74,2529,88,24
41,T40,T40,Brandt Snedeker,89,28.74,2500,87,24
42,43,43,Matt Jones,83,28.75,2386,83,24
43,T44,T44,Patrick Reed,92,28.76,2588,90,20
44,T44,T44,Adam Scott,68,28.76,1956,68,23
45,T46,T46,Jonas Blixt,64,28.77,1784,62,22
46,T46,T46,Pat Perez,84,28.77,2417,84,22
47,T48,T48,Scott Brown,100,28.78,2878,100,23
48,T48,T48,Erik Compton,88,28.78,2533,88,23
49,T48,T48,Ben Crane,81,28.78,2331,81,23
50,T48,T48,Kevin Kisner,85,28.78,2446,85,22
51,T52,T52,Ryo Ishikawa,75,28.79,2159,75,24
52,T52,T52,Andrew Loupe,65,28.79,1756,61,24
53,T52,T52,Bryce Molder,77,28.79,2102,73,23
54,55,55,Jason Kokrak,65,28.8,1872,65,22
55,T56,T56,K.J. Choi,80,28.81,2305,80,24
56,T56,T56,Tim Clark,75,28.81,2161,75,23
57,58,58,Matt Every,85,28.82,2450,85,21
58,T59,T59,Ricky Barnes,92,28.83,2537,88,24
59,T59,T59,Webb Simpson,87,28.83,2422,84,24
60,61,61,Jason Bohn,81,28.84,2336,81,24
61,62,62,Justin Rose,70,28.85,1962,68,23
62,63,63,James Driscoll,71,28.86,2049,71,23
63,64,64,Jeff Overton,80,28.87,2194,76,23
64,T65,T65,Sangmoon Bae,76,28.88,2195,76,23
65,T65,T65,Keegan Bradley,89,28.88,2541,88,24
66,T65,T65,Brad Fritsch,50,28.88,1386,48,22
67,T65,T65,Hideki Matsuyama,82,28.88,2310,80,24
68,T69,T69,Zach Johnson,97,28.9,2774,96,25
69,T69,T69,George McNeill,79,28.9,2283,79,23
70,T69,T69,Wes Roach,67,28.9,1821,63,23
71,T69,T69,Robert Streb,75,28.9,2052,71,24
72,73,73,Russell Henley,92,28.92,2661,92,24
73,T74,T74,David Lingmerth,80,28.93,2199,76,24
74,T74,T74,Ben Martin,80,28.93,2314,80,23
75,T76,T76,Ben Curtis,77,28.95,2113,73,23
76,T76,T76,Brooks Koepka,56,28.95,1621,56,24
77,T76,T76,Lee Westwood,57,28.95,1621,56,25
78,T79,T79,Jim Furyk,84,28.96,2317,80,24
79,T79,T79,Marc Leishman,81,28.96,2317,80,23
80,81,81,Charley Hoffman,93,28.97,2694,93,24
81,82,82,Bubba Watson,76,28.99,2116,73,25
82,T83,T83,Paul Casey,56,29.0,1624,56,22
83,T83,T83,Robert Garrigus,80,29.0,2320,80,22
84,T83,T83,Chesson Hadley,84,29.0,2436,84,24
85,T83,T83,Martin Kaymer,65,29.0,1856,64,24
86,T83,T83,Kevin Streelman,79,29.0,2262,78,24
87,88,88,Tyrone Van Aswegen,79,29.01,2263,78,23
88,T89,T89,David Hearn,97,29.02,2815,97,23
89,T89,T89,Will MacKenzie,82,29.02,2380,82,23
90,T91,T91,Brice Garnett,92,29.05,2556,88,24
91,T91,T91,Ryan Moore,86,29.05,2440,84,25
92,T93,T93,Brendon de Jonge,109,29.06,3168,109,22
93,T93,T93,Sean O'Hair,77,29.06,2238,77,24
94,T93,T93,Y.E. Yang,79,29.06,2267,78,24
95,T96,T96,Retief Goosen,94,29.09,2618,90,23
96,T96,T96,Michael Thompson,74,29.09,2153,74,24
97,T98,T98,Jonathan Byrd,76,29.1,2095,72,23
98,T98,T98,Gary Woodland,93,29.1,2677,92,23
99,T100,T100,Kevin Chappell,100,29.11,2795,96,24
100,T100,T100,Charles Howell III,106,29.11,3086,106,23
101,102,102,Roberto Castro,76,29.12,2155,74,22
102,103,103,Bronson La'Cassie,51,29.13,1369,47,23
103,T104,T104,Woody Austin,63,29.14,1719,59,22
104,T104,T104,D.H. Lee,54,29.14,1457,50,23
105,106,106,Steven Bowditch,93,29.15,2711,93,21
106,T107,T107,Danny Lee,84,29.16,2333,80,23
107,T107,T107,Daniel Summerhays,98,29.16,2858,98,22
108,T109,T109,Spencer Levin,59,29.17,1721,59,24
109,T109,T109,John Senden,99,29.17,2888,99,24
110,T109,T109,Cameron Tringale,111,29.17,3238,111,24
111,112,112,Troy Merritt,62,29.18,1809,62,23
112,113,113,Seung-Yul Noh,92,29.2,2686,92,23
113,114,114,Camilo Villegas,95,29.21,2775,95,23
114,T115,T115,Russell Knox,92,29.24,2690,92,23
