,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Luke Donald,57,90.57,785,711
1,2,2,Greg Chalmers,85,90.08,1301,1172
2,3,3,Graeme McDowell,66,89.66,803,720
3,4,4,Patrick Reed,92,89.49,1332,1192
4,5,5,Billy Horschel,92,89.37,1261,1127
5,6,6,Freddie Jacobson,91,89.35,1446,1292
6,7,7,John Senden,99,89.23,1448,1292
7,8,8,Jerry Kelly,80,89.18,1192,1063
8,9,9,Matt Kuchar,91,89.16,1356,1209
9,10,10,Tim Clark,75,89.14,1133,1010
10,11,11,Russell Henley,92,89.03,1349,1201
11,T12,T12,Jason Day,54,88.96,598,532
12,T12,T12,Richard Lee,80,88.96,1123,999
13,14,14,Retief Goosen,94,88.95,1430,1272
14,15,15,Ryan Palmer,85,88.94,1203,1070
15,16,16,Keegan Bradley,89,88.87,1204,1070
16,17,17,Chad Collins,78,88.8,1107,983
17,18,18,Hunter Mahan,88,88.79,1311,1164
18,19,19,Daniel Summerhays,98,88.73,1579,1401
19,20,20,Zach Johnson,97,88.69,1538,1364
20,T21,T21,Justin Leonard,75,88.68,1131,1003
21,T21,T21,Brendon Todd,108,88.68,1626,1442
22,23,23,William McGirt,96,88.66,1534,1360
23,24,24,Chesson Hadley,84,88.64,1312,1163
24,25,25,Rickie Fowler,91,88.6,1132,1003
25,26,26,Chris Stroud,88,88.59,1297,1149
26,27,27,Sean O'Hair,77,88.56,1250,1107
27,T28,T28,Aaron Baddeley,74,88.49,1060,938
28,T28,T28,Jimmy Walker,98,88.49,1321,1169
29,30,30,Morgan Hoffmann,103,88.48,1632,1444
30,31,31,Bryce Molder,77,88.43,1193,1055
31,32,32,J.J. Henry,91,88.42,1459,1290
32,33,33,Hudson Swafford,75,88.38,1076,951
33,34,34,Scott Langley,95,88.37,1445,1277
34,35,35,Troy Merritt,62,88.35,996,880
35,36,36,Justin Hicks,103,88.32,1653,1460
36,37,37,Kevin Kisner,85,88.3,1282,1132
37,38,38,Brice Garnett,92,88.27,1449,1279
38,39,39,Ben Martin,80,88.25,1149,1014
39,T40,T40,David Hearn,97,88.23,1487,1312
40,T40,T40,Cameron Tringale,111,88.23,1809,1596
41,42,42,Stuart Appleby,92,88.22,1537,1356
42,43,43,Jason Bohn,81,88.17,1352,1192
43,T44,T44,Ian Poulter,57,88.14,767,676
44,T44,T44,Adam Scott,68,88.14,1012,892
45,46,46,Rory McIlroy,66,88.13,868,765
46,47,47,Jim Furyk,84,88.11,1220,1075
47,48,48,Tyrone Van Aswegen,79,88.09,1201,1058
48,49,49,Andres Romero,81,88.08,1300,1145
49,50,50,Bronson La'Cassie,51,88.07,679,598
50,51,51,Billy Hurley III,86,88.04,1338,1178
51,52,52,Brian Gay,81,88.03,1161,1022
52,53,53,Johnson Wagner,69,87.99,1074,945
53,54,54,Kevin Na,94,87.96,1420,1249
