,Average_Distance_of_Birdie_putts_made_RANK THIS WEEK,Average_Distance_of_Birdie_putts_made_RANK LAST WEEK,Average_Distance_of_Birdie_putts_made_PLAYER NAME,Average_Distance_of_Birdie_putts_made_ROUNDS,Average_Distance_of_Birdie_putts_made_AVG,Average_Distance_of_Birdie_putts_made_TOT DIST. (FT),Average_Distance_of_Birdie_putts_made_TOT BIRDIE PUTTS MADE,Average_Distance_of_Birdie_putts_made_LONGEST MADE (FT),Average_Distance_of_Birdie_putts_made_SHORTEST MADE (FT)
0,T1,T1,Freddie Jacobson,91,"11' 4""",3012.5,266,69,"2"""
1,T1,T1,D.H. Lee,54,"11' 4""",1364.3329999999999,120,47,"8"""
2,3,3,Graeme McDowell,66,"11' 3""",1767.0829999999999,157,45,"6"""
3,T4,T4,Greg Chalmers,85,"11' 2""",2646.083,237,74,"6"""
4,T4,T4,Ben Curtis,77,"11' 2""",2149.5,192,69,"4"""
5,T4,T4,Matt Every,85,"11' 2""",2527.0,227,45,"3"""
6,T7,T7,Sergio Garcia,61,"11' 1""",1612.5829999999999,145,42,"5"""
7,T7,T7,Brendon Todd,108,"11' 1""",3294.417,297,53,"4"""
8,9,9,Troy Merritt,62,"11' 0""",2005.6670000000001,183,49,"3"""
9,T10,T10,Stuart Appleby,92,"10' 11""",3076.417,282,66,"4"""
10,T10,T10,Brian Gay,81,"10' 11""",1968.5829999999999,180,44,"9"""
11,T10,T10,Daniel Summerhays,98,"10' 11""",3241.5,297,46,"5"""
12,T10,T10,Kevin Tway,64,"10' 11""",1482.9170000000001,136,65,"2"""
13,T14,T14,Rory Sabbatini,82,"10' 10""",2278.167,211,52,"6"""
14,T14,T14,Michael Thompson,74,"10' 10""",2319.667,214,76,"3"""
15,16,16,Chad Campbell,57,"10' 9""",1454.4170000000001,135,36,"7"""
16,T17,T17,K.J. Choi,80,"10' 8""",2278.333,214,57,"2"""
17,T17,T17,Ben Crane,81,"10' 8""",2524.0,236,72,"6"""
18,T17,T17,Luke Donald,57,"10' 8""",1595.3329999999999,149,57,"3"""
19,T17,T17,Trevor Immelman,84,"10' 8""",2043.9170000000001,191,59,"8"""
20,T17,T17,Danny Lee,84,"10' 8""",2457.083,230,57,"7"""
21,T22,T22,Chad Collins,78,"10' 7""",1815.75,171,48,"2"""
22,T22,T22,Matt Kuchar,91,"10' 7""",3021.917,285,47,"2"""
23,T22,T22,Justin Leonard,75,"10' 7""",1824.3329999999999,172,53,"3"""
24,T22,T22,Heath Slocum,71,"10' 7""",2089.667,198,39,"1"""
25,T26,T26,Scott Brown,100,"10' 6""",2946.75,281,68,"1"""
26,T26,T26,Matt Jones,83,"10' 6""",2033.3329999999999,194,54,"3"""
27,T26,T26,John Senden,99,"10' 6""",2802.917,267,57,"2"""
28,T26,T26,Johnson Wagner,69,"10' 6""",1571.8329999999999,150,51,"3"""
29,T26,T26,Y.E. Yang,79,"10' 6""",1927.75,183,39,"7"""
30,T31,T31,Robert Streb,75,"10' 5""",2330.0,223,43,"3"""
31,T31,T31,David Toms,64,"10' 5""",1854.75,178,47,"5"""
32,T31,T31,Camilo Villegas,95,"10' 5""",3114.25,298,56,"1"""
33,T34,T34,Roberto Castro,76,"10' 4""",1735.8329999999999,168,52,"1"""
34,T34,T34,Ernie Els,85,"10' 4""",2084.167,202,61,"7"""
35,T34,T34,J.J. Henry,91,"10' 4""",2251.167,218,71,"2"""
36,T34,T34,Shawn Stefani,60,"10' 4""",1857.0,180,61,"4"""
37,T38,T38,Charlie Beljan,76,"10' 3""",2312.083,225,56,"1"""
38,T38,T38,Graham DeLaet,80,"10' 3""",2329.917,227,53,"5"""
39,T38,T38,John Huh,87,"10' 3""",2129.5,207,52,"6"""
