,Putting_from_-__10_RANK THIS WEEK,Putting_from_-__10_RANK LAST WEEK,Putting_from_-__10_PLAYER NAME,Putting_from_-__10_ROUNDS,Putting_from_-__10_% MADE,Putting_from_-__10_ATTEMPTS,Putting_from_-__10_PUTTS MADE
0,1,1,Matt Every,85,20.47,679,139
1,2,2,Graeme McDowell,66,19.64,494,97
2,3,3,Aaron Baddeley,74,19.15,611,117
3,4,4,Jordan Spieth,102,18.81,739,139
4,5,5,Paul Casey,56,18.72,438,82
5,6,6,Chris Kirk,105,18.61,865,161
6,7,7,Rory McIlroy,66,18.52,486,90
7,8,8,Sergio Garcia,61,18.51,416,77
8,9,9,Lee Westwood,57,18.46,428,79
9,10,10,Andrew Loupe,65,18.43,521,96
10,11,11,Brendon Todd,108,18.36,937,172
11,12,12,Brandt Snedeker,89,18.2,665,121
12,13,13,Luke Guthrie,85,17.96,763,137
13,14,14,Ryo Ishikawa,75,17.94,613,110
14,15,15,Phil Mickelson,71,17.89,492,88
15,16,16,Sangmoon Bae,76,17.65,663,117
16,17,17,Freddie Jacobson,91,17.63,851,150
17,18,18,Matt Kuchar,91,17.54,821,144
18,19,19,Dustin Johnson,58,17.47,435,76
19,T20,T20,Adam Scott,68,17.41,586,102
20,T20,T20,Webb Simpson,87,17.41,781,136
21,22,22,Ryan Palmer,85,17.39,696,121
22,23,23,Michael Thompson,74,17.36,651,113
23,24,24,Danny Lee,84,17.34,738,128
24,T25,T25,Troy Merritt,62,17.08,609,104
25,T25,T25,Jimmy Walker,98,17.08,767,131
26,27,27,Greg Chalmers,85,17.07,744,127
27,28,28,K.J. Choi,80,17.01,688,117
28,29,29,Chris Stroud,88,17.0,747,127
29,T30,T30,Jason Kokrak,65,16.93,644,109
30,T30,T30,Brian Stuard,91,16.93,762,129
31,32,32,Brian Harman,111,16.91,1023,173
32,33,33,Jason Day,54,16.87,332,56
33,34,34,Kevin Na,94,16.86,795,134
34,35,35,Ben Curtis,77,16.81,696,117
35,T36,T36,David Hearn,97,16.8,869,146
36,T36,T36,Daniel Summerhays,98,16.8,982,165
37,38,38,Graham DeLaet,80,16.74,711,119
38,39,39,Ernie Els,85,16.72,616,103
39,40,40,Ricky Barnes,92,16.71,802,134
40,T41,T41,Matt Jones,83,16.67,606,101
41,T41,T41,Kevin Streelman,79,16.67,618,103
42,T41,T41,Camilo Villegas,95,16.67,882,147
43,44,44,Mike Weir,69,16.6,506,84
44,45,45,Andres Romero,81,16.58,760,126
45,46,46,Keegan Bradley,89,16.57,718,119
46,47,47,John Senden,99,16.56,900,149
47,48,48,Morgan Hoffmann,103,16.42,938,154
48,49,49,Robert Streb,75,16.41,652,107
49,50,50,Ryan Moore,86,16.4,634,104
50,51,51,George McNeill,79,16.37,739,121
51,52,52,Charl Schwartzel,64,16.35,526,86
52,53,53,Brian Davis,93,16.33,796,130
53,54,54,D.H. Lee,54,16.2,463,75
54,55,55,Seung-Yul Noh,92,16.17,773,125
55,56,56,Luke Donald,57,16.14,471,76
56,57,57,Rickie Fowler,91,16.13,626,101
57,58,58,Scott Langley,95,16.08,821,132
58,59,59,Hideki Matsuyama,82,16.03,624,100
59,60,60,Heath Slocum,71,15.97,689,110
60,61,61,Russell Henley,92,15.96,821,131
61,62,62,Chad Collins,78,15.95,627,100
62,T63,T63,Brian Gay,81,15.93,615,98
63,T63,T63,Jerry Kelly,80,15.93,697,111
64,65,65,Wes Roach,67,15.92,515,82
65,66,66,Ben Crane,81,15.87,813,129
66,67,67,Geoff Ogilvy,84,15.85,751,119
67,T68,T68,Justin Rose,70,15.82,512,81
68,T68,T68,David Toms,64,15.82,569,90
69,70,70,Charlie Beljan,76,15.8,715,113
70,71,71,Charley Hoffman,93,15.78,767,121
71,72,72,Jonas Blixt,64,15.74,432,68
72,T73,T73,Will MacKenzie,82,15.72,776,122
73,T73,T73,Pat Perez,84,15.72,776,122
74,75,75,Gonzalo Fernandez-Castaño,83,15.71,662,104
75,76,76,Ben Martin,80,15.7,669,105
76,77,77,Justin Leonard,75,15.69,599,94
77,T78,T78,Martin Kaymer,65,15.63,499,78
78,T78,T78,Rory Sabbatini,82,15.63,691,108
79,80,80,Scott Brown,100,15.59,834,130
80,T81,T81,Robert Garrigus,80,15.55,759,118
81,T81,T81,Hunter Mahan,88,15.55,791,123
82,83,83,Jeff Overton,80,15.46,692,107
83,84,84,Erik Compton,88,15.45,764,118
84,85,85,Stuart Appleby,92,15.39,851,131
85,T86,T86,Zach Johnson,97,15.38,878,135
86,T86,T86,Tim Wilkinson,86,15.38,689,106
87,88,88,William McGirt,96,15.33,874,134
88,89,89,Patrick Reed,92,15.31,784,120
89,90,90,Marc Leishman,81,15.22,703,107
90,91,91,"Ted Potter, Jr.",68,15.17,633,96
91,92,92,Bill Haas,107,15.16,884,134
92,93,93,Stewart Cink,91,15.14,773,117
93,94,94,Bo Van Pelt,83,15.1,715,108
94,95,95,Brendan Steele,89,15.09,742,112
95,96,96,Gary Woodland,93,15.05,764,115
96,97,97,J.B. Holmes,86,15.04,738,111
97,98,98,Kevin Kisner,85,14.99,727,109
98,99,99,Martin Flores,85,14.98,721,108
99,100,100,Bubba Watson,76,14.89,571,85
100,101,101,Tommy Gainey,73,14.86,619,92
101,102,102,Kevin Chappell,100,14.83,890,132
102,103,103,Tim Clark,75,14.79,649,96
103,104,104,Nick Watney,80,14.76,603,89
104,T105,T105,Ken Duke,80,14.74,692,102
105,T105,T105,Brooks Koepka,56,14.74,441,65
106,107,107,Tyrone Van Aswegen,79,14.72,686,101
107,108,108,Ángel Cabrera,69,14.64,649,95
108,109,109,John Merrick,87,14.61,794,116
109,110,110,Davis Love III,74,14.59,658,96
110,111,111,James Driscoll,71,14.58,624,91
111,112,112,Shawn Stefani,60,14.5,607,88
112,113,113,Retief Goosen,94,14.49,821,119
113,114,114,Richard Lee,80,14.47,608,88
114,115,115,Jonathan Byrd,76,14.39,667,96
115,116,116,Brad Fritsch,50,14.36,404,58
116,117,117,Brendon de Jonge,109,14.33,970,139
117,118,118,Henrik Stenson,56,14.32,412,59
118,119,119,Justin Hicks,103,14.29,1050,150
119,T120,T120,Lucas Glover,68,14.26,505,72
120,T120,T120,David Lingmerth,80,14.26,687,98
121,122,122,Charles Howell III,106,14.23,998,142
122,T123,T123,Scott Stallings,77,14.22,668,95
123,T123,T123,Charlie Wi,72,14.22,647,92
124,125,125,Woody Austin,63,14.21,577,82
125,126,126,Bud Cauley,56,14.2,486,69
126,127,127,Chad Campbell,57,14.15,530,75
127,128,128,Ian Poulter,57,14.11,411,58
128,129,129,Jason Dufner,57,14.09,433,61
129,130,130,Y.E. Yang,79,14.08,611,86
130,T131,T131,Steven Bowditch,93,14.05,783,110
131,T131,T131,Harris English,95,14.05,783,110
132,T131,T131,Carl Pettersson,91,14.05,911,128
133,134,134,John Huh,87,13.99,736,103
134,135,135,Jeff Maggert,54,13.98,465,65
135,136,136,Robert Allenby,83,13.97,780,109
136,137,137,Roberto Castro,76,13.94,581,81
137,138,138,Cameron Tringale,111,13.93,1048,146
138,139,139,Jim Furyk,84,13.89,691,96
139,140,140,D.A. Points,75,13.86,577,80
140,141,141,Billy Hurley III,86,13.82,774,107
141,142,142,Andrew Svoboda,77,13.79,725,100
142,143,143,Russell Knox,92,13.72,882,121
143,144,144,John Rollins,84,13.7,737,101
144,145,145,Johnson Wagner,69,13.62,624,85
145,146,146,Jason Bohn,81,13.56,767,104
146,T147,T147,Chesson Hadley,84,13.53,754,102
147,T147,T147,Bryce Molder,77,13.53,658,89
148,149,149,Spencer Levin,59,13.44,521,70
149,150,150,James Hahn,82,13.32,796,106
150,T151,T151,Louis Oosthuizen,50,13.29,316,42
151,T151,T151,Vijay Singh,83,13.29,775,103
152,153,153,Brice Garnett,92,13.28,813,108
153,154,154,Nicholas Thompson,85,13.12,762,100
154,155,155,Mark Wilson,69,12.99,616,80
155,156,156,Trevor Immelman,84,12.93,696,90
156,157,157,Josh Teater,90,12.78,814,104
157,158,158,Billy Horschel,92,12.74,793,101
158,159,159,Kevin Tway,64,12.69,536,68
159,160,160,Briny Baird,50,12.66,482,61
160,161,161,Sean O'Hair,77,12.63,697,88
161,162,162,Derek Ernst,80,12.26,669,82
162,163,163,Bronson La'Cassie,51,12.19,361,44
163,164,164,Willy Wilcox,51,12.15,428,52
164,T165,T165,Jim Herman,62,12.13,511,62
165,T165,T165,Kyle Stanley,87,12.13,775,94
166,167,167,Jamie Lovemark,64,11.92,478,57
167,168,168,Martin Laird,66,11.91,613,73
168,169,169,Michael Putnam,106,11.84,954,113
169,170,170,Kevin Stadler,90,11.62,714,83
170,171,171,Hudson Swafford,75,11.58,682,79
171,172,172,Jim Renner,61,11.54,546,63
172,173,173,Jhonattan Vegas,77,11.42,683,78
173,174,174,J.J. Henry,91,11.28,913,103
174,175,175,Boo Weekley,73,10.74,596,64
175,176,176,John Peterson,62,10.68,571,61
176,177,177,Troy Matteson,62,10.2,510,52
