,Putts_Made_Per_Event_Over_20_RANK THIS WEEK,Putts_Made_Per_Event_Over_20_RANK LAST WEEK,Putts_Made_Per_Event_Over_20_PLAYER NAME,Putts_Made_Per_Event_Over_20_ROUNDS,Putts_Made_Per_Event_Over_20_PUTTS MADE
0,1,1,Graeme McDowell,66,2.5
1,2,2,Adam Scott,68,2.4
2,3,3,Rory McIlroy,66,2.3
3,T4,T4,Graham DeLaet,80,2.2
4,T4,T4,Sergio Garcia,61,2.2
5,T6,T6,Luke Donald,57,2.1
6,T6,T6,Chris Kirk,105,2.1
7,T8,T8,Matt Kuchar,91,2.0
8,T8,T8,Webb Simpson,87,2.0
9,T8,T8,Henrik Stenson,56,2.0
10,T8,T8,Daniel Summerhays,98,2.0
11,12,12,Brendon Todd,108,1.9
12,T13,T13,K.J. Choi,80,1.8
13,T13,T13,Luke Guthrie,85,1.8
14,T13,T13,Freddie Jacobson,91,1.8
15,T13,T13,Zach Johnson,97,1.8
16,T13,T13,Ryan Moore,86,1.8
17,T13,T13,Seung-Yul Noh,92,1.8
18,T13,T13,John Senden,99,1.8
19,T13,T13,Shawn Stefani,60,1.8
20,T21,T21,Ricky Barnes,92,1.7
21,T21,T21,Scott Brown,100,1.7
22,T21,T21,Stewart Cink,91,1.7
23,T21,T21,Matt Jones,83,1.7
24,T21,T21,George McNeill,79,1.7
25,T21,T21,Justin Rose,70,1.7
26,T21,T21,Brendan Steele,89,1.7
27,T21,T21,Robert Streb,75,1.7
28,T21,T21,Michael Thompson,74,1.7
29,T21,T21,Camilo Villegas,95,1.7
30,T21,T21,Jimmy Walker,98,1.7
31,T32,T32,Paul Casey,56,1.6
32,T32,T32,Charles Howell III,106,1.6
33,T32,T32,Dustin Johnson,58,1.6
34,T32,T32,Brooks Koepka,56,1.6
35,T32,T32,Scott Langley,95,1.6
36,T32,T32,Ian Poulter,57,1.6
37,T32,T32,Vijay Singh,83,1.6
38,T32,T32,Kevin Streelman,79,1.6
39,T32,T32,Chris Stroud,88,1.6
40,T41,T41,Sangmoon Bae,76,1.5
41,T41,T41,Chad Campbell,57,1.5
42,T41,T41,Greg Chalmers,85,1.5
43,T41,T41,Ernie Els,85,1.5
44,T41,T41,Jim Furyk,84,1.5
45,T41,T41,Retief Goosen,94,1.5
46,T41,T41,Brian Harman,111,1.5
47,T41,T41,Russell Henley,92,1.5
48,T41,T41,Justin Hicks,103,1.5
49,T41,T41,Billy Horschel,92,1.5
50,T41,T41,Jerry Kelly,80,1.5
51,T41,T41,Hunter Mahan,88,1.5
52,T41,T41,John Merrick,87,1.5
53,T41,T41,Phil Mickelson,71,1.5
54,T41,T41,Kevin Na,94,1.5
55,T41,T41,Ryan Palmer,85,1.5
56,T41,T41,Pat Perez,84,1.5
57,T41,T41,Charl Schwartzel,64,1.5
58,T41,T41,Brandt Snedeker,89,1.5
59,T41,T41,David Toms,64,1.5
60,T41,T41,Lee Westwood,57,1.5
61,T41,T41,Gary Woodland,93,1.5
62,T63,T63,Stuart Appleby,92,1.4
63,T63,T63,Briny Baird,50,1.4
64,T63,T63,Keegan Bradley,89,1.4
65,T63,T63,Ángel Cabrera,69,1.4
66,T63,T63,Ben Curtis,77,1.4
67,T63,T63,Brendon de Jonge,109,1.4
68,T63,T63,Jason Dufner,57,1.4
69,T63,T63,Brian Gay,81,1.4
70,T63,T63,Bill Haas,107,1.4
71,T63,T63,Billy Hurley III,86,1.4
72,T63,T63,Martin Kaymer,65,1.4
73,T63,T63,Danny Lee,84,1.4
74,T63,T63,Marc Leishman,81,1.4
75,T63,T63,Will MacKenzie,82,1.4
76,T63,T63,Geoff Ogilvy,84,1.4
77,T63,T63,Jeff Overton,80,1.4
78,T63,T63,Andres Romero,81,1.4
79,T63,T63,Heath Slocum,71,1.4
80,T63,T63,Jordan Spieth,102,1.4
81,T63,T63,Bo Van Pelt,83,1.4
82,T63,T63,Tim Wilkinson,86,1.4
83,T84,T84,Charlie Beljan,76,1.3
84,T84,T84,Kevin Chappell,100,1.3
85,T84,T84,Erik Compton,88,1.3
86,T84,T84,Brian Davis,93,1.3
87,T84,T84,Matt Every,85,1.3
88,T84,T84,Rickie Fowler,91,1.3
89,T84,T84,David Hearn,97,1.3
90,T84,T84,Charley Hoffman,93,1.3
91,T84,T84,Morgan Hoffmann,103,1.3
92,T84,T84,Kevin Kisner,85,1.3
93,T84,T84,Davis Love III,74,1.3
94,T84,T84,Troy Merritt,62,1.3
95,T84,T84,Patrick Reed,92,1.3
96,T84,T84,Kevin Stadler,90,1.3
97,T84,T84,Andrew Svoboda,77,1.3
98,T84,T84,Nick Watney,80,1.3
99,T84,T84,Y.E. Yang,79,1.3
100,T101,T101,Aaron Baddeley,74,1.2
101,T101,T101,Tim Clark,75,1.2
102,T101,T101,Ben Crane,81,1.2
103,T101,T101,Gonzalo Fernandez-Castaño,83,1.2
104,T101,T101,Robert Garrigus,80,1.2
105,T101,T101,J.B. Holmes,86,1.2
106,T101,T101,John Huh,87,1.2
107,T101,T101,Trevor Immelman,84,1.2
108,T101,T101,Jason Kokrak,65,1.2
109,T101,T101,Justin Leonard,75,1.2
110,T101,T101,Hideki Matsuyama,82,1.2
111,T101,T101,William McGirt,96,1.2
112,T101,T101,Louis Oosthuizen,50,1.2
113,T101,T101,D.A. Points,75,1.2
114,T101,T101,Rory Sabbatini,82,1.2
115,T101,T101,Charlie Wi,72,1.2
116,T117,T117,Woody Austin,63,1.1
117,T117,T117,Jonas Blixt,64,1.1
118,T117,T117,Steven Bowditch,93,1.1
119,T117,T117,Bud Cauley,56,1.1
120,T117,T117,Ken Duke,80,1.1
121,T117,T117,Harris English,95,1.1
122,T117,T117,Martin Flores,85,1.1
123,T117,T117,Lucas Glover,68,1.1
124,T117,T117,Chesson Hadley,84,1.1
125,T117,T117,James Hahn,82,1.1
126,T117,T117,J.J. Henry,91,1.1
127,T117,T117,Jim Herman,62,1.1
128,T117,T117,Andrew Loupe,65,1.1
129,T117,T117,Bryce Molder,77,1.1
130,T117,T117,Carl Pettersson,91,1.1
131,T117,T117,Wes Roach,67,1.1
132,T117,T117,Brian Stuard,91,1.1
133,T117,T117,Kevin Tway,64,1.1
134,T117,T117,Johnson Wagner,69,1.1
135,T117,T117,Bubba Watson,76,1.1
136,T137,T137,Jason Bohn,81,1.0
137,T137,T137,Roberto Castro,76,1.0
138,T137,T137,Chad Collins,78,1.0
139,T137,T137,Ryo Ishikawa,75,1.0
140,T137,T137,Russell Knox,92,1.0
141,T137,T137,Martin Laird,66,1.0
142,T137,T137,"Ted Potter, Jr.",68,1.0
143,T137,T137,Jim Renner,61,1.0
144,T137,T137,John Rollins,84,1.0
145,T137,T137,Hudson Swafford,75,1.0
146,T137,T137,Josh Teater,90,1.0
147,T137,T137,Cameron Tringale,111,1.0
148,T137,T137,Jhonattan Vegas,77,1.0
149,T137,T137,Mark Wilson,69,1.0
150,T151,T151,Robert Allenby,83,0.9
151,T151,T151,James Driscoll,71,0.9
152,T151,T151,Brad Fritsch,50,0.9
153,T151,T151,Bronson La'Cassie,51,0.9
154,T151,T151,D.H. Lee,54,0.9
155,T151,T151,Spencer Levin,59,0.9
156,T151,T151,David Lingmerth,80,0.9
157,T151,T151,Ben Martin,80,0.9
158,T151,T151,Troy Matteson,62,0.9
159,T151,T151,Sean O'Hair,77,0.9
160,T151,T151,Michael Putnam,106,0.9
161,T151,T151,Boo Weekley,73,0.9
162,T151,T151,Willy Wilcox,51,0.9
163,T164,T164,Derek Ernst,80,0.8
164,T164,T164,Tommy Gainey,73,0.8
165,T164,T164,Brice Garnett,92,0.8
166,T164,T164,Richard Lee,80,0.8
167,T164,T164,Jamie Lovemark,64,0.8
168,T164,T164,Jeff Maggert,54,0.8
169,T164,T164,Kyle Stanley,87,0.8
170,T164,T164,Nicholas Thompson,85,0.8
171,T164,T164,Tyrone Van Aswegen,79,0.8
172,T173,T173,Scott Stallings,77,0.7
173,T173,T173,Mike Weir,69,0.7
174,T175,T175,Jonathan Byrd,76,0.6
175,T175,T175,Jason Day,54,0.6
176,177,177,John Peterson,62,0.4
