,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Jordan Spieth,47.22,221,468
1,2,2,Justin Leonard,46.46,184,396
2,3,3,Ian Poulter,45.83,132,288
3,4,4,Aaron Baddeley,45.65,189,414
4,5,5,Matt Every,45.33,204,450
5,6,6,Bronson La'Cassie,45.1,138,306
6,7,7,Mike Weir,44.93,186,414
7,8,8,J.B. Holmes,44.91,194,432
8,9,9,Adam Scott,44.77,137,306
9,10,10,Tim Wilkinson,44.68,193,432
10,11,11,Brad Fritsch,44.44,128,288
11,12,12,Camilo Villegas,44.25,223,504
12,13,13,Brandt Snedeker,43.98,190,432
13,14,14,Erik Compton,43.83,213,486
14,15,15,Brendon Todd,43.68,228,522
15,16,16,Greg Chalmers,43.56,196,450
16,17,17,Scott Brown,43.52,235,540
17,18,18,Chris Kirk,43.42,211,486
18,19,19,Rory McIlroy,43.4,125,288
19,T20,T20,Hideki Matsuyama,43.39,164,378
20,T20,T20,Phil Mickelson,43.39,164,378
21,22,22,Dustin Johnson,43.33,117,270
22,23,23,Jason Day,43.16,101,234
23,24,24,Rickie Fowler,43.11,194,450
24,25,25,Gonzalo Fernandez-Castaño,43.06,186,432
25,26,26,Stuart Appleby,42.95,201,468
26,27,27,Brian Davis,42.86,216,504
27,28,28,Luke Guthrie,42.74,200,468
28,29,29,Andres Romero,42.59,184,432
29,30,30,Michael Thompson,42.42,168,396
30,31,31,Matt Kuchar,42.27,175,414
31,32,32,Bubba Watson,42.11,144,342
32,T33,T33,Bryce Molder,42.03,174,414
33,T33,T33,Ryan Palmer,42.03,174,414
34,35,35,Paul Casey,42.01,121,288
35,36,36,Richard Lee,42.0,189,450
36,37,37,Tim Clark,41.9,181,432
37,38,38,Charl Schwartzel,41.83,128,306
38,T39,T39,Ben Crane,41.67,180,432
39,T39,T39,Luke Donald,41.67,120,288
40,41,41,Chris Stroud,41.56,187,450
41,42,42,Tommy Gainey,41.55,172,414
42,43,43,Sergio Garcia,41.48,112,270
43,44,44,Scott Langley,41.47,209,504
44,45,45,Freddie Jacobson,41.45,194,468
45,46,46,Webb Simpson,41.44,179,432
46,47,47,Geoff Ogilvy,41.33,186,450
47,48,48,Jim Herman,41.23,141,342
48,49,49,Brendon de Jonge,41.22,230,558
49,50,50,Brian Gay,41.2,178,432
50,51,51,Chad Collins,41.15,200,486
51,T52,T52,Ricky Barnes,41.11,185,450
52,T52,T52,Robert Streb,41.11,148,360
53,54,54,Martin Kaymer,41.05,133,324
54,55,55,Brooks Koepka,40.97,118,288
55,56,56,Marc Leishman,40.82,169,414
56,57,57,Kevin Chappell,40.74,198,486
57,58,58,Jeff Overton,40.66,161,396
58,59,59,Graeme McDowell,40.63,117,288
59,60,60,Martin Flores,40.6,190,468
60,61,61,Woody Austin,40.48,153,378
61,62,62,Brian Harman,40.45,233,576
62,63,63,Keegan Bradley,40.44,182,450
63,64,64,Patrick Reed,40.38,189,468
64,65,65,Ben Curtis,40.34,167,414
65,66,66,Y.E. Yang,40.33,196,486
66,67,67,Steven Bowditch,40.23,210,522
67,68,68,Wes Roach,40.21,152,378
68,69,69,Ernie Els,40.1,166,414
69,T70,T70,Russell Henley,40.04,209,522
70,T70,T70,William McGirt,40.04,209,522
71,72,72,Zach Johnson,40.0,180,450
72,73,73,Tyrone Van Aswegen,39.81,172,432
73,T74,T74,Jim Furyk,39.72,143,360
74,T74,T74,Troy Merritt,39.72,143,360
75,T76,T76,Louis Oosthuizen,39.68,100,252
76,T76,T76,Brian Stuard,39.68,200,504
77,78,78,David Lingmerth,39.56,178,450
78,79,79,Ben Martin,39.53,185,468
79,80,80,Will MacKenzie,39.51,192,486
80,T81,T81,Jeff Maggert,39.47,135,342
81,T81,T81,David Toms,39.47,135,342
82,83,83,Chesson Hadley,39.46,206,522
83,84,84,James Driscoll,39.35,170,432
84,85,85,Brendan Steele,39.33,177,450
85,86,86,Jimmy Walker,39.32,184,468
86,87,87,Kevin Na,39.3,191,486
87,88,88,Lee Westwood,39.22,120,306
88,89,89,Andrew Loupe,39.15,148,378
89,90,90,Jerry Kelly,39.14,155,396
90,91,91,K.J. Choi,39.13,162,414
91,92,92,Robert Garrigus,39.12,169,432
92,93,93,Kevin Kisner,39.1,183,468
93,94,94,Cameron Tringale,39.07,218,558
94,T95,T95,Sangmoon Bae,38.89,168,432
95,T95,T95,Briny Baird,38.89,112,288
96,T95,T95,Charley Hoffman,38.89,175,450
97,T95,T95,George McNeill,38.89,161,414
98,T95,T95,Sean O'Hair,38.89,175,450
99,T95,T95,Shawn Stefani,38.89,119,306
100,T95,T95,Charlie Wi,38.89,168,432
101,T102,T102,Roberto Castro,38.68,181,468
102,T102,T102,Trevor Immelman,38.68,188,486
103,T102,T102,John Senden,38.68,188,486
104,105,105,Ken Duke,38.66,167,432
105,106,106,Johnson Wagner,38.65,160,414
106,107,107,Heath Slocum,38.64,153,396
107,108,108,Spencer Levin,38.61,139,360
108,T109,T109,Jason Kokrak,38.6,132,342
109,T109,T109,Jamie Lovemark,38.6,132,342
110,111,111,Morgan Hoffmann,38.53,215,558
111,112,112,Jason Dufner,38.52,104,270
112,T113,T113,Harris English,38.48,187,486
113,T113,T113,Danny Lee,38.48,187,486
114,115,115,Bill Haas,38.46,180,468
115,116,116,Mark Wilson,38.43,166,432
116,T117,T117,Jonathan Byrd,38.41,159,414
117,T117,T117,Kevin Streelman,38.41,159,414
118,119,119,Jonas Blixt,38.33,138,360
119,120,120,Justin Rose,38.27,124,324
120,121,121,Pat Perez,38.19,165,432
121,122,122,Charles Howell III,38.12,199,522
122,123,123,John Huh,38.07,185,486
123,T124,T124,Billy Horschel,38.03,178,468
124,T124,T124,Seung-Yul Noh,38.03,178,468
125,T126,T126,Bud Cauley,37.96,123,324
126,T126,T126,Hunter Mahan,37.96,164,432
127,128,128,Scott Stallings,37.86,184,486
128,T129,T129,Matt Jones,37.78,170,450
129,T129,T129,Willy Wilcox,37.78,102,270
130,131,131,Ryan Moore,37.44,155,414
131,132,132,Russell Knox,37.39,175,468
132,133,133,Retief Goosen,37.33,168,450
133,134,134,D.H. Lee,37.25,114,306
134,135,135,Daniel Summerhays,37.24,181,486
135,T136,T136,James Hahn,37.18,174,468
136,T136,T136,Billy Hurley III,37.18,174,468
137,T138,T138,Davis Love III,37.04,140,378
138,T138,T138,"Ted Potter, Jr.",37.04,160,432
139,140,140,Troy Matteson,36.87,146,396
140,141,141,Ryo Ishikawa,36.81,159,432
141,142,142,Graham DeLaet,36.71,152,414
142,143,143,Stewart Cink,36.67,165,450
143,144,144,Brice Garnett,36.63,178,486
144,145,145,Jhonattan Vegas,36.62,145,396
145,T146,T146,Charlie Beljan,36.57,158,432
146,T146,T146,Gary Woodland,36.57,158,432
147,148,148,Nick Watney,36.47,151,414
148,149,149,Jason Bohn,36.44,164,450
149,150,150,Nicholas Thompson,36.4,190,522
150,151,151,Robert Allenby,36.11,182,504
151,152,152,Josh Teater,36.01,175,486
152,153,153,David Hearn,35.91,181,504
153,154,154,Bo Van Pelt,35.78,161,450
154,155,155,John Peterson,35.75,148,414
155,156,156,Carl Pettersson,35.71,180,504
156,T157,T157,D.A. Points,35.65,154,432
157,T157,T157,Rory Sabbatini,35.65,154,432
158,159,159,Chad Campbell,35.62,109,306
159,160,160,Kevin Tway,35.61,141,396
160,161,161,Vijay Singh,35.56,160,450
161,162,162,Martin Laird,35.38,121,342
162,163,163,Justin Hicks,35.06,183,522
163,164,164,Derek Ernst,34.77,169,486
164,165,165,Ángel Cabrera,34.6,137,396
165,166,166,Kevin Stadler,34.49,149,432
166,167,167,Michael Putnam,34.48,180,522
167,168,168,Lucas Glover,34.44,155,450
168,169,169,J.J. Henry,34.19,160,468
169,170,170,John Rollins,33.33,162,486
170,171,171,Kyle Stanley,33.13,161,486
171,172,172,Jim Renner,32.85,136,414
172,173,173,Andrew Svoboda,32.64,141,432
173,174,174,Hudson Swafford,31.78,143,450
174,175,175,John Merrick,31.64,131,414
175,176,176,Boo Weekley,31.48,119,378
176,177,177,Henrik Stenson,30.56,77,252
