,Putting_from_4_RANK THIS WEEK,Putting_from_4_RANK LAST WEEK,Putting_from_4_PLAYER NAME,Putting_from_4_ROUNDS,Putting_from_4_% MADE,Putting_from_4_ATTEMPTS,Putting_from_4_PUTTS MADE
0,1,1,John Senden,99,98.2,167,164
1,2,2,Jason Day,54,98.15,54,53
2,3,3,Greg Chalmers,85,98.06,155,152
3,4,4,David Lingmerth,80,97.95,146,143
4,5,5,Justin Leonard,75,97.78,135,132
5,6,6,Jonas Blixt,64,97.65,85,83
6,7,7,Harris English,95,97.32,149,145
7,8,8,Gary Woodland,93,96.45,169,163
8,T9,T9,Freddie Jacobson,91,96.43,168,162
9,T9,T9,Willy Wilcox,51,96.43,84,81
10,11,11,Kevin Kisner,85,96.35,137,132
11,12,12,Graeme McDowell,66,96.3,108,104
12,13,13,Richard Lee,80,96.27,134,129
13,14,14,Tim Clark,75,96.06,127,122
14,15,15,Scott Brown,100,96.05,177,170
15,16,16,Keegan Bradley,89,96.03,126,121
16,17,17,Rickie Fowler,91,95.93,123,118
17,18,18,Andres Romero,81,95.9,195,187
18,19,19,Martin Laird,66,95.87,121,116
19,20,20,Y.E. Yang,79,95.76,118,113
20,21,21,Bo Van Pelt,83,95.62,137,131
21,22,22,"Ted Potter, Jr.",68,95.6,159,152
22,23,23,Stuart Appleby,92,95.39,152,145
23,24,24,Jim Furyk,84,95.21,146,139
24,25,25,Kevin Na,94,95.07,142,135
25,26,26,Ben Martin,80,95.04,121,115
26,27,27,Jimmy Walker,98,95.03,161,153
27,28,28,Billy Hurley III,86,94.97,159,151
28,29,29,David Hearn,97,94.92,177,168
29,30,30,Brian Gay,81,94.89,137,130
30,31,31,Brian Harman,111,94.85,194,184
31,32,32,Tommy Gainey,73,94.7,132,125
32,33,33,Phil Mickelson,71,94.49,127,120
33,34,34,Aaron Baddeley,74,94.39,107,101
34,35,35,George McNeill,79,94.33,141,133
35,T36,T36,Russell Henley,92,94.12,153,144
36,T36,T36,Ian Poulter,57,94.12,102,96
37,38,38,Sean O'Hair,77,94.04,151,142
38,39,39,Ryan Palmer,85,94.03,134,126
39,T40,T40,Bud Cauley,56,94.0,100,94
40,T40,T40,Troy Merritt,62,94.0,150,141
41,T40,T40,Brandt Snedeker,89,94.0,150,141
42,43,43,Woody Austin,63,93.98,133,125
