,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Jason Day,54,98.92,464,459
1,2,2,Kevin Kisner,85,98.07,986,967
2,3,3,Richard Lee,80,98.0,851,834
3,T4,T4,Zach Johnson,97,97.93,1209,1184
4,T4,T4,Justin Leonard,75,97.93,871,853
5,6,6,J.J. Henry,91,97.92,1155,1131
6,T7,T7,Luke Donald,57,97.9,618,605
7,T7,T7,David Lingmerth,80,97.9,954,934
8,9,9,Jim Furyk,84,97.89,948,928
9,T10,T10,John Senden,99,97.8,1135,1110
10,T10,T10,Gary Woodland,93,97.8,1044,1021
11,12,12,Graeme McDowell,66,97.77,627,613
12,13,13,Freddie Jacobson,91,97.76,1117,1092
13,14,14,Greg Chalmers,85,97.7,999,976
14,15,15,Jason Bohn,81,97.69,1037,1013
15,16,16,David Hearn,97,97.6,1126,1099
16,17,17,Willy Wilcox,51,97.54,568,554
17,18,18,Jimmy Walker,98,97.53,1011,986
18,19,19,Patrick Reed,92,97.51,1045,1019
19,20,20,Bronson La'Cassie,51,97.5,519,506
20,21,21,Hunter Mahan,88,97.49,1037,1011
21,22,22,Brooks Koepka,56,97.48,595,580
22,23,23,Sean O'Hair,77,97.47,950,926
23,24,24,Kevin Na,94,97.4,1075,1047
24,25,25,Ben Martin,80,97.39,880,857
25,26,26,Mike Weir,69,97.37,760,740
26,27,27,Sergio Garcia,61,97.34,564,549
27,28,28,Morgan Hoffmann,103,97.33,1238,1205
28,T29,T29,Brian Harman,111,97.32,1416,1378
29,T29,T29,Troy Matteson,62,97.32,708,689
30,T29,T29,William McGirt,96,97.32,1193,1161
31,T32,T32,Russell Henley,92,97.29,1034,1006
32,T32,T32,Bryce Molder,77,97.29,924,899
33,T34,T34,Johnson Wagner,69,97.28,845,822
34,T34,T34,Bubba Watson,76,97.28,808,786
35,36,36,Keegan Bradley,89,97.26,949,923
36,37,37,Harris English,95,97.24,1051,1022
37,38,38,Retief Goosen,94,97.22,1114,1083
38,T39,T39,Tommy Gainey,73,97.2,856,832
39,T39,T39,Tyrone Van Aswegen,79,97.2,929,903
40,41,41,Chad Collins,78,97.19,853,829
41,42,42,Josh Teater,90,97.18,1100,1069
42,T43,T43,James Hahn,82,97.15,1086,1055
43,T43,T43,Jeff Overton,80,97.15,911,885
44,45,45,Danny Lee,84,97.13,940,913
45,T46,T46,Billy Horschel,92,97.1,964,936
46,T46,T46,Troy Merritt,62,97.1,794,771
47,48,48,Brice Garnett,92,97.09,1098,1066
48,49,49,Jonas Blixt,64,97.08,617,599
49,50,50,Marc Leishman,81,97.07,991,962
50,51,51,Chris Stroud,88,97.04,1015,985
51,T52,T52,Ryan Palmer,85,97.0,934,906
52,T52,T52,Andrew Svoboda,77,97.0,934,906
53,T54,T54,Ben Crane,81,96.99,1097,1064
54,T54,T54,Ben Curtis,77,96.99,897,870
55,T56,T56,Jim Herman,62,96.98,696,675
56,T56,T56,Spencer Levin,59,96.98,728,706
57,T56,T56,Y.E. Yang,79,96.98,894,867
58,59,59,Brendon Todd,108,96.96,1252,1214
59,T60,T60,Erik Compton,88,96.93,1044,1012
60,T60,T60,Cameron Tringale,111,96.93,1400,1357
61,62,62,Brandt Snedeker,89,96.89,932,903
62,T63,T63,Stuart Appleby,92,96.87,1150,1114
63,T63,T63,Scott Langley,95,96.87,1149,1113
64,T65,T65,Tim Clark,75,96.84,885,857
65,T65,T65,Daniel Summerhays,98,96.84,1265,1225
66,67,67,Adam Scott,68,96.81,784,759
67,68,68,Billy Hurley III,86,96.8,1031,998
68,69,69,Scott Brown,100,96.75,1168,1130
69,70,70,Chris Kirk,105,96.73,1192,1153
70,T71,T71,George McNeill,79,96.72,976,944
71,T71,T71,Bo Van Pelt,83,96.72,944,913
72,T73,T73,Rickie Fowler,91,96.69,876,847
73,T73,T73,Brian Gay,81,96.69,906,876
74,T73,T73,Carl Pettersson,91,96.69,1240,1199
75,T76,T76,Justin Hicks,103,96.67,1291,1248
76,T76,T76,Andrew Loupe,65,96.67,690,667
77,78,78,Jerry Kelly,80,96.66,928,897
78,T79,T79,Bill Haas,107,96.65,1195,1155
79,T79,T79,Martin Laird,66,96.65,805,778
80,T81,T81,Jason Kokrak,65,96.64,862,833
81,T81,T81,Brian Stuard,91,96.64,1043,1008
82,T83,T83,Brendon de Jonge,109,96.62,1333,1288
83,T83,T83,Derek Ernst,80,96.62,918,887
84,T85,T85,Aaron Baddeley,74,96.59,821,793
85,T85,T85,Matt Every,85,96.59,880,850
86,87,87,K.J. Choi,80,96.57,962,929
87,88,88,Briny Baird,50,96.56,669,646
88,T89,T89,Woody Austin,63,96.54,810,782
89,T89,T89,Ángel Cabrera,69,96.54,866,836
90,T89,T89,Charley Hoffman,93,96.54,1069,1032
91,T89,T89,Webb Simpson,87,96.54,1041,1005
92,T89,T89,Brendan Steele,89,96.54,1013,978
93,94,94,Tim Wilkinson,86,96.51,1002,967
94,95,95,Mark Wilson,69,96.5,856,826
95,96,96,Brad Fritsch,50,96.49,569,549
96,T97,T97,Will MacKenzie,82,96.48,1051,1014
97,T97,T97,Scott Stallings,77,96.48,910,878
