,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Jordan Spieth,102,45.86,809,1764
1,2,2,Justin Leonard,75,44.22,597,1350
2,3,3,Aaron Baddeley,74,44.14,572,1296
3,4,4,Brian Gay,81,44.09,627,1422
4,5,5,Ian Poulter,57,43.06,434,1008
5,6,6,Greg Chalmers,85,43.0,627,1458
6,7,7,Mike Weir,69,42.99,503,1170
7,8,8,J.B. Holmes,86,42.96,665,1548
8,9,9,Richard Lee,80,42.74,600,1404
9,10,10,Phil Mickelson,71,42.64,545,1278
10,11,11,Luke Guthrie,85,42.35,648,1530
11,12,12,Rickie Fowler,91,42.22,646,1530
12,13,13,Charl Schwartzel,64,42.2,471,1116
13,14,14,Brendon Todd,108,42.08,818,1944
14,15,15,Chris Kirk,105,42.04,787,1872
15,16,16,Luke Donald,57,41.87,422,1008
16,17,17,Chris Stroud,88,41.79,662,1584
17,18,18,Freddie Jacobson,91,41.76,684,1638
18,19,19,Rory McIlroy,66,41.75,481,1152
19,20,20,Morgan Hoffmann,103,41.69,743,1782
20,21,21,Tim Wilkinson,86,41.67,615,1476
21,22,22,Wes Roach,67,41.62,472,1134
22,23,23,Stuart Appleby,92,41.6,674,1620
23,24,24,Kevin Na,94,41.55,703,1692
24,25,25,Gonzalo Fernandez-Castaño,83,41.53,613,1476
25,26,26,Ernie Els,85,41.42,589,1422
26,27,27,Andres Romero,81,41.41,574,1386
27,28,28,Chad Collins,78,41.37,551,1332
28,29,29,Matt Every,85,41.31,632,1530
29,30,30,Lee Westwood,57,41.27,416,1008
30,31,31,Brandt Snedeker,89,41.25,646,1566
31,32,32,Brian Davis,93,41.22,690,1674
32,33,33,Jerry Kelly,80,41.18,593,1440
33,T34,T34,Tim Clark,75,41.11,555,1350
34,T34,T34,Ryan Palmer,85,41.11,629,1530
35,36,36,Ricky Barnes,92,40.97,649,1584
36,37,37,Brian Stuard,91,40.87,640,1566
37,T38,T38,Sangmoon Bae,76,40.86,559,1368
38,T38,T38,Graeme McDowell,66,40.86,456,1116
39,40,40,Andrew Loupe,65,40.8,448,1098
40,41,41,Erik Compton,88,40.66,644,1584
41,T42,T42,K.J. Choi,80,40.63,585,1440
42,T42,T42,Charlie Wi,72,40.63,512,1260
43,44,44,Sergio Garcia,61,40.61,424,1044
44,T45,T45,Scott Langley,95,40.56,679,1674
45,T45,T45,Patrick Reed,92,40.56,657,1620
46,T47,T47,Jason Day,54,40.51,350,864
47,T47,T47,Jimmy Walker,98,40.51,700,1728
48,49,49,Scott Brown,100,40.5,729,1800
49,50,50,Hideki Matsuyama,82,40.49,583,1440
50,51,51,Dustin Johnson,58,40.45,415,1026
51,T52,T52,Steven Bowditch,93,40.44,677,1674
52,T52,T52,Charley Hoffman,93,40.44,677,1674
53,T52,T52,Adam Scott,68,40.44,495,1224
54,T55,T55,Bryce Molder,77,40.41,531,1314
55,T55,T55,Pat Perez,84,40.41,611,1512
56,57,57,William McGirt,96,40.28,696,1728
57,58,58,Michael Thompson,74,40.24,536,1332
58,59,59,Webb Simpson,87,40.21,608,1512
59,60,60,Brooks Koepka,56,40.18,405,1008
60,61,61,Jonas Blixt,64,40.14,448,1116
61,62,62,Ryo Ishikawa,75,40.07,541,1350
62,T63,T63,James Driscoll,71,40.06,512,1278
63,T63,T63,Robert Streb,75,40.06,512,1278
64,65,65,Ben Crane,81,39.99,583,1458
65,T66,T66,Matt Kuchar,91,39.96,633,1584
66,T66,T66,Kevin Streelman,79,39.96,561,1404
67,68,68,Brad Fritsch,50,39.93,345,864
68,69,69,Jeff Overton,80,39.91,546,1368
69,70,70,Brian Harman,111,39.89,797,1998
70,71,71,Bronson La'Cassie,51,39.72,336,846
71,72,72,Camilo Villegas,95,39.65,678,1710
72,73,73,Zach Johnson,97,39.58,684,1728
73,74,74,Chesson Hadley,84,39.55,598,1512
74,75,75,Brendan Steele,89,39.54,605,1530
75,76,76,Matt Jones,83,39.49,590,1494
76,T77,T77,Justin Rose,70,39.46,483,1224
77,T77,T77,Y.E. Yang,79,39.46,554,1404
78,79,79,George McNeill,79,39.45,561,1422
79,80,80,Seung-Yul Noh,92,39.43,653,1656
80,81,81,Jason Kokrak,65,39.4,461,1170
81,T82,T82,Keegan Bradley,89,39.39,624,1584
82,T82,T82,Sean O'Hair,77,39.39,546,1386
83,T82,T82,Tyrone Van Aswegen,79,39.39,553,1404
84,T85,T85,Tommy Gainey,73,39.37,489,1242
85,T85,T85,Russell Henley,92,39.37,652,1656
86,87,87,Woody Austin,63,39.36,418,1062
87,88,88,Retief Goosen,94,39.26,636,1620
88,89,89,Martin Kaymer,65,39.24,452,1152
89,90,90,Paul Casey,56,39.19,395,1008
90,91,91,David Lingmerth,80,39.18,536,1368
91,92,92,Robert Garrigus,80,39.17,564,1440
92,93,93,Brice Garnett,92,39.14,620,1584
93,94,94,D.H. Lee,54,39.11,352,900
94,T95,T95,Jim Furyk,84,39.1,563,1440
95,T95,T95,Danny Lee,84,39.1,563,1440
96,T95,T95,Geoff Ogilvy,84,39.1,563,1440
97,98,98,Ben Curtis,77,39.04,513,1314
98,99,99,Rory Sabbatini,82,39.03,548,1404
99,100,100,Ben Martin,80,38.96,561,1440
100,T101,T101,Marc Leishman,81,38.89,560,1440
101,T101,T101,Troy Merritt,62,38.89,434,1116
102,103,103,Will MacKenzie,82,38.82,573,1476
103,104,104,Bubba Watson,76,38.81,510,1314
104,105,105,David Hearn,97,38.77,677,1746
105,106,106,Kevin Kisner,85,38.76,593,1530
106,107,107,Kevin Chappell,100,38.72,669,1728
107,108,108,Shawn Stefani,60,38.7,418,1080
108,109,109,Ryan Moore,86,38.62,584,1512
109,110,110,Brendon de Jonge,109,38.48,755,1962
110,111,111,Gary Woodland,93,38.35,635,1656
111,112,112,Jason Bohn,81,38.34,559,1458
112,113,113,Jonathan Byrd,76,38.27,496,1296
113,114,114,David Toms,64,38.26,427,1116
114,115,115,Bill Haas,107,38.15,721,1890
115,116,116,Roberto Castro,76,38.06,507,1332
116,117,117,Billy Hurley III,86,38.05,589,1548
117,T118,T118,Hunter Mahan,88,38.04,582,1530
118,T118,T118,Daniel Summerhays,98,38.04,671,1764
119,120,120,John Huh,87,38.02,568,1494
120,121,121,Russell Knox,92,37.98,629,1656
121,122,122,"Ted Potter, Jr.",68,37.91,464,1224
122,T123,T123,Charles Howell III,106,37.89,723,1908
123,T123,T123,Cameron Tringale,111,37.89,757,1998
124,125,125,Spencer Levin,59,37.85,402,1062
125,126,126,Martin Flores,85,37.84,579,1530
126,127,127,John Senden,99,37.82,674,1782
127,128,128,Harris English,95,37.8,626,1656
128,129,129,Jamie Lovemark,64,37.78,408,1080
129,130,130,Ángel Cabrera,69,37.68,468,1242
130,T131,T131,Briny Baird,50,37.56,338,900
131,T131,T131,Nick Watney,80,37.56,507,1350
132,133,133,Davis Love III,74,37.5,486,1296
133,134,134,Vijay Singh,83,37.48,560,1494
134,135,135,Stewart Cink,91,37.42,613,1638
135,136,136,Heath Slocum,71,37.36,464,1242
136,137,137,Carl Pettersson,91,37.24,610,1638
137,138,138,Troy Matteson,62,37.16,388,1044
138,139,139,Louis Oosthuizen,50,37.08,307,828
139,140,140,Ken Duke,80,37.04,520,1404
140,141,141,Johnson Wagner,69,37.01,433,1170
141,142,142,Scott Stallings,77,36.99,506,1368
142,143,143,Michael Putnam,106,36.98,679,1836
143,144,144,Jeff Maggert,54,36.93,359,972
144,T145,T145,Robert Allenby,83,36.83,537,1458
145,T145,T145,D.A. Points,75,36.83,484,1314
146,147,147,Charlie Beljan,76,36.81,477,1296
147,148,148,Bud Cauley,56,36.71,370,1008
148,149,149,Bo Van Pelt,83,36.61,547,1494
149,150,150,Graham DeLaet,80,36.57,520,1422
150,151,151,Josh Teater,90,36.43,577,1584
151,152,152,James Hahn,82,36.39,524,1440
152,153,153,Mark Wilson,69,36.24,424,1170
153,154,154,Jason Dufner,57,36.21,352,972
154,155,155,Derek Ernst,80,35.89,491,1368
155,156,156,Trevor Immelman,84,35.76,515,1440
156,157,157,Andrew Svoboda,77,35.71,495,1386
157,158,158,Henrik Stenson,56,35.7,347,972
158,159,159,Jim Renner,61,35.69,379,1062
159,160,160,Jhonattan Vegas,77,35.56,480,1350
160,161,161,John Peterson,62,35.46,383,1080
161,162,162,Jim Herman,62,35.44,370,1044
162,163,163,Willy Wilcox,51,35.37,312,882
163,164,164,Billy Horschel,92,35.25,571,1620
164,165,165,Kevin Stadler,90,35.08,562,1602
165,166,166,Nicholas Thompson,85,34.84,508,1458
166,167,167,Martin Laird,66,34.77,388,1116
167,168,168,Kevin Tway,64,34.72,375,1080
168,169,169,Justin Hicks,103,34.68,618,1782
169,170,170,John Merrick,87,34.34,513,1494
170,171,171,Kyle Stanley,87,34.27,512,1494
171,172,172,John Rollins,84,34.1,491,1440
172,173,173,Hudson Swafford,75,33.72,431,1278
173,174,174,Chad Campbell,57,33.54,320,954
174,175,175,Lucas Glover,68,33.5,398,1188
175,176,176,J.J. Henry,91,33.01,517,1566
176,177,177,Boo Weekley,73,32.1,416,1296
