,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Graeme McDowell,66,"74' 9""",74.75,1,75,75
1,2,2,Jim Furyk,84,"53' 2""",53.167,1,53,53
2,3,3,Josh Teater,90,"40' 1""",80.167,2,45,35
3,4,4,Tim Clark,75,"37' 2""",37.167,1,37,37
4,5,5,Tim Wilkinson,86,"36' 0""",72.0,2,57,15
5,6,6,Jonathan Byrd,76,"35' 7""",35.583,1,36,36
6,7,7,David Toms,64,"35' 5""",70.75,2,64,7
7,8,8,Bronson La'Cassie,51,"32' 10""",65.583,2,50,16
8,9,9,Brad Fritsch,50,"31' 2""",31.166999999999998,1,31,31
9,10,10,Ángel Cabrera,69,"30' 3""",60.417,2,44,16
10,11,11,Nicholas Thompson,85,"29' 5""",176.25,6,51,4
11,12,12,Retief Goosen,94,"29' 2""",29.166999999999998,1,29,29
12,13,13,J.B. Holmes,86,"28' 10""",57.667,2,49,9
13,14,14,D.H. Lee,54,"27' 10""",27.833000000000002,1,28,28
14,15,15,Graham DeLaet,80,"26' 10""",107.333,4,51,6
15,16,16,Bryce Molder,77,"26' 9""",53.5,2,30,23
16,17,17,Kyle Stanley,87,"25' 7""",51.083,2,33,18
17,18,18,Charlie Wi,72,"25' 2""",75.417,3,33,16
18,19,19,Luke Guthrie,85,"25' 1""",75.167,3,41,9
19,20,20,Patrick Reed,92,"24' 9""",173.083,7,63,6
20,21,21,Ricky Barnes,92,"24' 6""",122.333,5,66,3
21,22,22,Andres Romero,81,"24' 2""",193.583,8,42,8
22,23,23,Chesson Hadley,84,"24' 1""",24.083000000000002,1,24,24
23,24,24,Danny Lee,84,"23' 11""",47.833,2,40,7
24,25,25,Paul Casey,56,"23' 9""",94.917,4,36,9
25,26,26,Carl Pettersson,91,"23' 8""",141.833,6,35,11
26,T27,T27,Luke Donald,57,"23' 3""",23.25,1,23,23
27,T27,T27,"Ted Potter, Jr.",68,"23' 3""",23.25,1,23,23
28,T27,T27,Daniel Summerhays,98,"23' 3""",162.667,7,68,2
29,30,30,Jhonattan Vegas,77,"22' 6""",67.417,3,45,6
30,31,31,Brian Harman,111,"22' 5""",201.417,9,51,4
31,T32,T32,Ben Crane,81,"22' 4""",44.583,2,43,2
32,T32,T32,John Rollins,84,"22' 4""",22.333000000000002,1,22,22
33,34,34,Jordan Spieth,102,"22' 3""",44.417,2,28,17
34,35,35,Kevin Stadler,90,"22' 0""",88.0,4,36,8
35,36,36,Seung-Yul Noh,92,"21' 10""",87.417,4,41,4
36,37,37,Jason Dufner,57,"21' 9""",65.25,3,58,3
37,38,38,Shawn Stefani,60,"21' 8""",130.0,6,64,3
38,39,39,Morgan Hoffmann,103,"21' 6""",107.667,5,35,11
39,40,40,Bill Haas,107,"21' 5""",128.5,6,29,13
40,41,41,Ernie Els,85,"21' 3""",63.75,3,33,12
41,42,42,Nick Watney,80,"20' 4""",20.333,1,20,20
42,T43,T43,Trevor Immelman,84,"20' 2""",80.583,4,45,4
43,T43,T43,Adam Scott,68,"20' 2""",121.0,6,36,13
44,45,45,Vijay Singh,83,"20' 1""",80.333,4,44,1
45,T46,T46,Chris Kirk,105,"19' 10""",158.583,8,56,1
46,T46,T46,George McNeill,79,"19' 10""",119.0,6,39,3
47,48,48,Stewart Cink,91,"19' 6""",136.667,7,67,2
48,49,49,Charles Howell III,106,"19' 2""",95.667,5,37,3
49,T50,T50,Ryo Ishikawa,75,"19' 1""",57.333,3,27,6
50,T50,T50,Justin Rose,70,"19' 1""",76.417,4,41,2
51,52,52,Matt Jones,83,"18' 8""",111.917,6,39,7
52,53,53,Kevin Chappell,100,"18' 6""",74.0,4,24,15
53,T54,T54,Brian Gay,81,"18' 3""",54.75,3,22,15
54,T54,T54,John Merrick,87,"18' 3""",91.333,5,59,6
55,56,56,Rory McIlroy,66,"18' 1""",90.25,5,32,7
56,T57,T57,Aaron Baddeley,74,"18' 0""",35.917,2,27,9
57,T57,T57,Matt Kuchar,91,"18' 0""",90.083,5,52,5
58,T57,T57,Richard Lee,80,"18' 0""",36.0,2,28,8
59,60,60,Matt Every,85,"17' 11""",35.833,2,19,17
60,61,61,Freddie Jacobson,91,"17' 10""",53.5,3,30,6
61,T62,T62,Brendon de Jonge,109,"17' 7""",35.083,2,26,9
62,T62,T62,Wes Roach,67,"17' 7""",35.167,2,19,16
63,64,64,Ian Poulter,57,"17' 3""",17.25,1,17,17
64,65,65,Sean O'Hair,77,"17' 2""",51.417,3,44,1
65,66,66,K.J. Choi,80,"17' 0""",67.833,4,31,2
66,67,67,Brendan Steele,89,"16' 11""",101.583,6,45,5
67,68,68,Brooks Koepka,56,"16' 8""",49.917,3,35,2
68,69,69,Marc Leishman,81,"16' 6""",148.167,9,29,4
69,70,70,Cameron Tringale,111,"16' 3""",64.917,4,18,12
70,71,71,Michael Putnam,106,"16' 2""",96.75,6,32,5
71,T72,T72,Ben Martin,80,"16' 1""",16.083,1,16,16
72,T72,T72,Jim Renner,61,"16' 1""",32.167,2,19,13
73,74,74,Will MacKenzie,82,"16' 0""",96.167,6,45,1
74,T75,T75,Bud Cauley,56,"15' 5""",30.833000000000002,2,20,11
75,T75,T75,Charl Schwartzel,64,"15' 5""",77.167,5,29,1
76,T75,T75,Webb Simpson,87,"15' 5""",76.917,5,28,9
77,T78,T78,Jason Bohn,81,"15' 4""",15.333,1,15,15
78,T78,T78,Brendon Todd,108,"15' 4""",61.25,4,26,5
79,80,80,Geoff Ogilvy,84,"15' 3""",76.25,5,27,8
80,81,81,Gonzalo Fernandez-Castaño,83,"15' 0""",29.916999999999998,2,16,14
81,82,82,Harris English,95,"14' 11""",74.5,5,29,3
82,83,83,Brandt Snedeker,89,"14' 10""",44.583,3,33,4
83,84,84,Heath Slocum,71,"14' 9""",29.5,2,19,11
84,T85,T85,Sangmoon Bae,76,"14' 8""",73.167,5,27,5
85,T85,T85,Martin Flores,85,"14' 8""",29.25,2,15,15
86,T87,T87,Ryan Palmer,85,"14' 7""",72.917,5,28,7
87,T87,T87,Kevin Streelman,79,"14' 7""",58.167,4,21,5
88,89,89,Zach Johnson,97,"14' 6""",43.5,3,27,8
89,90,90,Kevin Na,94,"14' 5""",86.333,6,31,5
90,91,91,John Senden,99,"14' 4""",71.667,5,25,2
91,T92,T92,Jason Day,54,"14' 2""",14.167,1,14,14
92,T92,T92,Davis Love III,74,"14' 2""",56.667,4,31,3
93,94,94,Scott Brown,100,"14' 0""",28.0,2,20,8
94,95,95,David Lingmerth,80,"13' 11""",41.75,3,19,5
95,T96,T96,Chad Collins,78,"13' 8""",13.667,1,14,14
96,T96,T96,Martin Kaymer,65,"13' 8""",27.333000000000002,2,17,10
97,98,98,Kevin Kisner,85,"13' 2""",26.25,2,21,5
98,99,99,Bo Van Pelt,83,"13' 0""",65.083,5,32,2
99,100,100,Jeff Overton,80,"12' 10""",38.5,3,21,7
100,101,101,Ryan Moore,86,"12' 9""",38.167,3,20,9
101,102,102,Scott Langley,95,"12' 8""",37.917,3,26,5
102,T103,T103,Billy Horschel,92,"12' 7""",75.5,6,28,6
103,T103,T103,Lee Westwood,57,"12' 7""",50.167,4,22,3
104,105,105,Gary Woodland,93,"12' 6""",24.916999999999998,2,21,4
105,T106,T106,Pat Perez,84,"12' 5""",49.667,4,25,7
106,T106,T106,Willy Wilcox,51,"12' 5""",49.75,4,19,5
107,T108,T108,John Peterson,62,"12' 3""",12.25,1,12,12
108,T108,T108,Andrew Svoboda,77,"12' 3""",24.416999999999998,2,17,8
109,T108,T108,Kevin Tway,64,"12' 3""",12.25,1,12,12
110,111,111,William McGirt,96,"12' 1""",36.333,3,26,2
111,T112,T112,Erik Compton,88,"12' 0""",35.917,3,23,6
112,T112,T112,Rory Sabbatini,82,"12' 0""",35.917,3,19,7
