,GIR_Putting_-_20-25_RANK THIS WEEK,GIR_Putting_-_20-25_RANK LAST WEEK,GIR_Putting_-_20-25_PLAYER NAME,GIR_Putting_-_20-25_ROUNDS,GIR_Putting_-_20-25_%,GIR_Putting_-_20-25_ATTEMPTS,GIR_Putting_-_20-25_PUTTS MADE
0,1,1,Vijay Singh,83,23.16,95,22
1,2,2,Sangmoon Bae,76,22.86,70,16
2,3,3,Freddie Jacobson,91,22.45,98,22
3,4,4,Chad Campbell,57,21.88,64,14
4,5,5,Graham DeLaet,80,21.36,103,22
5,6,6,Graeme McDowell,66,20.34,59,12
6,7,7,Jonas Blixt,64,20.0,50,10
7,8,8,Kevin Streelman,79,19.23,78,15
8,T9,T9,Ian Poulter,57,17.65,51,9
9,T9,T9,Adam Scott,68,17.65,68,12
10,11,11,Luke Guthrie,85,17.53,97,17
11,12,12,Bronson La'Cassie,51,17.5,40,7
12,13,13,Brendon Todd,108,17.24,116,20
13,14,14,Shawn Stefani,60,16.88,77,13
14,15,15,Ryan Moore,86,16.85,89,15
15,16,16,Scott Brown,100,16.83,101,17
16,17,17,Lucas Glover,68,16.39,61,10
17,T18,T18,Paul Casey,56,16.36,55,9
18,T18,T18,Luke Donald,57,16.36,55,9
19,20,20,Matt Jones,83,16.05,81,13
20,21,21,Morgan Hoffmann,103,16.04,106,17
21,22,22,Daniel Summerhays,98,15.94,138,22
22,23,23,Geoff Ogilvy,84,15.85,82,13
23,T24,T24,K.J. Choi,80,15.79,95,15
24,T24,T24,Billy Horschel,92,15.79,95,15
25,26,26,Jordan Spieth,102,15.74,108,17
26,27,27,Pat Perez,84,15.69,102,16
27,28,28,Ernie Els,85,15.66,83,13
28,29,29,Seung-Yul Noh,92,15.6,109,17
29,T30,T30,Bryce Molder,77,15.56,90,14
30,T30,T30,Andrew Svoboda,77,15.56,90,14
31,32,32,Brendan Steele,89,15.48,84,13
32,33,33,William McGirt,96,15.45,110,17
33,34,34,Chris Stroud,88,15.15,99,15
34,35,35,Matt Kuchar,91,15.13,119,18
35,36,36,Webb Simpson,87,15.0,100,15
36,37,37,Ricky Barnes,92,14.95,107,16
37,38,38,Patrick Reed,92,14.74,95,14
38,39,39,Rickie Fowler,91,14.63,82,12
39,40,40,Brian Harman,111,14.18,141,20
40,41,41,Jimmy Walker,98,14.14,99,14
41,42,42,Kevin Na,94,14.05,121,17
42,43,43,Marc Leishman,81,13.98,93,13
43,44,44,Greg Chalmers,85,13.92,79,11
44,45,45,Hunter Mahan,88,13.89,108,15
45,46,46,Chesson Hadley,84,13.86,101,14
46,47,47,Davis Love III,74,13.75,80,11
47,T48,T48,Justin Rose,70,13.7,73,10
48,T48,T48,Robert Streb,75,13.7,73,10
49,50,50,Chris Kirk,105,13.59,103,14
50,51,51,David Hearn,97,13.51,111,15
51,52,52,Stuart Appleby,92,13.4,97,13
52,T53,T53,Phil Mickelson,71,13.33,60,8
53,T53,T53,Kevin Tway,64,13.33,60,8
54,55,55,Troy Matteson,62,13.21,53,7
55,T56,T56,Keegan Bradley,89,13.19,91,12
56,T56,T56,Michael Thompson,74,13.19,91,12
57,58,58,Charl Schwartzel,64,13.11,61,8
58,59,59,Kevin Chappell,100,13.04,115,15
