,Putting_from_5_RANK THIS WEEK,Putting_from_5_RANK LAST WEEK,Putting_from_5_PLAYER NAME,Putting_from_5_ROUNDS,Putting_from_5_% MADE,Putting_from_5_ATTEMPTS,Putting_from_5_PUTTS MADE
0,1,1,Bronson La'Cassie,51,92.16,51,47
1,2,2,Richard Lee,80,89.77,88,79
2,3,3,J.J. Henry,91,89.36,94,84
3,4,4,Sergio Garcia,61,89.09,55,49
4,5,5,Jason Day,54,88.89,36,32
5,6,6,Troy Matteson,62,88.41,69,61
6,7,7,Zach Johnson,97,88.24,102,90
7,8,8,Russell Henley,92,88.07,109,96
8,9,9,Brooks Koepka,56,87.93,58,51
9,10,10,Brendon Todd,108,87.88,132,116
10,11,11,Marc Leishman,81,87.85,107,94
11,12,12,Kevin Kisner,85,87.78,90,79
12,T13,T13,William McGirt,96,87.5,112,98
13,T13,T13,Sean O'Hair,77,87.5,104,91
14,T15,T15,Briny Baird,50,87.3,63,55
15,T15,T15,Rory McIlroy,66,87.3,63,55
16,17,17,Patrick Reed,92,87.21,86,75
17,18,18,Woody Austin,63,87.06,85,74
18,T19,T19,Freddie Jacobson,91,86.96,115,100
19,T19,T19,Josh Teater,90,86.96,115,100
20,21,21,David Hearn,97,86.89,122,106
21,T22,T22,Luke Donald,57,86.67,60,52
22,T22,T22,Ian Poulter,57,86.67,60,52
23,24,24,Hunter Mahan,88,86.27,102,88
24,25,25,Retief Goosen,94,86.14,101,87
25,26,26,Graeme McDowell,66,85.94,64,55
26,27,27,Jason Bohn,81,85.87,92,79
27,T28,T28,Brice Garnett,92,85.71,112,96
28,T28,T28,Billy Horschel,92,85.71,98,84
29,T28,T28,David Lingmerth,80,85.71,119,102
30,T28,T28,Ben Martin,80,85.71,112,96
31,32,32,Mike Weir,69,85.51,69,59
32,33,33,Bryce Molder,77,85.39,89,76
33,34,34,Brad Fritsch,50,85.25,61,52
34,35,35,Chris Stroud,88,85.11,94,80
35,36,36,Jimmy Walker,98,85.0,100,85
36,T37,T37,Troy Merritt,62,84.85,66,56
