,Putting_Average_RANK THIS WEEK,Putting_Average_RANK LAST WEEK,Putting_Average_PLAYER NAME,Putting_Average_ROUNDS,Putting_Average_AVG,Putting_Average_GIR PUTTS,Putting_Average_GREENS HIT,Putting_Average_BIRDIE CONVERSION,Putting_Average_GIR RANK
0,1,1,Rory McIlroy,66,1.7080000000000002,1366,800,36.84,6
1,2,2,Jordan Spieth,102,1.7169999999999999,1892,1102,34.24,152
2,3,3,Dustin Johnson,58,1.726,1205,698,33.0,21
3,T4,T4,Adam Scott,68,1.732,1458,842,33.89,10
4,T4,T4,Jimmy Walker,98,1.732,2023,1168,33.5,T28
5,6,6,Ryo Ishikawa,75,1.734,1521,877,32.72,T92
6,7,7,Chris Stroud,88,1.735,1792,1033,31.49,T80
7,8,8,Jerry Kelly,80,1.736,1639,944,30.19,T71
8,9,9,Bubba Watson,76,1.7369999999999999,1551,893,32.4,24
9,10,10,Ryan Palmer,85,1.7380000000000002,1773,1020,32.71,T46
10,11,11,Charl Schwartzel,64,1.739,1233,709,33.76,T126
11,T12,T12,Luke Guthrie,85,1.744,1695,972,31.4,T126
12,T12,T12,J.B. Holmes,86,1.744,1645,943,32.56,163
13,T12,T12,Brendon Todd,108,1.744,2170,1244,29.87,119
14,15,15,Matt Jones,83,1.745,1649,945,29.96,T137
15,T16,T16,Aaron Baddeley,74,1.746,1353,775,32.0,174
16,T16,T16,Freddie Jacobson,91,1.746,1790,1025,30.18,151
17,T18,T18,K.J. Choi,80,1.7469999999999999,1562,894,29.79,154
18,T18,T18,Graeme McDowell,66,1.7469999999999999,1282,734,29.69,T65
19,T20,T20,Greg Chalmers,85,1.7480000000000002,1526,873,29.93,173
20,T20,T20,Jason Kokrak,65,1.7480000000000002,1337,765,31.41,T74
21,T22,T22,Stuart Appleby,92,1.749,1784,1020,30.09,145
22,T22,T22,Troy Merritt,62,1.749,1270,726,29.01,T87
23,T22,T22,Ian Poulter,57,1.749,1100,629,32.11,153
24,T22,T22,Brian Stuard,91,1.749,1749,1000,30.63,122
25,T26,T26,Sergio Garcia,61,1.75,1255,717,29.97,14
26,T26,T26,Morgan Hoffmann,103,1.75,1957,1118,31.84,147
27,T26,T26,Brooks Koepka,56,1.75,1146,655,32.67,T90
28,T29,T29,Kevin Chappell,100,1.7530000000000001,2048,1168,30.64,T28
29,T29,T29,Phil Mickelson,71,1.7530000000000001,1462,834,31.29,79
30,T29,T29,Kevin Na,94,1.7530000000000001,1920,1095,30.77,98
31,T32,T32,Paul Casey,56,1.754,1163,663,31.12,T65
32,T32,T32,Scott Langley,95,1.754,1884,1074,28.98,114
33,T32,T32,Ryan Moore,86,1.754,1803,1028,30.53,23
34,T32,T32,Lee Westwood,57,1.754,1126,642,32.45,123
35,T36,T36,Tim Clark,75,1.755,1523,868,28.29,110
36,T36,T36,Rickie Fowler,91,1.755,1732,987,32.52,T100
37,T36,T36,Brian Harman,111,1.755,2254,1284,29.56,111
38,T36,T36,Matt Kuchar,91,1.755,1860,1060,30.57,40
39,T36,T36,Marc Leishman,81,1.755,1648,939,29.99,T80
40,T36,T36,Brandt Snedeker,89,1.755,1739,991,30.13,136
41,T42,T42,Russell Henley,92,1.756,1798,1024,30.82,156
42,T42,T42,Charley Hoffman,93,1.756,1972,1123,31.67,35
43,T44,T44,Jason Bohn,81,1.757,1659,944,27.95,97
44,T44,T44,William McGirt,96,1.757,1956,1113,29.23,105
45,T44,T44,Justin Rose,70,1.757,1439,819,30.96,41
46,47,47,Justin Leonard,75,1.758,1371,780,28.24,176
47,T48,T48,Luke Donald,57,1.7590000000000001,1117,635,29.18,144
48,T48,T48,Martin Kaymer,65,1.7590000000000001,1309,744,31.0,99
49,T48,T48,Chris Kirk,105,1.7590000000000001,2090,1188,31.06,129
50,T48,T48,Ben Martin,80,1.7590000000000001,1673,951,28.78,62
51,T52,T52,Sangmoon Bae,76,1.76,1515,861,32.09,146
52,T52,T52,Zach Johnson,97,1.76,2050,1165,29.15,31
53,T52,T52,George McNeill,79,1.76,1656,941,30.24,61
54,T52,T52,Andres Romero,81,1.76,1477,839,30.82,168
55,T52,T52,Kevin Streelman,79,1.76,1563,888,31.26,T137
56,57,57,Camilo Villegas,95,1.761,2016,1145,30.48,39
57,T58,T58,Erik Compton,88,1.7619999999999998,1760,999,29.45,142
58,T58,T58,Kevin Kisner,85,1.7619999999999998,1760,999,29.16,76
59,T60,T60,Chesson Hadley,84,1.7630000000000001,1680,953,31.02,143
