,GIR_Putting_Avg_-_25-30_RANK THIS WEEK,GIR_Putting_Avg_-_25-30_RANK LAST WEEK,GIR_Putting_Avg_-_25-30_PLAYER NAME,GIR_Putting_Avg_-_25-30_ROUNDS,GIR_Putting_Avg_-_25-30_% MADE,GIR_Putting_Avg_-_25-30_ATTEMPTS,GIR_Putting_Avg_-_25-30_PUTTS MADE
0,1,1,Rory McIlroy,66,2.08,53,11.0
1,2,2,Y.E. Yang,79,1.94,62,12.0
2,3,3,Brendan Steele,89,1.71,82,14.0
3,4,4,Charl Schwartzel,64,1.7,53,9.0
4,T5,T5,Andres Romero,81,1.64,67,11.0
5,T5,T5,David Toms,64,1.64,55,9.0
6,7,7,Danny Lee,84,1.6,81,13.0
7,8,8,Robert Garrigus,80,1.54,65,10.0
8,9,9,Justin Leonard,75,1.53,59,9.0
9,10,10,Scott Brown,100,1.52,79,12.0
10,11,11,Troy Merritt,62,1.51,53,8.0
11,T12,T12,K.J. Choi,80,1.49,74,11.0
12,T12,T12,Will MacKenzie,82,1.49,74,11.0
13,14,14,Billy Hurley III,86,1.47,75,11.0
14,T15,T15,Brooks Koepka,56,1.43,49,7.0
15,T15,T15,Adam Scott,68,1.43,49,7.0
16,17,17,Wes Roach,67,1.4,43,6.0
17,18,18,Freddie Jacobson,91,1.39,79,11.0
18,19,19,John Senden,99,1.37,95,13.0
19,20,20,Matt Jones,83,1.34,67,9.0
20,T21,T21,Sangmoon Bae,76,1.32,68,9.0
21,T21,T21,Greg Chalmers,85,1.32,68,9.0
22,T21,T21,George McNeill,79,1.32,91,12.0
23,T24,T24,Ángel Cabrera,69,1.29,62,8.0
24,T24,T24,Webb Simpson,87,1.29,70,9.0
25,26,26,Richard Lee,80,1.27,55,7.0
26,27,27,Russell Henley,92,1.26,87,11.0
27,T28,T28,Stewart Cink,91,1.25,80,10.0
28,T28,T28,Brian Davis,93,1.25,88,11.0
29,T28,T28,Graeme McDowell,66,1.25,48,6.0
30,31,31,Charley Hoffman,93,1.22,82,10.0
31,32,32,Gonzalo Fernandez-Castaño,83,1.2,75,9.0
32,T33,T33,Chad Collins,78,1.19,59,7.0
33,T33,T33,Ryan Palmer,85,1.19,84,10.0
34,T35,T35,Ken Duke,80,1.18,68,8.0
35,T35,T35,Jimmy Walker,98,1.18,93,11.0
36,T37,T37,Luke Donald,57,1.17,60,7.0
37,T37,T37,Brendon Todd,108,1.17,111,13.0
38,T39,T39,Rickie Fowler,91,1.16,69,8.0
