,GIR_Putting_Avg_-__35_RANK THIS WEEK,GIR_Putting_Avg_-__35_RANK LAST WEEK,GIR_Putting_Avg_-__35_PLAYER NAME,GIR_Putting_Avg_-__35_ROUNDS,GIR_Putting_Avg_-__35_% MADE,GIR_Putting_Avg_-__35_ATTEMPTS,GIR_Putting_Avg_-__35_PUTTS MADE
0,1,1,Dustin Johnson,58,0.97,62,6.0
1,2,2,Stuart Appleby,92,0.79,177,14.0
2,3,3,Ryan Moore,86,0.76,119,9.0
3,4,4,Charlie Beljan,76,0.72,125,9.0
4,5,5,Camilo Villegas,95,0.69,175,12.0
5,6,6,Sergio Garcia,61,0.68,73,5.0
6,7,7,Greg Chalmers,85,0.67,164,11.0
7,8,8,Henrik Stenson,56,0.66,91,6.0
8,T9,T9,Trevor Immelman,84,0.65,168,11.0
9,T9,T9,Graeme McDowell,66,0.65,92,6.0
10,T9,T9,Shawn Stefani,60,0.65,123,8.0
11,T12,T12,Justin Rose,70,0.63,95,6.0
12,T12,T12,John Senden,99,0.63,189,12.0
13,14,14,Seung-Yul Noh,92,0.61,163,10.0
14,15,15,Matt Kuchar,91,0.6,168,10.0
15,16,16,Jordan Spieth,102,0.56,126,7.0
16,17,17,Jason Bohn,81,0.55,146,8.0
17,18,18,Brian Harman,111,0.54,185,10.0
18,T19,T19,Brian Gay,81,0.52,116,6.0
19,T19,T19,Matt Jones,83,0.52,116,6.0
20,T19,T19,Brian Stuard,91,0.52,135,7.0
21,T22,T22,Ben Crane,81,0.51,156,8.0
22,T22,T22,Jason Dufner,57,0.51,78,4.0
23,T22,T22,Zach Johnson,97,0.51,175,9.0
24,T22,T22,Rory McIlroy,66,0.51,79,4.0
25,T22,T22,Ian Poulter,57,0.51,78,4.0
26,T22,T22,Brendon Todd,108,0.51,178,9.0
27,28,28,Bubba Watson,76,0.5,100,5.0
28,29,29,Tim Clark,75,0.48,105,5.0
29,T30,T30,Bud Cauley,56,0.47,106,5.0
30,T30,T30,Kevin Chappell,100,0.47,169,8.0
31,T30,T30,Gary Woodland,93,0.47,148,7.0
32,T33,T33,Keegan Bradley,89,0.46,151,7.0
33,T33,T33,Jim Furyk,84,0.46,153,7.0
34,T33,T33,John Huh,87,0.46,153,7.0
35,T33,T33,John Merrick,87,0.46,151,7.0
36,T33,T33,Troy Merritt,62,0.46,108,5.0
37,T38,T38,Chris Kirk,105,0.45,179,8.0
38,T38,T38,D.A. Points,75,0.45,111,5.0
39,T38,T38,Jim Renner,61,0.45,110,5.0
40,T41,T41,Jerry Kelly,80,0.44,137,6.0
41,T41,T41,Danny Lee,84,0.44,137,6.0
42,T41,T41,Marc Leishman,81,0.44,137,6.0
43,T41,T41,Will MacKenzie,82,0.44,158,7.0
44,T41,T41,Rory Sabbatini,82,0.44,135,6.0
45,T46,T46,Harris English,95,0.43,140,6.0
46,T46,T46,George McNeill,79,0.43,139,6.0
47,T46,T46,Brandt Snedeker,89,0.43,116,5.0
48,T46,T46,Boo Weekley,73,0.43,115,5.0
49,T50,T50,Retief Goosen,94,0.42,190,8.0
50,T50,T50,Hideki Matsuyama,82,0.42,96,4.0
51,T50,T50,Adam Scott,68,0.42,119,5.0
52,T53,T53,Matt Every,85,0.41,122,5.0
53,T53,T53,Freddie Jacobson,91,0.41,171,7.0
54,T53,T53,Bo Van Pelt,83,0.41,146,6.0
55,T53,T53,Tim Wilkinson,86,0.41,122,5.0
56,T57,T57,Jonas Blixt,64,0.4,99,4.0
57,T57,T57,J.J. Henry,91,0.4,223,9.0
58,T57,T57,Brendan Steele,89,0.4,173,7.0
59,T57,T57,Michael Thompson,74,0.4,124,5.0
60,T61,T61,Carl Pettersson,91,0.39,178,7.0
61,T61,T61,Heath Slocum,71,0.39,155,6.0
