,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
96,97,97,Daniel Summerhays,98,28.68,337,1175
97,98,98,Woody Austin,63,28.64,185,646
98,T99,T99,Bill Haas,107,28.55,370,1296
99,T99,T99,Seung-Yul Noh,92,28.55,316,1107
100,101,101,Kevin Stadler,90,28.45,313,1100
101,T102,T102,Billy Horschel,92,28.41,323,1137
102,T102,T102,Carl Pettersson,91,28.41,310,1091
103,104,104,David Lingmerth,80,28.39,245,863
104,T105,T105,Hunter Mahan,88,28.36,289,1019
105,T105,T105,Louis Oosthuizen,50,28.36,156,550
106,107,107,Pat Perez,84,28.32,275,971
107,108,108,Tim Clark,75,28.29,245,866
108,109,109,Justin Leonard,75,28.24,220,779
109,110,110,Davis Love III,74,28.14,235,835
110,111,111,Geoff Ogilvy,84,28.05,260,927
111,112,112,Bryce Molder,77,28.04,235,838
112,113,113,Jason Bohn,81,27.95,263,941
113,114,114,David Toms,64,27.94,214,766
114,115,115,Jonathan Byrd,76,27.92,234,838
115,116,116,Retief Goosen,94,27.86,287,1030
116,T117,T117,Stewart Cink,91,27.79,301,1083
117,T117,T117,Brice Garnett,92,27.79,286,1029
118,119,119,Tim Wilkinson,86,27.75,252,908
119,120,120,Mike Weir,69,27.72,186,671
120,121,121,Troy Matteson,62,27.67,179,647
121,122,122,David Hearn,97,27.66,320,1157
122,123,123,Jhonattan Vegas,77,27.65,258,933
123,124,124,Chad Collins,78,27.64,220,796
124,125,125,John Senden,99,27.63,333,1205
125,126,126,Ben Curtis,77,27.62,227,822
126,T127,T127,Martin Flores,85,27.59,280,1015
127,T127,T127,Brian Gay,81,27.59,232,841
128,129,129,Bo Van Pelt,83,27.57,282,1023
129,130,130,Ben Crane,81,27.52,254,923
130,131,131,Shawn Stefani,60,27.49,196,713
131,132,132,Michael Putnam,106,27.48,338,1230
132,133,133,Brendon de Jonge,109,27.4,346,1263
133,134,134,Sean O'Hair,77,27.28,239,876
134,135,135,Andrew Svoboda,77,27.18,256,942
135,136,136,Y.E. Yang,79,27.17,235,865
136,137,137,Russell Knox,92,27.11,305,1125
137,138,138,Charlie Wi,72,27.09,207,764
138,139,139,Jim Renner,61,27.07,180,665
139,140,140,Cameron Tringale,111,27.03,359,1328
140,141,141,Scott Stallings,77,27.0,233,863
141,142,142,Lucas Glover,68,26.76,213,796
142,143,143,Bud Cauley,56,26.7,181,678
143,T144,T144,James Hahn,82,26.69,245,918
144,T144,T144,Spencer Levin,59,26.69,182,682
145,T146,T146,Ken Duke,80,26.65,251,942
146,T146,T146,Jim Furyk,84,26.65,263,987
147,148,148,John Huh,87,26.61,256,962
148,149,149,John Merrick,87,26.6,270,1015
149,150,150,Bronson La'Cassie,51,26.59,138,519
150,151,151,Josh Teater,90,26.5,273,1030
151,152,152,Roberto Castro,76,26.47,212,801
152,153,153,Briny Baird,50,26.44,151,571
153,T154,T154,Vijay Singh,83,26.41,258,977
154,T154,T154,Kyle Stanley,87,26.41,263,996
155,156,156,Justin Hicks,103,26.36,335,1271
156,157,157,D.A. Points,75,26.21,216,824
157,158,158,Hudson Swafford,75,26.17,230,879
158,159,159,Willy Wilcox,51,26.15,154,589
159,160,160,Heath Slocum,71,26.08,218,836
160,161,161,Billy Hurley III,86,26.06,265,1017
161,162,162,Derek Ernst,80,26.01,225,865
162,163,163,Robert Allenby,83,25.89,255,985
163,164,164,Jim Herman,62,25.76,178,691
164,165,165,Nicholas Thompson,85,25.54,248,971
165,166,166,Kevin Tway,64,25.36,176,694
166,167,167,John Peterson,62,25.28,179,708
167,168,168,Trevor Immelman,84,24.89,233,936
168,169,169,Jeff Maggert,54,24.88,159,639
169,170,170,"Ted Potter, Jr.",68,24.75,197,796
170,171,171,Johnson Wagner,69,24.23,181,747
171,172,172,John Rollins,84,24.22,226,933
172,173,173,D.H. Lee,54,23.98,129,538
173,174,174,Chad Campbell,57,23.91,165,690
174,175,175,Boo Weekley,73,23.61,208,881
175,176,176,J.J. Henry,91,23.44,255,1088
176,177,177,Mark Wilson,69,23.27,172,739
